date,title,newspaper
2020-09-01,"Lightning kills 6 in Odisha, over 53,000 evacuated from flood-hit Maha villages",tribune-nation
2020-09-01,Farmers’ body sends legal notice to Gujarat government,timesofindia
2020-09-01,Police remand till Sept 5 for accused held for hoisting Khalistan flag,timesofindia
2020-09-01,"Three more succumb to coronavirus in Himachal Pradesh, tally crosses 6,000 mark",timesofindia
2020-09-01,"For Chhatarpur man, Covid comes as blessing in disguise",timesofindia
2020-09-01,"‘We’ve lost a passionate teacher, a patron of innovation’",timesofindia
2020-09-01,Hooda toeing govt line for fear of CBI: Kundu,tribune-haryana
2020-09-01,Health dept conducts random sampling of vendors at veg market,timesofindia
2020-09-01,"2 lakh Ola, Uber drivers on strike, commuters in Delhi-NCR to face problems",hindustantimes
2020-09-01,"After odd-even rule, shopkeepers in Ludhiana want weekend lockdown to go",hindustantimes
2020-09-01,"NCRB report: Punjab saw 7 suicides a day in 2019, recorded 37% surge over last year",hindustantimes
2020-09-01,Coronavirus claims three more lives in Himachal,hindustantimes
2020-09-01,Over 30 Bills to be tabled in monsoon session,deccanherald
2020-09-01,"Section of Ola, Uber drivers go on strike in Delhi-NCR",deccanherald
2020-09-01,"Maharashtra, Karnataka top farmers suicide tally",deccanherald
2020-09-01,"Ola, Uber strike: Lukewarm response to protest; Delhi services not hit",hindustantimes
2020-09-01,Farmer alleges threat to life by land grabbers,timesofindia
2020-09-01,Objections to Centre’s new farm ordinances unfounded: Dhankar,tribune-haryana
2020-09-01,"No major impact of Ola, Uber drivers’ strike in Delhi",tribune-nation
2020-09-01,"Amid grim economic scenario, agriculture emerges as ray of hope",tribune-nation
2020-09-02,"Jai Ram govt to build 10,000 houses for poor, homeless in Himachal",hindustantimes
2020-09-02,"Full moon day slows flood water release, Odisha villages fight waterlogging",hindustantimes
2020-09-02,"STATE OF CITIES: Cleanliness, sanitation ‘dumped’ in Jalandhar",hindustantimes
2020-09-02,"161 more cases take Himachal’s Covid tally to 6,416",hindustantimes
2020-09-02,Rajasthan to ramp up farm produce exports,hindu
2020-09-02,"Water released, advisory board meeting yet to convene",hindu
2020-09-02,"108, 104 ambulance drivers felicitated in Guntur",hindu
2020-09-02,Farmers seek assistance,hindu
2020-09-02,Farmers seek relief from Centre,hindu
2020-09-02,"Lightning kills 4,  rain floods hospital",telegraph
2020-09-02,24x7 news or frivolous debates and propaganda?,deccanherald
2020-09-02,"In 2019, debt, bankruptcy led to 989 suicides in Telangana",timesofindia
2020-09-02,"Monsoon cools Delhi, but sets vegetable prices on fire in mandis",timesofindia
2020-09-02,HC for probe into land acquisition for IAS-PCS officers’ society road,tribune-punjab
2020-09-02,"‘Fall army’ insect infests crops in Ajmer, Bhilwara",timesofindia
2020-09-02,"Shahjahanpur: Bookseller makes rape bid on 10-year-old girl, arrested",timesofindia
2020-09-02,Farmers seek probe into central scheme scam,timesofindia
2020-09-02,Rajasthan: Veggie prices soar as local produce dries up,timesofindia
2020-09-02,Government committed to provide free power to farmers: Minister,timesofindia
2020-09-02,Casualty count continues to rise in HP as 4 succumb,timesofindia
2020-09-02,"Mom hangs baby girl to death, kills herself",timesofindia
2020-09-03,Man kills wife & child in Jalna district,timesofindia
2020-09-03,Farmers to stage protest on Sept. 14,hindu
2020-09-03,60-year-old paralysed man run over by train,hindu
2020-09-03,‘Hollowness’ of works at R&R colony comes to the fore,hindu
2020-09-03,JEE: 400km in pursuit of the goal of government job,telegraph
2020-09-03,Farmers raise issue of overflowing drain,tribune-punjab
2020-09-03,Himachal Pradesh minister tests Covid-19 positive,deccanherald
2020-09-03,GDP plunge the 'scary result' of demonetisation: Rahul Gandhi,deccanherald
2020-09-03,Demonetisation an attack on India's unorganised sector: Rahul Gandhi,deccanherald
2020-09-03,"Minster asks discom to reduce line loss to below 15% in two months in Noida, Ghaziabad",hindustantimes
2020-09-03,"Foot pedal-driven lifts, auto-dispensers for sanitiser: Metro for least contact travel for riders",tribune-nation
2020-09-03,Farmers near border cry crop damage in Jalpaiguri,telegraph
2020-09-03,Govt. failed to ensure equal access to online classes: Stalin,hindu
2020-09-03,Himachal govt initiatives ushered in a sea change in people’s lives: Jai Ram,hindustantimes
2020-09-03,Man held for rape bid,timesofindia
2020-09-03,No odd-even in Chandigarh markets from September 4,hindustantimes
2020-09-03,Uttar Pradesh to create Udyog Bandhu-like body for farmers,hindustantimes
2020-09-03,"Pilibhit stray leopard dodges baits, moves to new area",timesofindia
