username|count
Zee_Hindustan|1414
news24tvchannel|780
oneindiaHindi|702
punjabkesari|656
IndiaToday|513
aajtak|483
TimesNow|373
abpsanjha|370
DainikBhaskar|342
ptcnews|333
ABPNews|331
ZeePunjabHH|321
thewirehindi|320
JagranNews|319
TNNavbharat|283
JagbaniOnline|265
thatsMalayalam|261
swaraj_abhiyan|257
_SwarajIndia|248
HindustanTimes|233
ndtv|231
htTweets|226
AmarUjalaNews|220
Outlookindia|216
ndtvvideos|215
CPIM_WESTBENGAL|196
GaonConnection|194
ssrajputINC|190
fpjindia|173
News18India|170
indiatvnews|163
ANI|161
LiveLawIndia|154
TV9Marathi|151
Oneindia|150
TOICitiesNews|148
NavbharatTimes|147
zeerajasthan_|145
tv9gujarati|142
AsianetNewsHN|138
timesofindia|137
latestly|135
thetribunechd|134
DrArchanaINC|132
sikh_coalition|131
scroll_in|129
bbcnewspunjabi|127
IndiaAheadNews|126
IndiaTVHindi|126
CNNnews18|125
JagranEnglish|121
TV9Bharatvarsh|119
thatsTamil|119
navjivanindia|118
Chhotu_Vasava|118
ashutosh83B|114
MirrorNow|114
aviksahaindia|113
NewsNationTV|112
prajavani|112
BoltaHindustan|111
AShukkla|111
tv9kannada|110
tncpim|110
BoomFactsHindi|109
saahilmenghani|106
the_hindu|106
EconomicTimes|105
ZeeNews|104
NH_India|101
NewsMobileIndia|99
LambaAlka|98
AsianetNewsSN|97
Zee24Kalak|97
bsindia|96
ZeeNewsEnglish|95
dna|95
IndianExpress|92
lokmat|88
ians_india|86
TOIIndiaNews|80
republic|80
thewire_in|80
jayapluschannel|80
mataonline|80
TheQuint|79
BOOMLiveBangla|79
AnumaVidisha|78
_YogendraYadav|78
LogicalIndians|78
ndtvfeed|76
NewsroomPostCom|75
NewIndianXpress|74
TOIChandigarh|74
moneycontrolcom|74
RakeshTikaitBKU|73
OpIndia_com|72
LoksattaLive|71
Amitjanhit|71
RLDparty|71
SikhFeminist|70
AbpGanga|70
frontline_india|68
prabhatkhabar|67
IamOnir|66
Live_Hindustan|65
Akali_Dal_|65
