14-10-2021||News||Mind The Gap | The cost of being a modern working woman||The Big Story: The dreaded modern woman
14-10-2021||Pune||What’s the buzz in Pune: October 15-22||‘Live’ at High Spirits Da High Big Gig features Cynthia backed by Mikey, Leo Mathews, Denzil and Chris. Pop, rock, R&B and Blues is on the menu.When: October 15, 7 pmWhere: High Spirits, Koregaon Park Chromatic Musings: solo exhibition This exhibition is by Vaishali Oak, a fibre artist from Pune. This series brings together a new body of fabric assemblages that explore nature-inspired forms and textures.When: Oct 15 onwards; 5pm -9pm Where: Vida Heydari Contemporary (VHC, lane number 8, Koregaon ParkWonder Woman – fashion showFashion desginer Nivedita Saboo presents custom digital prints and edgy, strong silhouettes in this collection based on ‘Wonder Woman’, and inspired by the architecture, history and spirit of Amazonian warriors.When: October 15, 7pm to 8pmWhere: Online: Instagram and Facebook @NiveditaSabooCoutureIs God A Taoist? The playAfter an overwhelming response to the premiere of the brand new production Is God A Taoist? we’re back again For bookings log on to - http://iapar.org/booking/ or email iapar.office@gmail.comWhen: October 16, 17; 7:30pm Where: Cafe Peter, Karve road Kalapentry - recycling furnitureFurniture that has been refurbished, upcycled and is cost effective will be on display at Kalapentry, in association with Mauji Cafe and Event Chronicle. Furniture that has been revamped is environment friendly, sustainable and ecological. For details email kalapentry@gmail.comPhone Number- 9011034258When: October 16, 17; 11am to 6pm Where: Mauji Spaces, 11, Sahajeevan Society ICS Colony, Bhoslenagar, Ashok nagarMonalisa Kalagram: Maharashtra editionShowcasing the inherent beauty of Maharashtra, with artisans products like Kolhapuri chappals, sarees, Warli art, ceramic and terracotta products.When: October 16, 17; 10.30am - 8.30pmWhere: Monalisa Kalagram, Koregaon parkMobile library Access this mobile library and read well-known Marathi authors, and Diwali Ank in Kothrud and Pashan. For details call 02025440555When: October 16, 10am to 1pm and 5pm to 7pm Where: Ustav chowk, Patwardhan baug Sai chowk, Sus road “Me ani Symbiosis”: an autobiography The release of this autobiography of SB Mujumdar, chancellor, Symbiosis International University, will have Chhatrapati Shahu Maharaj as the chief guestFor details on attendance call +91 88888 47946 or email officerpr@symbiosis.ac.inWhen: October 18, 5 pm Where: Symbiosis Vishwabhavan, Senapati Bapat road.World Religions Conference On the occasion of World Religions Conference being held in Chicago (USA) from October 16 to 18, Dr Kalyan Gangwal, founder president of Sarvajeev Mangal Pratishthan will be a speaker from Pune. Dr Kalyan Gangwal will speak on “Karuna (compassion) in the Corona period”. This will be followed by a 45-minute panel discussion with founder of MIT, Prof Vishwanath Karad, Muslim thinker SN Pathan, and Addison Samraj .When: October 18, 11.15 pm IST. Where: Online - https://parliamentofreligions.org/civicrm/mailing/view?id=809&reset=1.||https://www.hindustantimes.com/cities/pune-news/whats-the-buzz-in-pune-october-1522-101634236072218.html
14-10-2021||Lucknow||‘AIMIM to hold rallies in west UP after Dussehra’||The All India Majlis-e-Ittehad-ul- Muslimeen (AIMIM) led by Asaduddin Owaisi has planned to organise a series of rallies in the west Uttar Pradesh after Dussehra.Party’s state unit president Shaukat Ali said, “Party chief Asaduddin Owaisi will address a ‘vanchit-shoshit samaj’ (deprived and victimised communities) conference in Ghaziabad on October 17, Meerut on October 23, Muzaffarnagar October 27 and in Saharanpur on October 31.”To strengthen its support base, the AIMIM has organised the rallies in the districts of central and eastern UP, including Bahraich, Barabanki, Sultanpur, Balrampur, Azamagarh, Kanpur and Prayagraj, too.On September 22, Owaisi addressed a rally at Sambhal. There was a heated exchange of words between the BJP and AIMIM leaders after Owaisi called Sambhal the land of the “Ghazis”.An AIMIM leader said the party had decided to field its candidates on 100 seats in the 2022 UP assembly election. “Along with galvanising the party cadre for the polls, Owaisi is also assessing the support base of the party by organising “vanchit, shoshit samaj” conference in various districts. The party has focused on the Muslim dominated areas of the state to strengthen its base,” he added.The AIMIM has mobilised its resources and cadre for the success of the rallies in west UP that has become the centre of farmers’ agitation led by Bhartiya Kisan Union (BKU).Addressing a rally in Baghpat recently, BKU leader Rakesh Tikait attacked Owaisi calling him “chacha jaan” (uncle) of the BJP. Owaisi countered Tikait’s allegation stating that Tikait supported the BJP in the 2017 UP assembly election. During the Muzaffarnagar riots in 2013, Tikait remained a mute spectator to the atrocities committed on Muslim community, he alleged.Owaisi said he will take the fight for the justice and empowerment of the Muslim community to west UP by organising rallies there. The AIMIM plans to challenge the might of the political parties like the BJP, the SP, the BSP and thew RLD that have strong presence in the assembly seats located in west UP.||https://www.hindustantimes.com/cities/lucknow-news/aimim-to-hold-rallies-in-west-up-after-dussehra-101634235892108.html
14-10-2021||Lucknow||Bail plea of ex-IPS officer Amitabh Thakur rejected||The court of additional district judge (ADJ) on Thursday rejected bail application of former IPS officer Amitabh Thakur who was arrested in August this year after a rape victim died by suicide after accusing him of allegedly protecting the accused BSP MP from Ghosi Atul Rai.Rejecting the bail application, PM Tripathi, additional district judge, observed: “The allegations against the accused are serious and the investigation is still going. In such circumstances, he is not entitled to bail at this stage.” The Lucknow police had lodged an FIR in this connection at the Hazratganj police station. The rape victim had on May 1, 2019 lodged an FIR at the Lanka police station, Varanasi, against Atul Rai. Later, several cases were lodged against the rape victim in retaliation. The rape victim had also sent an application to SSP, Varanasi, on November 20, 2020, alleging that Amitabh Thakur was creating false evidence in the case to save Atul Rai. The victim and her male friend had conducted a Facebook live session before the Supreme Court, New Delhi, on August 16. In this session, she had accused Amitabh Thakur and others of helping Atul Rai. Thereafter, both of them immolated themselves. They were rushed to RML hospital. The woman’s male friend died on August 21 while she succumbed to burn injuries on August 24.The Facebook live was considered as the victim’s dying declaration. Amit Thakur was given compulsory retirement by the Union home ministry on March 23 this year.||https://www.hindustantimes.com/cities/lucknow-news/bail-plea-of-ex-ips-officer-amitabh-thakur-rejected-101634235051862.html
14-10-2021||Mumbai||Active Covid cases in Maharashtra dip below 30,000; minor students can take trains||In an indication of decline in the Covid-19 cases, the active infections in Maharashtra have now dipped to below 30,000. As schools and colleges reopened in the state, the government on Thursday allowed children to travel on trains. The notification is significant as the state had permitted only fully-vaccinated commuters to travel by trains and so far, vaccination is allowed only for those above 18 years of age.The state on Thursday recorded 29,560 active cases. The active cases started to decline below the 30,000-mark from Wednesday, when 29,555 active cases were recorded, as compared to 30,525 active infections registered on Tuesday. State surveillance officer Dr Pradeep Awate said the decline in the active cases indicated a drop in Covid-19 cases. “The reduction in active cases indicates that we have been able to contain the Covid-19 pandemic. We have been able to bring down the numbers due ramping of tests, quick isolation of patients as well as timely medication,” said Dr Awate.Currently the state has 29,560 active patients, of which Pune tops the list with 8,296 active infections, followed by Mumbai (6,212), Thane (3,744), Ahmednagar (3,148) and Satara (1,424).Pune has been leading in the number of active cases, followed by Thane, for months together. The third position has been alternated by Mumbai, Ahmednagar or Satara. However, in recent days, owing to a surge in the cases, Mumbai has now overtaken Thane and has the second-highest number of active cases.The number of active cases in the peak season had reached 600,000 this year.Dr Wiqar Shaikh, professor of medicine, Grant Medical College and Sir JJ Hospital, said “We are seeing the thick tail of the second wave which was prolonged for a very long time. The history of the pandemic shows that we will be getting multiple waves but the severity will all depend on the behaviour of the citizens as well as the government.” “While citizens have to adopt Covid-appropriate behaviour, the government has to ramp up all the medical infrastructure in anticipation of the future waves,” said Dr Shaikh.On Thursday, Maharashtra recorded 2,384 Covid-19 new cases and 35 deaths. Mumbai recorded 558 cases and five deaths.The total number of Covid-19 patients since the outbreak in March last year has now reached 6,586,280.The state conducted 136,952 tests on Thursday and clocked 2,343 recoveries.The toll reached 139,705, with Pune recording the highest fatalities – 19,529 – followed by Mumbai (16,172) and Thane (11,398).Meanwhile, the state government relaxed some more restrictions on Thursday. Till now, the government regulations for closed halls only allowed for 50% of the seating capacity or maximum 200 attendees, whichever more. The new notification has removed the 200-limit and has allowed 50% of attendees of capacity in closed halls. This will be beneficial for bigger establishments as they will get to accommodate more people which was not possible owing to the 200-people cap. The rule will be applicable for public/private, ticketed or any event. The government, however, has made it mandatory for all organisers, attendees as well as the staff to be fully vaccinated. They have also decided to fine the organisers as well as facility managers ₹50,000 for any violation of rules.The state has also relaxed rules for railway travel as currently only those who have taken both the doses of vaccine 14 days before their travel are allowed. With schools and colleges reopening, students below 18 years have also been permitted to travel on train. In addition, even those who are not allowed to take a vaccine due to their medical condition, will be allowed, provided they have a certificate on their condition from a recognised doctor.||https://www.hindustantimes.com/cities/mumbai-news/active-covid-cases-in-maharashtra-dip-below-30-000-minor-students-can-take-trains-101634234992327.html
14-10-2021||Mumbai||79 civic schools in Mumbai yet to start teaching sessions on campus for classes 8-10||Ten days after schools in Mumbai reopened for students from classes 8 to 12, 79 civic schools are yet to commence teaching sessions on the school premises, data from Brihanmumbai Municipal Corporation (BMC) has revealed. Out of a total of 867 municipal schools in Mumbai for classes 8 to 10, 788 have reopened their campuses for students. The remaining schools have not been able to do so either because they house a vaccination or Covid-19 quarantine centre on their premises, or because the major structural repairs to municipal school buildings that the administration undertook during the lockdown months have still not been completed.Out of the total 71,783 students enrolled in classes 8, 9 and 10 in the 867 municipal schools, 24,023 students attended classes on the school premises on Thursday, while others opted for online classes, data has shown. A senior civic official from BMC’s education department said, “The attendance of students varies. Some students attend schools a few days a week and chose to attend lectures online on other days. We have also given schools the option of conducting lectures on alternate days for different classes. So only class 9 and 10 students may attend on one day, while class 8 students go to school on another, to ensure social distancing.”Assistant commissioners of the respective wards with jurisdiction over schools where Covid-19 quarantine or vaccination centres are operational have been looking for alternate feasible locations to shift the centres, so that schools can restart. A deputy municipal commissioner said, “In my zone, we have a large number of slums where schools had vaccination centres on their premises. It is not easy to find alternate locations within the slums. In such cases, we have located open spaces, and are putting up temporary structures there to shift these centres.”While schools which had vaccination or quarantine centres within their premises may be able to restart lectures by early next week, others – where building maintenance and repair work are ongoing – may take longer to reopen. The official from the education department, quoted above, said, “We have to think of the safety of students first. We have shortlisted some buildings where lectures can start in adjoining classrooms, while repair work goes on in a neighbouring wing, or alternate floor. But some other schools may remain closed for the rest of the month until the repair work is over.”||https://www.hindustantimes.com/cities/mumbai-news/79-civic-schools-in-mumbai-yet-to-start-teaching-sessions-on-campus-for-classes-810-101634234932030.html
14-10-2021||Mumbai||What do medical experts from Mumbai say on ‘long-Covid’ definition given by WHO?||The World Health Organization (WHO) last week defined ‘post-Covid’ or what is commonly known as ‘long-Covid’, a term used for Covid-19 patients who suffer from prolonged after-effects of the infection. The health agency used Delphi methodology – a structured exercise to arrive at a group opinion or decision by surveying a panel of experts. Five groups of stakeholders, including patients, patient-researchers, external experts, WHO staff and others were involved in formulating the definition. What does the definition state? The WHO definition of long-Covid states: “Post-Covid-19 condition occurs in individuals with a history of probable or confirmed SARS CoV-2 (the virus that causes Covid-19) infection, usually three months from the onset of Covid-19 with symptoms and that last for at least two months and can’t be explained by an alternative diagnosis. Common symptoms include fatigue, shortness of breath, cognitive dysfunction but also others and generally have an impact on everyday functioning. Symptoms may be new: onset following initial recovery from an acute Covid-19 episode or persist from the initial illness. Symptoms may also fluctuate or relapse over time.” It has also clarified that a separate definition may be applicable for children. Was such categorisation important? The absence of both a single terminology and a clinical case definition have been repeatedly signalled as drawbacks to advance on research and management of these patients, according to WHO. Experts say categorisation is also important for patients to accept their condition. “When there is a certain categorisation, patients learn to group themselves and come forward to seek help,” said Dr Nitin Karnik, head of medicine at the civic-run Lokmanya Tilak Municipal General Hospital in Sion. “In the absence of categorisation, patients often get lost in follow-ups. Starting of post-Covid out-patient departments (OPDs) has, therefore, been a crucial step taken by most hospitals, where patients with lingering issues can seek help,” he said. Critical care specialist Dr Kedar Toraskar from Wockhardt Hospital said that the definition is helpful, but doctors should not haphazardly label symptoms as post-Covid. “Patients may have health issues due to some underlying conditions that may not be Covid-related. Thus, a thorough diagnosis is a must before labelling the symptoms as post-Covid,” he said. Commonly, effects lingering on for more than eight weeks were identified as post-Covid by doctors. Some patients, who suffered from the after effect beyond three to six months, were identified as long-haulers. What is the estimated number of long-Covid? Estimates on long-Covid vary a lot. About 5% of Covid-19 patients suffer from the severe form of infection requiring a longer hospital stay, oxygen support and intensive care unit (ICU) admissions. Patients who have moderate to severe forms of infection are more likely to have residual health issues say doctors. However, some patients with mild Covid-19 have long term lingering after-effects too. “Conservatively, I would say about 10 % patients have long-Covid, requiring follow-ups for physical and mental rehabilitation,” said Dr Toraskar, who is also a member of the Covid-19 task force of Maharashtra. While fatigue, myalgia (muscle pain), hair loss, body ache, poor appetite, muscle wastage are some of the common long-term impacts, patients also have frequent episodes of low-grade fever and effort intolerance wherein minutest efforts to walk from one room to another are not tolerated by the body. “When patients suddenly find themselves struggling to do their daily chores, they panic,” said Dr Karnik. “They need a lot of reassurance that their body will recover gradually with good diet and physiotherapy. The worst impacted are families where all members got Covid-19 and all the adults developed long-Covid. In such cases, we have seen patients struggling as there are no caregivers,” he said. Dr Karnik estimates that nearly 30% of patients suffer from long-Covid. “The long-term sequelae clear out in most patients gradually,” he said. A study published in the medical journal JAMA Network Open on Wednesday has estimated that more than half of the patients diagnosed with Covid-19 globally will experience post-Covid or long-Covid symptoms, up to six months after recovering. The study was carried out by researchers from the Penn State College of Medicine. The team conducted a systematic review of 57 reports that included data from 250,351 unvaccinated adults and children who were diagnosed with Covid-19 from December 2019 through March this year. The researchers identified many long-term health issues involving general well-being, mobility, neurological conditions, mental health disorders, lung abnormalities, cardiovascular issues, skin conditions and digestive issues among the survivors. “Our results indicate that clinical management of persistent post-acute sequelae of Covid-19 (PASC) will require a whole-patient perspective, including management tools like virtual rehabilitation platforms and chronic care for post-acute Covid-19 symptoms in conjunction with the management of pre-existing or new comorbidities,” the researchers stated in the study, further recommending one-stop multidisciplinary clinics to avoid multiple referrals to different specialists and encourage comprehensive care.||https://www.hindustantimes.com/cities/mumbai-news/what-do-medical-experts-from-mumbai-say-on-long-covid-definition-given-by-who-101634234872062.html
14-10-2021||Mumbai||Mumbai civic body cancels vaccination drive at public centres for Friday||There will be no vaccination drive at public vaccination centres in Mumbai on Friday, the Brihanmumbai Municipal Corporation (BMC) said in a statement on Thursday. However, the civic body said that the drive has not been cancelled owing to shortage of vaccines and that it has sufficient vaccine stock. A senior civic official said, “We have halted the vaccination drive at public vaccination centres only for one day on Friday. This is not because of shortage of vaccine doses. The drive will continue on Saturday.”The festival of Dussehra will be celebrated on Friday.The drive will resume in the city on Saturday. There are over 300 BMC vaccine centres in Mumbai, and 20 state or Central government-operated vaccination centres. There are 145 private vaccination centres.Until Thursday, out of the target population of 9,236,500 citizens, 8,578,685 (92%) had received their first dose, while 4,780,983 citizens (51%) were fully vaccinated.On Thursday, a total of 46,540 beneficiaries were vaccinated in the city across 309 municipal vaccination centres, 20 state centres and 145 private vaccination facilities, operating a total of 509 vaccination sessions of one hour each.||https://www.hindustantimes.com/cities/mumbai-news/mumbai-civic-body-cancels-vaccination-drive-at-public-centres-for-friday-101634234811958.html
14-10-2021||Lucknow||Apna Dal (S) gives political twist to deputy speaker’s election||The BJP government may have made up its mind to get Nitin Agarwal elected as the deputy speaker of the legislative assembly, its alliance partner Apna Dal (S), however, appears to have thrown a spanner in the party’s works giving a political twist to the exercise demanding that the deputy speaker should be elected from among the MLAs of Dalit or OBC community in Uttar Pradesh.“No Dalit or OBC member occupies the post of speaker of legislative assembly or chairman of legislative council in the state. Under such circumstances, a member of Dalit or OBC community should be elected as the deputy speaker. This will be a good message from the government,” said Ashish Patel, an MLC and Apna Dal (S) national working president.“We have raised our demand to the government on the issue. The government has numbers and will take a call on the issue,” said Patel, who is also the husband of Union minister of state Anupriya Patel.UP minister for finance and parliamentary affairs Suresh Khanna, while speaking to Hindustan Times here on Wednesday, confirmed that Nitin Agarwal will be his party’s choice for the post of deputy speaker of UP assembly.A Samajwadi Party MLA, Nitin Agarwal along with his father former MP Naresh Agarwal had joined the BJP in 2018. The Samajwadi Party’s petition seeking Nitin Agarwal’s disqualification was recently rejected. A divided opposition has also not worked out any joint strategy to counter the BJP’s decision for election to the post. The Samajwadi Party apparently is not happy with the BJP government’s move and may consider fielding party MLA Narendra Verma for the post.When contacted, Verma said he was not aware of any such move. Samajwadi Party spokesman Rajendra Chaudhary said SP national president Akhilesh Yadav would take a call on the issue. BSP legislature party leader Shah Alam alias Guddu Jamali said he would seek directives from BSP chief Mayawati on the issue. Congress Legislative Party leader Aradhna Mishra ‘Mona’ has already said her party would take a call once the assembly’s agenda was finalised.Meanwhile, a meeting of the business advisory committee has been convened on October 17 (Sunday) to decide the state assembly’s agenda. State assembly speaker Hriday Narayan Dikshit has already fixed October 18 (Monday) as the date of election of deputy speaker’s post. The nomination papers may be deposited in the office of principal secretary, state assembly, Pradeep Dubey on October 17.Nitin Agarwal, if elected as the deputy speaker in the legislative assembly of Uttar Pradesh, may not have the shortest ever term. The seventeenth assembly was constituted on March 14, 2017 and end of its term would mark end of term of the deputy speaker.A list of 17 deputy speakers posted on the state assembly’s website shows that deputy speakers have worked for less than four months to less than 10 months in the past. While Waqar Ahmad Shah held the deputy speaker’s post from November 14, 2003 to July 26, 2004 while Ammar Rizvi was in office from September 28, 2001 to January 20, 2002.||https://www.hindustantimes.com/cities/lucknow-news/apna-dal-s-gives-political-twist-to-deputy-speaker-s-election-101634234391612.html
14-10-2021||Delhi||Finding hostel room will prove a challenge for new DU students||With admissions to Delhi University colleges currently underway, finding a place in the college hostels is likely to become more difficult and financially challenging as several colleges are considering converting their rooms into single occupancy in order to adhere with Covid-19 protocols.Currently, the university is only holding in-person practical classes for final-year undergraduate and postgraduate students, with no clarity on when or how classes will begin for first-year undergraduate and postgraduate students once the admissions are over next month.Of the around 280,000 applicants to DU this year, only 40% aspirants (115,000) are from Delhi-NCR areas and the remaining are from across India. Of the 20 DU colleges offering hostel facilities (till 2019), six offer both male and female hostels, while 12 colleges offer only female hostels and the rest offer only male hostels. Apart from these, the university also has a hostel for undergraduate students on the north campus.While the university hasn’t provided any data on the number of seats available in these hostels in the past two admission cycles due to the pandemic, in 2019, a total of 3,752 seats were available in these hostels – far fewer than the number of outstation students (146,955) that year.This year, several colleges with hostels for its undergraduate students such as Hansraj College, Kirori Mal College, Indraprastha College, Lady Shri Ram College, and Miranda House said there have been deliberations on converting hostel rooms to single occupancy which would reduce the capacity of hostels. However, a final call will be taken once they receive guidelines for reopening from the university, the officials said.Vibha Chauhan, principal of Kirori Mal College, which has nearly 200 seats in its male hostel, said this will be reduced when rooms are converted to single occupancy to ensure safety of students. “Since hostel admissions happen on merit, we will wait for the admission cycle to be over [to initiate the process]. However, since the double occupancy rooms have to be converted to single occupancy to ensure physical distancing, the capacity will be halved. Some of our rooms are still locked as many third-year students still have their luggage there,” she said.Colleges such as Kirori Mal and Miranda House have had a handful of students on their campus, including foreign students, who couldn’t go back home owing to various reasons, including travel restrictions.Babli Moitra Saraf, principal of Indraprastha College for Women, which accommodated around 450 students in its hostels before Covid, can now accommodate only 225 – of which half are already enrolled students further reducing the intake of the first-year batch.“We are facing a dilemma because it is inherently discriminatory to open to only Delhi-based students when we have a large group of outstation students. With the Covid protocol reducing intake by half in our case, there are significant financial implications for hostel aspirants as well as for the college. Colleges have to organise housekeeping, catering and all other services regularly. We also have to have mechanisms to ensure protocols are observed with regards to Covid-appropriate behaviour, contact tracing, and other safety protocols,” she said, adding that parents too were being cautious and the college wasn’t receiving many queries about hostel facilities.Registrar Vikas Gupta said while the university administration had advised colleges that outstation final-year students returning to hostels after September 15 could be allowed to stay in single occupancy rooms, the decision pertaining to other students will be taken later.“Once outstation students have isolated themselves for a week in the hostel, they could stay with other students while reducing physical interactions; colleges may take a call on that. Authorities will take the final decision [on room occupancy] once more students start coming in. Factors such as the prevailing Covid situation, vaccination status, and a negative Covid test report will also be taken into account,” he said. Many applicants, especially female students, often rely on college hostel facilities during admissions due to their affordability and safety. Assam’s Jorhat district resident Namrata Kalita, 18, who will be studying political science at Indraprastha College for Women, said college hostels are “safest” for women.“I need a hostel admission because it is better than rented accommodations where we have to manage food, cleaning, and other chores. For a young woman moving out of her home to Delhi for the first time, safety and security are of paramount concern. College hostels are always safest. Getting a hostel seat has always been difficult and with Covid, it becomes more important for colleges to devise ways to help outstation students,” she said.Manoj Khanna, principal of Ramjas College, said they are waiting for university guidelines on the matter. “We can only plan [how to reopen hostels] once we receive guidelines from the university on which students will be called to campus and then calculate the number of seats available for each year-wise batch. While single occupancy rooms are safer, it will halve the strength. We also have to plan how other facilities, such as mess, will work. If the mess is overcrowded, there will be a safety risk. We have to decide if we can have a schedule for meals or arrange room service,” he said.Vice-chancellor Yogesh Singh told Hindustan Times that the university will reopen gradually due to the concerns over a third wave of Covid. “The previous two waves have been during March. So we have to be careful before taking any decision as our priority is the health and safety of students. A decision will be taken only after considering all aspects,” he said.Several candidates who have taken admission in undergraduate courses have expressed concerns over finding accommodation in the capital. This is the second admission cycle wherein college and university hostels will remain out of bounds to new students.Bengaluru resident Tisha Mondal, who has taken admission in BCom (Honours) in Kamala Nehru College under the second cutoff, said she plans to stay at a rented accommodation. “For outstation students, it has always been difficult to verify the safety of rented accommodations or the facilities being offered by landlords. Parents would need to personally check these when they come for admission. Covid has disrupted that. Since there is an impending risk of a third wave, I will be opting for online classes till at least the year-end even if colleges reopen. We are hoping that the university will allow blended mode of learning,” she said.||https://www.hindustantimes.com/cities/delhi-news/finding-hostel-room-will-prove-a-challenge-for-new-du-students-101634234152842.html
14-10-2021||Lucknow||Time for eco-friendly idol immersion after Durga Puja||LUCKNOW The immersion of idols to mark the end of Durga Puja festivities will be carried out in a traditional, but eco-friendly way this year too. The Lucknow Municipal Corporation (LMC) has set up mega ponds on the banks of river Gomti to facilitate green immersions and Durga Puja samitis have also given their thumbs-up to the arrangements, assuring full cooperation for the cause. Piyush Mordia, joint commissioner of police (law and order) said the committees have been allowed to carry out idol immersion in an eco-friendly way at the existing points on the banks of river Gomti. “We have established mega ponds at several places, including Jhulelal Vatika, Lakshman Mela ground, Kudiya Ghat and other points on the banks of Gomti,” said Ajay Kumar Diwedi, municipal commissioner, who is taking care of the arrangements for idol immersion on the riverbank. LMC officials said these mega ponds roughly measure around 30 x 18 ft, 20 x 15 ft, 50 x 20 ft and 30 x 20 ft that are enough to meet out the requirements of devotees. This is the third consecutive year when artificial ponds have been established for idol immersion instead of allowing immersion into the river. Durga Puja samitis have assured they will follow government guidelines and also ensure Covid protocols are strictly followed during the immersion ceremony. “We will ensure that the immersion is carried out in an eco-friendly manner and Covid protocols are followed strictly. But, the government is yet to inform us how many people will be allowed in the immersion ceremony. Last year, only five people were allowed,” said Sushanto Ghosh, secretary, Bondhu Mahal. Other Durga Puja committees have also assured to carry out the idol immersion in an eco-friendly manner. Of the others, two samitis would be carrying out idol immersion at their respective places. “We have decided to carry out idol immersion ceremony on our own premises at Shivaji Marg. This is perhaps the second consecutive year when we will be carrying out the immersion on our premises. We have made elaborate arrangements to ensure that social distancing and other Covid protocols are followed strictly,” said Arun Kumar Banerjee, president, Bengali Club, which is more than 100 years old. Similar arrangements have been made by the Ramakrishna Math where idol immersion ceremony would be held at their own pond on the outskirts of Lucknow. “In view of the government restriction regarding idol immersion into the Gomti, the math has decided to organize immersion ceremony on our private pond. All arrangements have been made to ensure that Covid protocols are followed,” said Swami Muktinathananda, adhyaksh (head of the Math).||https://www.hindustantimes.com/cities/lucknow-news/time-for-eco-friendly-idol-immersion-after-durga-puja-101634233913034.html
