31-10-2021||News||Mind The Gap | Report card: What is it like for girls being back in school?||THE BIG STORY
31-10-2021||Pune||245 new Covid cases in Pune district on Sunday||PUNE On Sunday, Pune district has reported 245 new Covid-19 cases and zero deaths due to the infection. This takes the progressive count to 1.15 million of which 1.13 million have recovered, 19,943 is the death toll and 3,432 are active cases currently in hospital undergoing treatment or in home isolation. Pune also 6,000 vaccinations on the day. As per the state health department, Pune rural reported 128 new Covid-19 cases which takes the progressive count to 365,347. The death toll stands at 6,892. Pune city reported 69 new Covid-19 cases which takes the progressive count to 520,765 with the death toll at 9,199. PCMC reported 48 new Covid-19 cases and the progressive count went up to 268,664. The toll stands at 3,503.Pune district also saw 6,951 vaccinations on the day as per the CoWin dashboard on Sunday. A total of 12,107,466 have been vaccinated, of which 7,842,955are first doses and 4,264,511 are second doses. A total of 251 sites saw vaccinations of which 146 are govt centres and 105 are private centres||https://www.hindustantimes.com/cities/pune-news/245-new-covid-cases-in-pune-district-on-sunday-101635704907459.html
31-10-2021||Lucknow||Daily wager jumps into crocodile-infested river to save ghariyal eggs||Bahraich: It takes extreme courage to jump into a river infested with crocodiles and ghariyals, merely to save a couple of eggs. But then, exceptions are usual in Katarniyaghat Wildlife Sanctuary, located on the Indo-Nepal border.Unmindful of the risk to his life, Laxman, a daily wage employee in Katraniyaghat Wildlife Sanctuary, jumped into the deep water of the Gairuwa river to save the floating eggs of ghariyals. He retrieved them and placed them back at the breeding pads near the Ghariyal Centre set up at the KWS so that baby ghariyals may be hatched out. On being asked, Laxman said that a sandbar where ghariyals laid their eggs was cut down by the flow of the Gairuwa. He said he saw two ghariyal eggs floating in the river and jumped in without even thinking. There are only two rivers, Chambal and Gairuwa, in the world where ghariyals’ (Gavialis Gengeticus) natural breeding takes place in a concentrated manner. The reptile has been declared one of the most critically endangered species in the world. It is 20 times more endangered than the tiger in the Red Data Book published recently by the International Union for the Conservation of Nature and Natural Resources (IUCN). It may be noted that the Gairuwa , which originates in Nepal, enters the sanctuary through eight channels. Owing to fresh and uncontaminated water of Gairuwa, several endangered species like Gangetic dolphins and ghariyals are growing well here.Divisional forest officer (DFO) Akash Deep Badhawan praised Laxman for his outstanding and courageous task. He said people did not even dare to go on a boat in these waters where ghariyals were present in good number. The DFO said last week a boy’s leg had to be amputated due to crocodile attack.Recalling another forester’s courageous work, Badhawan said one Pawan Shukla was attacked and injured twice in leopard attack in 2006 and 2020. But even after two attacks, Pawan goes to the forest for patrolling with full dedication. The DFO said the work of foresters was not less than that of a soldier deployed on the border. But their work was not being recognized like police men and soldiers. Inspector general of forests Ramesh Kumar Pandey also shared Laxman’s picture on his Twitter handle as an unsung hero.||https://www.hindustantimes.com/cities/lucknow-news/daily-wager-jumps-into-crocodile-infested-river-to-save-ghariyal-eggs-101635704784709.html
31-10-2021||Other||UP ATS arrests one more member of inter-state fake currency gang||Lucknow: The UP Anti-Terrorism Squad (ATS) on Sunday arrested one more member of the inter-state fake currency gang, involved in the circulation of Fake Indian Currency Notes (FICN) in various parts of the state and the country, including Lucknow, Prayagraj, Varanasi and Jaipur, said ATS officials. The gang members duped several businessmen, realtors and professors in these cities by providing them high quality fake currency notes, claiming that these were of four times the face value of original currency, they added.UP police additional director general (ADG), Law and Order, Prashant Kumar said, “The arrested gang member has been identified as Michael Yadav alias Monty, a resident of Varanasi. Monty was arrested on Sunday in connection with a FIR of fraud and loot registered at Gomti Nagar police station in the matter.” The gang was busted after arrest of two persons Abhishek Pratap Singh of Pratapgarh and Saurabh Yadav of Maharashtra, on Friday. ATS officials said that the gang members used to convince the victims that the fake notes were of such high quality that these would easily be circulated, and could not be detected by law enforcement agencies and banks. However, to dupe the victims they used to show a few real Indian currency notes and claim these were fake notes of superior quality, they added. The officials said the gang had duped and robbed at least 20 people using the same modus operandi in the past two years and the victims never complained fearing police action against them. As per the ATS press release, the officials said the gang was busted after arrest of two people Abhishek Pratap Singh of Pratapgarh and Saurabh Yadav of Maharashtra on Friday. The ATS had recovered around ₹ 44.77 lakh from their possession that they had robbed from a Prayagraj realtor in a Noida hotel on October 27. The total ₹90 lakh was robbed from the realtor. Sharing further details, the ADG said that the gang members used to call their prey at some secluded place with money after convincing them on phone and fled with their money after robbing or duping them. “Monty revealed that he has been associated with the gang since March, 2019, after meeting the two leaders of the gang Sachin and Avinendra Mishra in a Mumbai hotel,” he said. “As per Monty’s revelation, the gang has duped ₹5 lakh from an agricultural university professor in Prayagraj, ₹ 80 lakh from a professor of another university in Lucknow, robbed ₹30 lakh from a Jaipur businessman in Delhi, a Prayagraj relator in Noida and a businessman in Varanasi. Besides, the gang had duped and robbed several other people in different cities and states,” he stated. The official said, three members of the gang have been arrested while the involvement of five more have surfaced during the investigation and further efforts are been done for their arrest.||https://www.hindustantimes.com/cities/others/up-ats-arrests-one-more-member-of-inter-state-fake-currency-gang-101635704486751.html
31-10-2021||Mumbai||CBI makes first arrest in corruption case against ex-Maharashtra home minister Anil Deshmukh||The CBI took into custody one Santosh Jagtap on Sunday in connection with a case of alleged corruption against former Maharashtra home minister Anil Deshmukh, making it the first arrest in the high-profile case, officials said.The agency arrested Jagtap, an alleged middleman, from Maharashtra's Thane in the morning, they said, adding that the accused was evading the probe even after the issuance of non-bailable warrants against him last month.The Central Bureau of Investigation (CBI) had raided the premises of Jagtap in August and seized ₹9 lakh in cash, the officials said.The agency has booked Deshmukh and other unidentified accused under the Indian Penal Code (IPC) section related to criminal conspiracy and provisions of the Prevention of Corruption Act for an "attempt to obtain undue advantage for improper and dishonest performance of public duty".After he was removed from the Mumbai police commissioner's post, Param Bir Singh had alleged in a letter to Maharashtra chief minister Uddhav Thackeray that Deshmukh had asked Waze to extort over ₹100 crore a month from the bars and restaurants in the city."The Preliminary Enquiry prima facie revealed that a cognizable offence is made out in the matter, wherein the then home minister of Maharashtra, Anil Deshmukh, and unknown others attempted to obtain undue advantage for improper and dishonest performance of their public duty," the CBI FIR alleges.According to the CBI manual, a Preliminary Enquiry (PE) is initiated to assess if there is enough prima facie material in the allegations to proceed with a regular case for a full-fledged probe, the officials said.The CBI enquiry found that Waze, Assistant Police Inspector, Mumbai Police, was reinstated into the force after being out of police service for more than 15 years.He was entrusted with most of the sensational and important cases of Mumbai City Police and Deshmukh, the then home minister, knew about it, the FIR alleges.It also alleges that Deshmukh "and others" exercised undue influence over the transfer and posting of officials, thereby exercising undue influence over the performance of their official duties.||https://www.hindustantimes.com/cities/mumbai-news/cbi-makes-first-arrest-in-corruption-case-against-anil-deshmukh-101635702915762.html
31-10-2021||Noida||Air quality in Noida, Ghaziabad worsens||The air quality in Noida worsened on Sunday, but remained in the ‘poor’ category. The air quality is, however, likely to improve over the next two days due to the change in the wind direction from northwesterly -- which carries smoke from stubble burning -- to the cleaner southerly, according to the air pollution monitoring agencies.“The festival rush or increase in traffic movement, and dropping temperatures or wind speed, are the reasons behind the spike in the pollution levels over the past 24 hours,” said Shambhavi Shukla, deputy programme manager (air pollution), Centre for Science and Environment (CSE).According to the Central Pollution Control Board (CPCB), the air quality index (AQI) reading, on a scale of zero to 500, for Noida on Sunday was at 292 against 260 a day earlier. The AQI in Ghaziabad was at 342 against 273 on Saturday, and 292 in Greater Noida against 273 a day earlier.An AQI reading between 101 and 200 is considered ‘moderate’, between 201 and 300 ‘poor’, between 301 and 400 ‘very poor’, and above 400 ‘severe’.According to the System of Air Quality and Weather Forecasting and Research (Safar), the fire count has reduced slightly over the past 24 hours, and the air quality is likely to improve in the coming days.“The air quality is likely to improve to the upper end of the ‘poor’ category in the next two days due to an expected change in the wind direction to westerly or southwesterly, reducing the transport of emissions from stubble burning. Isolated rainfall is likely in the upwind region which would improve the air quality. Share of crop residue burning emissions in PM2.5 is about 8% at present. Prevailing shallow mixing layer height reduces dispersion of pollutants,” according to a statement by the SAFAR on Sunday.According to the Safar, the effective fire count (stubble burning) on Sunday was recorded at 1,734 against 1,826 a day earlier.Meanwhile, the daytime temperatures recorded a slight drop in Noida. According to the India Meteorological Department (IMD), the maximum and minimum temperatures in Noida on Sunday were recorded at 29.2 degrees Celsius and 17.1 degrees Celsius, respectively, against 29.2 degrees Celsius and 14.8 degrees Celsius, respectively, a day earlier.“Maximum and minimum temperatures will hover around 30 degrees Celsius and 17 degrees Celsius on Monday,” said an IMD official.||https://www.hindustantimes.com/cities/noida-news/air-quality-in-noida-ghaziabad-worsens-101635704066288.html
31-10-2021||Noida||Noida admin launches month-long drive to revise electoral rolls||The Gautam Budh Nagar administration will launch a month-long campaign from November 1 to revise the electoral rolls ahead of the upcoming assembly elections, with an aim to enrol new voters and also weed out people who have shifted out. Vandita Srivastava, additional district magistrate (finance and revenue), and deputy district election officer, Gautam Budh Nagar, said that the special summary revision of electoral rolls will take place from Monday. “The booth level officers (BLOs) will visit door-to-door for this exercise. We will also organise four special camps on November 7, 13, 21, and 27 – which fall on Saturdays and Sundays – where people can submit forms for enrolment or corrections,” Srivastava said. “There are 1,754 booths in the district, with one BLO at each booth. We have provided the required training to the BLOs to conduct the revision exercise. They have been asked to ensure 100% compliance to corrections of electoral rolls in their respective areas,” she said. The district administration on Saturday held a meeting with the BLOs, and also conducted the first level checking of the electronic voting machines. “The revision forms can be submitted either online or offline. People can submit their forms to the BLOs and also at their tehsils. In online process, they can use www.nvsp.in or voters helpline app – VHA,” said the deputy district election officer. People who complete 18 years on January 1, 2022, are eligible for enrolment as voters. People can also call the election control room number – 1950 – for any query or clarification, the officials said.Srivastava said that the district election office also conducted the Systematic Voters’ Education and Electoral Participation (SVEEP) programme in different colleges in Greater Noida in the past few weeks to enrol young voters. As of October 31, 2021, Gautam Budh Nagar has 1,567,617 registered voters in three assembly constituencies – Noida (having 664,837 voters), Dadri (565,682) and Jewar (337,098). Uttar Pradesh may go to polls in May next year, the officials said.||https://www.hindustantimes.com/cities/noida-news/noida-admin-launches-month-long-drive-to-revise-electoral-rolls-101635704064969.html
31-10-2021||Noida||Noida’s first anti-smog tower likely to be operational on Tuesday||The first anti-smog tower in the city, along the Delhi-Noida-Direct (DND) road near the Film City in Noida, may be operational on Tuesday to mitigate air pollution in the area, said officials of the Noida authority on Sunday.The 20-metre-tall anti-smog tower will cover a space of 400 square metres, and mitigate air pollution during the winter season.“We have completed installation of the anti-smog tower and aim to make it operational on Tuesday, if everything goes well. We have completed all the installation work properly, and the operations will commence to keep the air clean,” said SC Mishra, senior project engineer of the Noida authority.During the trial, if the authority finds out that the tower is capable of reducing the pollution levels, then, it will install multiple anti-smog towers at different locations.“In a trial for at least 15 days, we will plan installation of anti-smog towers at other locations too,” Mishra added.According to the authority officials, it has built the tower under the corporate social responsibility (CSR) funds which were arranged from the central government’s public sector undertakings (PSUs). A budget of ₹2.5 crore was allocated for the project. The work on the ground started on September 25 this year after the approval in its board meeting on September 24.The tower will clean the air with polluting particles around it and release purified air, said the officials. Equipped with intake and exhaust fans, the tower will initially run with the help of electricity. The authority, however, plans to run the tower with the help of solar energy later.“We will require ₹3 lakh per month to run this tower properly. As of now, we will use electricity to run it, and will install solar panels later,” said an official of the Noida authority, requesting anonymity.He also said that the maintenance cost of the tower, excluding electricity charges, includes changing of filters which will clean pollutants in the air. “We will have to change the filters every 15 days.”Covering an area of 1,000-metre radius around it, the tower will benefit the residents in Noida sectors 15, 15A, 16, 16A (Film City), 17 and 19 among others. Nearly 1 lakh commuters travel along the DND and the Delhi-Noida Expressway link road, and the installation of the tower will be beneficial for them too, said the authority officials.A machine fixed inside the tower will remove nearly 80% of the particulate matter i.e. PM2.5 and PM10 in the air, and help bring down the pollution levels in the area.In November 2019, the Supreme Court had asked the central and Delhi governments to come up with a road map for installing smog towers in the national capital region (NCR) to combat air pollution.||https://www.hindustantimes.com/cities/noida-news/noidas-first-anti-smog-tower-likely-to-be-operational-on-tuesday-101635703944741.html
31-10-2021||Other||Sunday vaccination drive in Lucknow: Over 21,000 jabbed against Covid-19||LUCKNOW: Over 21,000 people were inoculated against Covid-19 under the special vaccination drive conducted on Sunday, for the first time in Lucknow. Till 7pm, the total 21618 doses were administered at 133 vaccination centres. Of the total, about 500 doses were administered by private hospitals. “According to the health department data, 10,593 people took their first dose which means new beneficiaries were added on Sunday. This suggests more such initiatives should be conducted on holidays to motivate eligible beneficiaries to take the jab,” said Dr Abhishek Shukla, secretary general, Association of International Doctors. “The outcome of the Sunday vaccination will be analysed to decide similar drives in future,” said Dr MK Singh, in charge of vaccination in Lucknow. Lucknow has so far administered 45,94,597 doses, including 31,06,503 first doses and 14,88,094 second doses, he added. The vaccination by government centres is conducted from Monday to Saturday while private hospitals conduct it seven days a week.||https://www.hindustantimes.com/cities/others/sunday-vaccination-drive-in-lucknow-over-21-000-jabbed-against-covid19-101635703889710.html
31-10-2021||Kolkata||'No chance': BJP leader on Kailash Vijayvargiya returning to Bengal to oversee party's functioning||Former BJP West Bengal unit president Tathagata Roy on Sunday claimed there is “no chance” that the party’s national general secretary Kailash Vijayvargiya would return to the state to oversee its functioning.As in-charge of the party in West Bengal, Vijayvargiya supervised its campaign in the 2021 assembly elections in the state."As far as I know, there is no chance of Kailash Vijayvargiya returning to the state," Roy told a vernacular news channel.Roy had earlier criticised Vijayvargiya, former state president Dilip Ghosh and party leaders Arvind Menon and Shiv Prakash, blaming them for BJP’s poor show in the assembly polls held earlier this year.Asked for his reaction on Roy's comments, BJP state president Sukanta Majumdar said he has nothing to say about the remarks.||https://www.hindustantimes.com/cities/kolkata-news/bjp-leader-says-vijayvargiya-won-t-return-to-bengal-to-oversee-bjp-s-functioning-101635703071915.html
31-10-2021||Lucknow||#FLOWERPOWER: Diwali lifts spirits, all eyes now on ‘sahalag’!||The hustle bustle at the flower market in Chowk is bringing smiles on the faces of farmers, wholesellers and retailers. It’s 7 am and the buyers and sellers are busy trading the large variety of flowers that are brought from nearby places including cities like Bangalore, Bhopal, Mumbai, Pune as well as abroad. With Dhanteras just a day away, followed by Diwali festivities and marriage season ahead, everyone is upbeat about the coming months. They have faced huge losses due to ongoing pandemic which resulted in small weddings, slim gatherings and low-key events. “Peechle saal se hi dhandha bahut manda hai! Last Diwali was passive and marriages were also low key with cap on large gathering. Is Diwali se umeed hai sab accha hoga aur agey bhi jabardast sahalag hai,” says whole seller Mohd Aleem Rehman who houses decorative flowers which includes gerbera, daisy, star, gladiolus, different variants of rose, lilly, carnation and orchids. The market is however dominated by marigold and nearly 75 per cent of the business is of this yellow flower followed by rose and other variants. Mohd Naeem, who comes from Khadra every day, says, “Currently, the price of genda phool ki ladi is between ₹8-10 per meter which on Diwali can go to ₹20 or even 50 per meter depending on demand and supply ratio. Diwali pe koi daam nahi hota hai. Retailers who buy from us at ₹20 a meter sell at ₹50-60 in plush areas.” Spread across the large expanse, on the majestic backdrop of Bada Imambara and Asifi Mosque, are huge piles of marigold flowers and both men and women making strings that are sold in length — both per meter and in kilos. A woman seller on anonymity says, “Jyadatar ladkiyan woh hai jo school ke lije nikalti hai aur 4-5 ghante mala banati hai. Har din ₹50-100 ke beech tak inka ban jata hai. Diwali wale din ₹1000-3000 sab kama lete as they double up as traders and make their own garland and sell directly.”Besides flowers there is a good range of leaves as well that are mixed with flowers to make decorative bunch and bouquet which includes manokamna leaves, China patti, golden, morpankhi, ferns and many more. “The main reason for these sellers making good money on Diwali is that common retailers too come to pick up fresh stuff. So, even if we charge little extra to them it’s still very economical for buyers from their respective area,” says Talib Mansoori. Young Pinku with his aunt Pooja comes from Sindhauli (50 kms) every day. “We have own farming and buy from market as well. For Diwali we lend money on interest but make good money also. Suppose if we daily earn ₹200-300 profit and in two-days of Diwali we can make ₹10,000 or even more,” says Pooja. Muneshwar Prashad a farmer from Mahilabad brings 50-60 kgs of marigold every day. “Navratri se acchi bazaar chali rahi hai. Ab December main sahalag tak bahut accha dhanda hoga.”Many have started preparing for the Diwali rush as people start decoratinfrom the festival of Dhanteras. “We make strips and keep in cold storage as marigold had good shelf life. But, for puja we don’t sell kept stuff as for prayers we need fresh flowers,” says Abbas, a whole seller and adds if someone smells flower, we throw it away as it can’t be offered in prayers then!||https://www.hindustantimes.com/cities/lucknow-news/flowerpower-diwali-lifts-spirits-all-eyes-now-on-sahalag-101635703526055.html
