20-12-2021||News||2021 in numbers: Central government’s receipts||The Covid-19 pandemic has taken a toll on livelihoods as well as human life. As earlier stories in this series have shown, it has hurt jobs and incomes. There is a view among economists that this strain put on livelihoods by the pandemic, which continues to a lesser degree in even the current financial year because of new variants of the Sars-CoV-2 virus, can be reduced by the government putting money in the hands of the people. Any government’s capacity to spend, however, depends on how much it earns. The central government’s receipts also took a hit in the last financial year. This is what receipts look like in the current financial year that began in April.
20-12-2021||News||Mind The Gap | The case for and against raising the marriage age for women||THE BIG STORY
20-12-2021||Pune||Recruitment scam: 16 suspended, 22 chargesheeted by Pune Zilla Parishad||PUNE Pune Zilla Parishad, on Monday, announced that 16 officials who had been involved in the recruitment scam spanning 20 gram panchayats were suspended from services with immediate effect. The ZP has also chargesheeted 22 officials involved in this matter and has issued notices to 212 former Panchayat Raj elected members from the concerned villages. This action by the ZP was prompted by the submission of the report by the enquiry committee appointed to investigate allegations of improper recruitment of staff members to 20 gram panchayats, just prior to the villages being included in the Pune Municipal Corporation (PMC) limits. “The report with the list of employees has been submitted to Pune Municipal Corporation for further action. A copy of the report has also been submitted to the Rural Development and Panchayati Raj department of the Government of Maharashtra. Administrative action has been carried out in the Pune Zilha Parishad and departmental enquiry hearings would be held at the Divisional Commissioner’s office, as per the law,” said Ayush Prasad, chief executive officer, Pune Zilla Parishad. In December 2020, the state government issued a draft notification for the merger of 23 villages into PMC limits, after which major recruitments were carried out in the gram panchayats of most of the 20 villages. According to officials, 658 persons were recruited just before these gram panchayats became part of Pune PMC. Also, 44 persons were found to have been recruited by the Manjri Gram Panchayat in an earlier inquiry by the Block Development Officer of Haveli. Gradually the reports of improper recruitments came into the public sphere and the ZP also received few complaints. On June 30, the state government officially merged 23 villages in the PMC, making it the biggest municipal corporation in Maharashtra, with an area of 516 sqkm. An enquiry committee, headed by Dattatraya Munde, was then appointed by the ZP to investigate allegations of improper recruitment of staff members to gram panchayats. The committee started working in July 2020 collecting records from every gram panchayat. The final report was submitted to the ZP on December 17. ZP officials said that of the 23 villages merged with the PMC, no irregularities were found in Pisoli, Shewalewadi and Mahalunge. “A total of 69 employees from these 20 gram panchayats were on their approved Akruti Bandh, 247 persons were recruited earlier and have been working since a long time. But, 658 persons were recruited just before the merger. I would like to appreciate the enquiry committee for showing courage in the face of tremendous pressure and different forms of intimidation. They worked diligently and very hard to study the documents of 60,000 pages,” said Ayush Prasad. According to a member from this enquiry committee, every gram panchayat in question had to be investigated in a different way. Gram sevaks and elected representatives had adopted different methods to make the payments of these new improperly recruited staffers. “In seven gram panchayats, we found that gram sevaks had recruited their own sons. The family members of the elected representatives had also found place in the recruitment list. Different methods were adopted to hide the salary payment records of these staffers. We had to check every document. It was all done so that eventually these staffers would be employees of the Pune Municipal Corporation,” said a committee member, on the condition of anonymity. Though the enquiry report has been submitted and action has been initiated against those who are guilty, the enquiry committee hasn’t been able to verify allegations that the recruitments were done in exchange for money. The committee in its report has asked the administration to carry out this probe by a suitable investigation agency and has mentioned that the allegations could not be verified because this matter was not in its jurisdiction. Pune ZP has sent this report to PMC and now that these villages have been merged with the civic body it would take a decision on the future of the improperly recruited staffers in the Gram Panchayats. “We haven’t received the report yet. We will decide once we get it with proper details and lists,” said Rajendra Muthe, deputy commissioner PMC .23 villages merged with PMC Mhalunge, Sus, Bavdhan Budruk, Kirkatwadi, Pisoli, Kondhwe-Dhawade, New Kopre, Nanded, Khadakwasla, Manjari Budruk, Narhe, Mantarwadi, Holkarwadi, Autade-Handewadi, Wadachiwadi, Shewalewadi, Nandoshi , Mangdewadi , Bhilarewadi, Gujar Nimbalkarwadi, Jambhulwadi, Kolewadi and Wagholi. • Recruitment scam related action not initiated in Shewalewadi, Mhalunge, Pisoli 11 villages merged with PMC in 2017 Lohegaon, Mundhwa, Hadapsar, Uttamnagar, Shivane, Ambegaon Khurd, Undri, Dhayari, Ambegaon Budhruk, Phursungi and Urli Devachi.||https://www.hindustantimes.com/cities/pune-news/recruitment-scam-16-suspended-22-chargesheeted-by-pune-zilla-parishad-101640024848219.html
20-12-2021||Pune||Deliberations ongoing for a global treaty to deal with future pandemics: WHO chief scientist||PUNE Amid the unabated spread of the Omicron variant of the SARS-CoV2 virus, World Health Organisation (WHO) Chief Scientist Dr Soumya Swaminathan on Monday said that discussions are taking place at the global level on whether there is need for an international treaty to effectively combat future pandemics.A few weeks ago the World Health Assembly (WHA) in a Special Session met to draft and negotiate a WHO convention, agreement, or an international instrument on pandemic prevention, preparedness and response.Addressing the opening ceremony of the seminar of Panex-21, WHO Chief Scientist said, “Some of the discussions that are now happening at the global level are about whether we should have a global pandemic treaty that binds all countries into certain types of behaviour just like we have rules around atomic use of nuclear energy.”“The use of biological weapons is not permitted and there are global conventions and agreements in the area of health,” she added.Citing the example of the WHO Framework Convention on Tobacco Control, Dr Swaminathan said the convention took many years to negotiate but ultimately it established rules around tobacco control, which has resulted in a significant reduction in tobacco consumption.“That is a good example of an international treaty that will be possible for dealing with the future pandemic,” WHO Chief Scientist added.Earlier this month, the WHA had agreed to kickstart a global process to draft and negotiate a convention, an agreement under the Constitution of the WHO to strengthen pandemic prevention, preparedness and response.This was decision is aimed at protecting the world from future infectious diseases crises.Dr Tedros Adhanom Ghebreyesus, WHO Director-General had said the decision by the World Health Assembly was historic in nature, vital in its mission, and represented a once-in-a-generation opportunity to strengthen the global health architecture to protect and promote the well-being of all people.Panex-21 is a multi-nation disaster management exercise organised by the Indian Army with a special focus on relief in the backdrop of the Covid-19 pandemic. Bangladesh, Bhutan, Nepal, Sri Lanka, Myanmar, Thailand and India- BIMSTEC countries are among those participating in the event.||https://www.hindustantimes.com/cities/pune-news/deliberations-ongoing-for-a-global-treaty-to-deal-with-future-pandemics-who-chief-scientist-101640024552284.html
20-12-2021||Pune||Covid-19 pandemic not yet over, says Army chief General Naravane||PUNE Army chief of staff General M M Naravane on Monday said that the outbreak of Covid-19 has taught everyone many lessons and that disaster management against the backdrop of the pandemic is a reality and a major challenge, since the pandemic is not yet over. General Naravane stressed the importance of global and regional cooperation while tackling any pandemic-like situation Speaking at the inauguration of PANEX-21, a trans-national, multi-agency exercise organised in Pune from December 20-22 with a focused aim to “foster jointness and develop capabilities in disaster management aspects for the BIMSTEC (Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation) nations”. The Army chief said the fact is that the pandemic is not over as new variants have added realism to the conduct of this exercise. The South Asian region is prone to a large range of natural hazards, including floods, droughts, cyclones, earthquakes, landslides, and tsunami, he noted. “Rapidly growing unplanned urbanisation, ecological degradation, and corresponding climate change effects and dynamically varying socio-economic conditions have increased our exposure to various natural hazards,” he said. All have witnessed the rising frequency of disasters with more intense and catastrophic events, he pointed out. “Our response strategies have also evolved aided by rapid improvements in technology, and have become more robust and resilient. Trans-national cooperation between BIMSTEC nations continues to be driven by common and shared challenges,” he said. The pandemic has overwhelmed the national capacity, disrupted the supply chain, and brought everyone back to the drawing board, he said. “Disaster management in the backdrop of the pandemic is a reality and a major challenge and this also forms a basic theme of PANEX-21,” he said. The earlier exercise was conducted in February 2020, in the early days of the pandemic, General Naravane said. “A lot has changed since then. The devastating effects of the pandemic have been witnessed and acknowledged by the world. We have realised that our standard operating procedures which worked well in the past are no longer active and we would need transformative changes,” he said. It was realised that resource preservation in the times of pandemic is as challenging as an application for disaster management, the Army chief said. He said it has become incumbent for the response teams to first protect themselves before being able to assess others. “We have also come to accept that no single agency has the capability or capacity to handle the challenge on their own. Not only that, such has been the strain on the resources that even well-developed countries with modern infrastructure have looked beyond for aid and assistance,” he said. PANEX-21 is unique as it is for the first time the exercise of this magnitude has been undertaken to review the mechanism and streamline the response strategy in the backdrop of pandemics, he said. The BIMSTEC regional organisation comprises Bangladesh, Bhutan, Myanmar, Nepal, Sri Lanka and Thailand, besides India. (With agency inputs)||https://www.hindustantimes.com/cities/pune-news/covid19-pandemic-not-yet-over-says-army-chief-general-naravane-101640024313146.html
20-12-2021||Pune||Exam fee waiver for SSC, HSC students who lost parent due to Covid||PUNE On Monday, the Maharashtra State Board of Secondary and Higher Secondary Education (MSBSHSE) issued a notification wherein exam fees of students from Class 10 and Class 12 who lost parent(s) due to Covid will be waived.According to the notification, Dr Ashok Bhosale, secretary of MSBSHSE, said, “Many students of Secondary School Certificate (SSC) and Higher Secondary Certificate (HSC) have lost their parents or legal guardians due to the pandemic. Exam fees for such students will be completely waived off for the annual examination which will be conducted in 2022. This fee waiver will be a special exception for students for this year.” Last week, Maharashtra education minister, Varsha Gaikwad declared the dates for final examinations for Class 10 and Class 12 in 2022.“Class 12 HSC oral exams will take place between February 14 and March 3, while written papers will be conducted from March 4 to April 7, 2022. And Class 10 SSC oral exams will be conducted from February 24 to March 14, and written exams will take place between March 15 and April 18, 2022. The final examination will be held offline,” said the minister.Date extended to fill form On Monday, the State board issued another notification wherein dates to submit the exam forms for Class 10 have been extended.“The dates for exam form submission have been extended from December 27 to January 1, with late fees. Forms can be downloaded and payment of form fee can be done till January 6,” said the notification.Maharashtra State board issued a notification on Monday regarding the dates of Class 10 and Class 12 examination scheduled for March - April of 2022. The detailed time table for each subject will be published on the website www.mahahsscboard.com from December 21. “The timetable on the website is for the information for the students. The students should relay on the detailed timetable handed out to the schools and colleges and crosscheck the dates of examinations before hand,” said Dr Bhosale.||https://www.hindustantimes.com/cities/pune-news/exam-fee-waiver-for-ssc-hsc-students-who-lost-parent-due-to-covid-101640024008718.html
20-12-2021||Pune||Ajit Pawar okays Sambhaji Maharaj memorial at Vadhu Budruk||PUNE Deputy chief minister Ajit Pawar, on Monday, gave an in-principle approval for construction of a grand memorial to commemorate the history of Chhatrapati Sambhaji Maharaj at Vadhu Budruk in Pune. According to Ajit Pawar, the memorial of Chhatrapati Sambhaji Maharaj “should be glorious, commemorating his workmanship, befitting his personality and magnificent in terms of its structure.Chhatrapati Sambhaji Maharaj is the second Chhatrapati of the Maratha Empire who ruled from 1681 to 1689 and was the eldest son of Chhatrapati Shivaji Maharaj. Vadhu Budruk is a village in Shirur tehsil of Pune district. Ajit Pawar further said that a competition should be organised for the design of the monument to select the best design. Pawar instructed the district administration to work with the locals and take them into confidence while designing the project.A meeting was held under the chairmanship of Ajit Pawar, at which tourism minister Aaditya Thackeray, MLA Ashok Pawar, additional chief secretary of Finance Manoj Sounik, Pune Divisional Commissioner Saurabh Rao, District Collector Rajesh Deshmukh, Pune Zilla Parishad CEO Ayush Prasad, and Pune Rural Superintendent of Police Abhinav Deshmukh were present, among others.Hundreds of thousands of people visit Vadhu Budruk every year to pay homage at the Samadhi of Chhatrapati Sambhaji Maharaj. Pawar further directed that utmost care should be taken to ensure proper facilities for those who come for darshan. “Development work in the area preserving the sanctity of Chhatrapati Sambhaji Maharaj’s samadhi, with the consent of all, should be done in a grand manner,” he added.||https://www.hindustantimes.com/cities/pune-news/ajit-pawar-okays-sambhaji-maharaj-memorial-at-vadhu-budruk-101640023769776.html
20-12-2021||Mumbai||Maharashtra to implement graded response action plan to combat air pollution||Mumbai: The Maharashtra government has planned to implement an emergency response system, similar to Graded Response Action Plan (GRAP) in Delhi to combat air pollution. This will be done in non-attainment cities that consistently fail to meet the National Ambient Air Quality Standards (NAAQS) for PM 10 (Particulate matter that is 10 microns or less in diameter) or NO2 (Nitrogen Dioxide). The Maharashtra Pollution Control Board (MPCB) drafted this plan and shared it with Brihanmumbai Municipal Corporation (BMC) along with other eligible local bodies in September 2020. According to officials, this is likely to be implemented in time for next year’s pollution cycle.The GRAP is a set of measures that are triggered in phases as air quality deteriorates. For example, when the Air Quality Index (AQI) in Delhi-NCR hits the ‘severe’ category, concerning municipal corporations in Delhi, Haryana and Uttar Pradesh impose bans on polluting activities such as construction, operation of cement mix plants and running diesel generators, and step-up patrolling for open burning. The sprinkling of water and road-sweeping to control dust pollution are also activities triggered under the GRAP every winter in the National Capital Region (NCR), when air quality hits the ‘very poor’ AQI category.MPCB has categorised air quality in four stages (from ‘moderate’ to ‘emergency’) based on the daily concentration of particulate matter pollutants PM2.5 and PM10. In Delhi, the pollution control measures range from dust sweeping during ‘moderate’ conditions to imposing odd-even vehicle rationing schemes and blanket bans on construction work when pollution levels touch ‘severe’ classification. These gradations, and the actions mandated under them, are uniform across Maharashtra and will be implemented by municipal bodies when air quality remains within a category for 48 hours.The GRAP will be implemented in 25 non-attainment cities and five cantonment boards across the state. A senior MPCB official informed, “All municipal corporations and councils of non-attainment cities in Maharashtra have been given a copy of the GRAP. They have been told to take appropriate action for the improvement of air quality by implementing it, but this has not happened yet. It is up to the Urban Local Bodies (ULB)s to start doing so. The MPCB will act as the regulator of this plan and seek daily reports from the environment departments of the implementing ULBs.”The official further informed that in a coastal city like Mumbai, where winters are very mild, there may never be a situation when air quality touches the ‘emergency’ category. But in cities like Pune, or further west like Nashik and Nagpur, where winters are much intense, GRAP will play an important role in curbing air pollution.Sunil Godse, who heads the BMC’s environment wing, said that GRAP will be put through a public consultation process in the last week of February 2022, as part of the Mumbai Climate Action Plan which is being developed in partnership with the World Resources Institute (India). “Once the graded action goes through the public consultation process, we will begin implementing it. It should be operational in time for next year’s pollution cycle in Mumbai,” Godse said.The GRAP, which was first implemented in Delhi-NCR in 2017 — at the instruction of the now-defunct Supreme Court-appointment Environmental Pollution Control Authority (EPCA) — has seen little success in north India, where cities like Delhi, Faridabad, Gurugram, Noida, Ghaziabad, Sonipat, continue to see high levels of air pollution during the winter.“The problem with the GRAP is that it is a reactive measure, not pre-emptive. In Delhi-NCR, which has a vast airshed and where the meteorological conditions are not favourable for dispersal, the GRAP has not shown much efficacy. But in cities across Maharashtra, you see a lot more regional variation in pollution levels, and there is a chance that the GRAP may show measurable impact. It will depend entirely on implementation, and ideally should be accompanied by a forecasting system so you can start implementing the measures before the air quality deteriorates irrevocably,” said Sachin Pawar, an independent air quality scientist certified by the Quality Council of India under the union environment ministry.Dr SN Tripathi, an atmospheric scientist at IIT-Kanpur and member of the Steering Committee of the National Clean Air Programme (NCAP), said, “The Maharashtra government is very progressive in its approach to air pollution. But, indeed, the GRAP in Delhi has not had much measurable impact on the overall air quality. It’s a step in the right direction, but every city has widely different sources of air pollution and meteorological conditions, and it would be beneficial for Maharashtra to tailor this policy toward the local realities of its non-attainment cities rather than impose it as a blanket policy.”||https://www.hindustantimes.com/cities/mumbai-news/maharashtra-to-implement-graded-response-action-plan-to-combat-air-pollution-101640023589106.html
20-12-2021||Lucknow||Luckowites seek relief from pollution with air-purifying plants||The high pollution level in the state capital and smog has attracted the attention of citizens towards indoor plants that are said to have high air purifying properties. The nurseries in Lucknow have reported rise in sale of plants such as peace lily, snake plant, syngonium, areca palm, aglaonema, monster and rubber plants. The air quality index in the city remains as poor and severe. Since the lockdown sales of plants have registered substantial growth but it has seen a rapid growth due to social media awareness, says Sandeep Rai who runs a nursery in Mahanagar. “After lockdown the online sale portal propagated a lot about benefits of plants and the NASA survey in which they had named few plants with high air purifying properties and the toxins they remove. It’s a known fact that plants give oxygen and along with it brings us close to nature, gives a feeling of happiness which has given rise to this fad,” says Rai.Ardent plant lover and educationist Shalini Singh has planted several air-purifying at home. “My me time is being with my little green world that we have created at our balcony as we don’t have gardening space. Areca palm, peace lily, marble queen, aloe vera, snake plant, syngonium, dracaena and aglaonema which are said have air-purifying qualities besides many other flowering and ornamental plants adorn my home,” she says.Play House school principal Shabnam Kapur, who started Arjun Nursery in her son’s memory, too vouched for the trend. “We had a dumpyard at the back of our school that we converted into a nursery for kids to remain close to nature, learn and prepare plants that eventually purchased by parents. Flowering plants are fast-selling in winters but plants which are high on air-purifying now more in demand. We know about the oxygen emitting property of plant and with that it gives happiness and keeps us close to nature,” she says.Gokul, the gardener at her nursery adds, “Bahut log oxygen wale ped mangne aate hai. Kafi saare to pehle bilkul nahi biktey they par ab sabko spider plant, peace lily aur areca palm chahiye.”Shachi Singh, who runs social enterprise Nature’s Gift and promotes rooftop farming, calls it a small step toward self reliance. “How long will we blame others for everything! We need to cut pollution, promote greenery and rooftop farming is an option where we can and it’s a step towards being self-dependence, healthy living and being close to nature. I am happy that people are slowly but becoming aware,” she says.||https://www.hindustantimes.com/cities/lucknow-news/luckowites-seek-relief-from-pollution-with-air-purifying-plants-101640023528844.html
20-12-2021||Pune||Prices of tomato, brinjal spike as farmers claim crops destroyed by December rain||PUNE Non-seasonal rains early in December have damaged vegetable crops as a result of which retail rates have now spiked, especially in the prices of tomato and brinjal.The rates of brinjal, which do not cross ₹60 per kg, surged to ₹80-90 per kg in retail markets, while tomatoes which are generally below ₹40 per kg are now retailing for ₹60 per kg.In some areas of the city – tomatoes are being sold at ₹70 per kg.“Last week there was a shortage of vegetables. This week the condition is better, however, the rates are expected to remain high as many farmers have suffered damages due to unseasonal rains. The wholesale rates have gone up by 20%,” said Vilas Bhujbal, president, Market Yard Commission Agents.“Along with the damage caused by the unseasonal rains, due to marriage season and less supply, tomato and brinjal rates are high,” added Bhujbal.For the last two years, Pune district has been getting rains in November and December and it has impacted the rates of vegetables.“Generally, during winter, it is expected that vegetable rates remain stable, but these trend has changed in the last two years in Pune district due to rains. The unseasonal rain has caused heavy damages to all vegetables and also to fruits like strawberries. We have not seen ample strawberries coming in to the city till now this year,” added Bhujbal.In the wholesale market – a bag of 10kg brinjals costs around ₹600-800, while tomato is trading for between Rs150 to Rs300 for 10kg.Shalmali Rege, resident of Sinhgad road said, “In winter season, tomato rates never go up like it is happening now. We used to make tomato ketchup at home, purchasing tomatoes at ₹10-15 per kg a couple of years back. For the last two years we have stopped making it because the price is crossing ₹40 per kg.”“Rates are fluctuating every day in Sahakar nagar. Rates are Rs20 less in the afternoon, but it increases in the evenings. Most vegetable vendors keep the rates the same, if one can bargain then it is your luck, otherwise you have to pay extra,” said Sayali Shinde, a school teacher who stays near Sahakar nagar.Chandu Bisure, vegetable vendor from Ideal colony, Kothrud said, “There was a shortage of brinjal and tomato last week in the wholesale market so rates have gone up.”Leafy vegetablesWith fewer trucks of leafy vegetables coming into market yard, rates have gone up. “A 30 per cent rise has been noticed in leafy vegetables. The rates of methi and spinach are stable. High rates are expected to remain the same for next week,” added Bhujbal. “The rates are expected to remain high till Makar Sankranti (January 14), supply increases during this time and rates start to stabilise,” added Bhujbal||https://www.hindustantimes.com/cities/pune-news/prices-of-tomato-brinjal-spike-as-farmers-claim-crops-destroyed-by-december-rain-101640023470163.html
20-12-2021||Delhi||Delhi pollution: Construction ban over but dust control a priority, says Rai||New Delhi: Following directions from the Commission for Air Quality Management (CAQM) in NCR, Delhi environment minister Gopal Rai on Monday said the government has issued a notification to immediately lift the ban on construction and demolition activities and entry of trucks into the city, but added that firms need to strictly adhere to 14-point dust guidelines issued by the Delhi government. Rai also said that the government’s campaigns against dust pollution and open burning will continue, and teams will further undertake night patrolling to ensure dust norms are being followed in the Capital.The 14-point guidelines include measures such as setting up anti-smog gun for sites measuring over 20,000 square metres, sprinkling water to settle dust, covering construction material with tarpaulin, and cleaning up after the entry and exit of supply trucks, among others.“If a construction company is found violating any of the 14 rules, firm action will be taken against the company and the site in question will also be sealed if needed. Hence, it is my appeal to all agencies involved in C&D (construction and demolition) work to not take unfair advantage or be careless now that the ban has been lifted,” said Rai on Monday.He further asked people to report any violations on the Green Delhi app.“Pollution levels in Delhi had increased considerably post-Diwali and we were recording ‘severe’ air. Keeping this in mind, all construction and demolition (C&D) works were banned in Delhi, with only activities of national importance allowed to continue. All trucks entering Delhi, barring those involved in essential services, were also banned, but with Delhi’s AQI not touching severe in the last 10 days, these bans have been lifted immediately,” said Rai on Monday.Rai added the government’s anti-dust campaign and its anti-open burning campaign are still in place, with agencies such as the PWD, the corporations, and the fire brigade continuing sprinkling of water.“These campaigns and drives are continuing and it is my appeal to the people of Delhi that while some of the emergency measures we had taken to tackle pollution are now being relaxed, we still have to work towards improving the air quality in Delhi for which we need everyone’s cooperation,” he said.||https://www.hindustantimes.com/cities/delhi-news/delhi-pollution-construction-ban-over-but-dust-control-a-priority-says-rai-101640023468243.html
20-12-2021||Lucknow||UP govt seeks guidance over NISHAD Party’s SC quota demand||The Uttar Pradesh government on Monday shot off a letter to the Registrar General of India and the Census Commissioner of India seeking guidance over the reservation to the Nishad community under Scheduled Caste (SC) category.The Nirbal Indian Shoshit Hamara Aam Dal (NISHAD) Party chief Dr Sanjay Nishad, an ally of the Bharatiya Janata Party (BJP) in the 2022 UP assembly election, has raised the demand for the inclusion of Nishad, Majhwar, Kewat and Mallah communities in the Scheduled Caste category and reservation for them in government jobs accordingly.Union home minister Amit Shah had assured the Nishad community to fulfil their demands and resolve all the problems in the joint rally of the NISHAD Party and the BJP held on Ramabai Ambedkar ground in Lucknow on December 17. There, the NISHAD Party chief Sanjay Nishad had handed over a memorandum to chief Minister Yogi Adityanath demanding reservation to the Nishad community under the SC category.A state government spokesperson said, special secretary, UP government Rajnish Chandra has sent the letter to the registrar general and the census commissioner in which he has drawn the attention of both the authorities towards the Majhwar caste which is mentioned at number 53 in the list of scheduled castes of the Uttar Pradesh government.The memorandum of NISHAD Party chief has also been attached with the letter in which Sanjay Nishad has stated that Majhi, Majhwar, Kewat, Mallah and Nishad surnames are used by people of Majhwar caste in different areas of the state. “Due to the use of various surnames, they are not issued SC certificates whereas other SC people using various surnames are getting benefits meant for SC members,” he said. “Dr Sanjay Nishad has demanded that all the people with surname of Majhwar caste should also be given Scheduled Caste certificates,” the spokesperson added.Reacting to the letter, Dr Sanjay Nishad said, “The party thanks the BJP leadership and chief minister Yogi Adityanath to fulfil the long pending demands of the Nishad community. The Nishad community has been fighting for justice since long. The reservation to the Nishad community under SC category was one of the main demands of the NISHAD Party.” Replying to a question, Sanjay Nishad said the Nishad community leaders who joined the SP on Monday were expelled from the party in 2019 on the charges of indiscipline and anti-party activities.||https://www.hindustantimes.com/cities/lucknow-news/up-govt-seeks-guidance-over-nishad-party-s-sc-quota-demand-101640023408295.html
