---||Bengaluru||Camera fee hike in Bandipur irks wildlife enthusiasts||The Karnataka Forest Department’s decision to hike camera fee in Bandipur and Nagarahole Tiger Reserves, has not gone down well with wildlife enthusiast. Manjunath Hegde, who often goes on safaris, says, “Most visitors to the reserve are amateurs who click pictures for their personal collections. These days, everyone owns a decent camera, but not everyone sells their photographs. Capturing wildlife in a picture is about getting a feel of nature. The revised prices are higher than that of any other wildlife sanctuary in the country. The authorities say the revenue generated will be used for forest conservation, but with the new charges, the frequency at which enthusiasts head there will reduce. There is no guarantee that you will get to capture great pictures, or even see wild animals on every safari. Do they expect us to come back and try our luck again by paying this hefty fee?” Wildlife enthusiast Amal George has started an online petition against the fee hike “The forest department has been collecting fees for camera use since 2017. To what end has this money been used so far, if they now claim that the new charges are going into wildlife conservation?” he asks. Rahul Taranath, also a wildlife enthusiast, adds, “The increased tariff is to combat rising fuel and maintenance costs. Yet, through the years, the amenities provided to visitors have been below average and continue to be so.”||http://timesofindia.indiatimes.com//city/bengaluru/camera-fee-hike-in-bandipur-irks-wildlife-enthusiasts/articleshow/82031351.cms||Vinay Lokesh
---||Allahabad||Coronavirus in Prayagraj: High pathogenicity, infection rate worry health dept||PRAYAGRAJ: Officials of the district health department in Prayagraj district are perplexed and worried after noticing higher pathogenicity and high infection rate among the residents in the second wave of coronavirus pandemic. Officials said the latest trend amid rising Covid-19 cases reveals that more than two or three members of the same family in the city are testing positive in the second wave, while one or two at most had tested positive in the first wave. Moreover, more young people, in the 18 to 45 age group, said to be having good immunity, are getting infected this time, signaling a higher pathogenicity of the Covid-19 variant causing a second wave. Additional CMO and nodal officer (Covid-19) Dr Rishi Sahai told TOI, “The Covid surge this time and analysis of cases and trends reveal a higher pathogenicity and infection index in the city. It is a dangerous trend and so we are focusing on extensive testing to contain the spread of the disease. We have scaled up our testing target to around 20,000 per day.” "We are roping in 200 lab assistants for testing and studying the cases for deciding the further course of action," Dr Sahai added. Revealing infection trends in the district, the nodal officer said around 70% of Covid cases are being detected from urban pockets and the rest from rural areas. “The health department has decided to conduct around 15,000 tests daily from Wednesday onwards and will increase it to 20,000 by next week,” said Dr Sahai. “The contract tracing of the infected will also be increased since this variant is more infectious. Now, we will be tracing at least 20 contacts of a Covid patient and testing would be done at doorstep,” he added. In a more significant development, officials are compiling the data of cases where the CT (computed tomography) scan report of patients revealed both lung infection and pneumonia even though both antigen and RT-PCR tests had been negative. In the second wave, the number of Covid cases in Prayagraj has crossed the 7,000-mark. “Over 70% containment zones are in urban pockets compared to Trans-Ganga and Trans-Yamuna areas. This shows that infection is spreading more in urban pockets,” he added. Officials are now specifically focusing on areas from where more cases are being reported and have initiated corrective measures to curb infection.||http://timesofindia.indiatimes.com//city/allahabad/coronavirus-in-prayagraj-high-pathogenicity-infection-rate-worry-health-dept/articleshow/82037041.cms||Kapil Dixit
---||India||Seven die as mini bus falls into gorge in Doda||JAMMU: Seven passengers, including four women, died and three others were critically injured after a minibus skidded off the road and broke into two parts before falling into a river in J&K’s Doda district on Monday. A police source said, “The accident took place on Thathri-Gandoh road near Piyakul village, approximately 42km from Doda township, when the driver of the minibus lost control over the vehicle while negotiating a sharp curve and it fell into Kalnai river.” Six persons died on the spot and four critically injured were rescued and shifted to nearby hospitals. The deceased were identified as Yaser Hussain of Dhrouth, Shakur Din of Kahara, Kalee Bagum of Pykul Bhalesa, Anjoo Devi of Challer, Sudhesha Devi of Suhanda Shiva and Bhim Chand of Challer Bhalesa. “Four critically injured were airlifted to Jammu. However, a woman succumbed to her injuries on the way to Jammu during airlifting and was declared brought dead. Another injured person was shifted to Doda hospital,” a police officer said. Doda SSP Mumtaz Ahmad said, “Death toll has risen to seven as a woman succumbed to injuries after being airlifted to Jammu. Police and locals had rushed to the spot and launched a massive rescue-cum-search operation.” Meanwhile, a defence spokesperson said that an IAF helicopter from Jammu was pressed into service to rescue those critically injured in the accident.||http://timesofindia.indiatimes.com//india/seven-die-as-mini-bus-falls-into-gorge-in-doda/articleshow/82038170.cms||Sanjay Khajuria
---||Mumbai||How Japanese forest therapy transformed Mumbai's green cover||MUMBAI: A canopy of kanchan, karanj, neem, jamun and palash trees casting a 20-feet high shade on the Central Railside Warehouse is barely reminiscent of the cement bags, construction debris and toxic air particles that once defined this corner of a massive cement storage facility in Jogeshwari until even a year ago. Hemmed in by the concrete chaos and smoke-belching motor vehicles zooming past its busy roads, the 23,000-sq ft of dusty wasteland is now a foliage-rich micro forest with over 7000 kinds of medicinal and fruit-bearing trees with bumble bees and butterflies feeding on its nectar and pollen. This curious patch of lush jungle-like greenwood, smack in the middle of Mumbai’s urban sprawl is the first urban forest that the city watched sprout to life in 2020 when Pradeep Tripathi of Green Yatra, an environmental NGO, used the Japanese Miyawaki planting technique to recreate in one year, a natural forest resembling a 10-year-old one. “A green wall,” is what Tripathi calls this bulwark against heat, dust, carbon and concrete that the city is constantly heaving under. At least 50 such miniature fast forests have been popping up in unorthodox spots in the city — dumping yards like Nisarga Udyan, busy arterials road like Chembur’s Eastern Freeway and in barren wastelands such as Bhakti Park’s industrial ward — ranging in size that could be as small as a tennis court or as dead as a landfill site. Developed by Japanese vegetation ecologist Akira Miyawaki in the ‘80s and adapted on a war footing by urban cities like Singapore, Kenya, New York, and now Mumbai, crafting these DIY forests require saplings with well-developed roots of 20 to 50 different species planted closely together in a random mix like one would find in the wild. The trick lies in their proximity — three to five saplings per square metre — that pushes them to compete with each other for water and sunlight thus accelerating its growth. Advocates for the method say these micro forests “grow 10 times faster, 30 times denser and are 100 times more biodiverse” than those planted by conventional methods. Two years of watering, weeding, monitoring and they convert into a self-sustaining forest. If Tripathi has already sown nearly seven lakh saplings in and around Mumbai and gearing up to plant another lakh across Navi Mumbai before the monsoons, BMC swung into action and planted 2.21 lakh trees to fill 43 tiny Miyawaki forests over the past year, the first of which bloomed at Narayan Pujari Nagar near Worli this January. “Urban greening is emerging as a tried and tested approach to mitigate some of the impact of climate change. The BMC, in its budget for the years 2020 and 2021 allocated Rs 20 crore to plant at least 3.75 lakh trees using the Miyawaki method and the fact that most of these trees have reached a height of 5 to 7 feet in just one year is a sign that the forests are growing properly and can become the city’s lungs,” said Jitendra Pardeshi, BMC’s superintendent of gardens who likens it to the centuries-old tradition of Deorai, a practice common among locals in the Western Ghats to conserve small patches of forest as “sacred groves”. While such forest therapy as a fitting response to the city’s building boom, rampant tree felling and vulnerability to extreme weather shifts makes Miyawaki particularly attractive to many environmentalists, it can be expensive at the nascent stage. A would-be forester would need to bear a high initial cost for the intensive process of surveying the natural vegetation of the area, testing the soil, digging pits, building nutrients into the soil and judiciously plotting out a mix of trees. “It can cost you upto Rs 500-800 per sapling depending on the need to excavate the land, throw debris and buy new soil for replacement,” says Tripathi. But is creating mini forests across the city enough to salvage the city’s traditional tree cover? Urban planner Pankaj Joshi, principal director of Urban Centre Mumbai feels, while Miyawaki afforestation of critical stretches with large infrastructure projects may be a good way to heal sore plots of land and a great alternative to “farcical” tree transplantations that don’t survive, “Care has to be taken that most of the species planted are indigenous,” he says pointing at the silver oaks brought into Panchgani between the ‘20s and ‘40s. “It’s been 100 years and even now birds don’t sit on those plants nor do birds eat its fruits. It’s important that these trees don’t just perform as a plant but the entire ecosystem responds.” Tripathi agrees. Just a shade of green does not mean biodiversity. “The flaming red Gulmohar from Madagascar, rain trees native to South America or the yellow peltophorum from southeast Asia that you get to see in Mumbai these days are all non-native with hardly any birds nesting in them,” he says. At the same time, it’s not just about planting random indigenous plants. “One should not attempt a forest unless they’ve visited a virgin forest in the neighbouring area. One must survey the forest, study the distribution of trees and follow that same pattern when planting an urban forest.” And though Miyawaki forests cannot replace natural ones — “carbon content in an individual tree is less compared to one growing in a natural forest and they score less in hydrology due to a lack of deep roots” points out Subhash Ashutosh, director general, Forest Survey of India — the pros outweigh the cons. “Miyawaki forests can still be effective as a quality reforestation process because their total biomass content is high and so is their nutrient uptake due to their dense 1000-tree cluster of different species compared to natural forests with not more than 250-300 trees,” reassures Ashutosh. Apart from being an antidote to urban woes by lowering temperatures, reducing noise, supporting local wildlife and sucking carbon from the air, "Their potential to restore degraded habitats is a great advantage,” says Tripathi who has been using the Miyawaki technique to inject green into “dead and damaged land”. He recently planted 40,000 saplings at Nisarga Udyan in Koparkhairane that will transform the three-acre landfill site into the largest urban forest in the MMR region. “No land is a bad land anymore,” he smiles.||http://timesofindia.indiatimes.com//city/mumbai/how-japanese-forest-therapy-transformed-mumbais-green-cover/articleshow/82038169.cms||Mohua Das
---||India||J&K will soon unveil new policy to attract filmmakers: LG||SRINAGAR: Jammu and Kashmir will soon roll out a new policy to attract filmmakers and bring back the lost golden era of filmmaking in the Union territory, Lieutenant Governor Manoj Sinha said here on Monday. Addressing the two-day virtual conference on ‘Tapping the Tourism Potential of Kashmir — Another Day in Paradise’ at SKICC on the banks Dal Lake, Sinha said the J&K government has almost finalized the new film policy “which will be announced within 10 days from now”. “The policy entails a road map on how we can bring back Kashmir’s golden era on the silver screen in the 70s and 80s. We have been reading and hearing that Kashmir used to be the favourite destination of Bollywood filmmakers. We as a team will work to bring back that lost era,” Sinha said. He also said that there are many unexplored destinations in Jammu and Kashmir, but his administration is taking steps to bring them on the tourist map. “We are focusing on putting in place a better infrastructure at new spots so that tourists can enjoy them hassle free. For this, we have invited private players as well,” he said. Sinha said despite Covid-19 pandemic, Kashmir witnessed the highest number of domestic tourist arrivals among all states since December 2020. “This of course helped to revive the tourism industry in Kashmir,” he said. He said the number of arrivals has helped decreasing the unemployment rate in the UT. “Thousands of people associated with the industry have got employment opportunities. The unemployment rate in J&K in the month of September last year was 16.1%, but it has dropped to 9% as per the latest data in the month of March this year,” he said. “The unemployment rate at many tourist destinations like Delhi, Himachal Pradesh and Goa is much more than J&K. I believe that the tourism sector is the biggest contributor to this achievement,” he said. The LG highlighted that several steps have been taken to ensure ease of travel for tourists. “There are night flights operating from Srinagar airport. There is a direct flight from Srinagar to Bengaluru now,” he said, adding tourists are coming to Kashmir not just to explore the places, but to connect with the people of the Valley as well. The LG expressed hope that in coming days, tourist arrivals to the UT would increase further which would in turn generate more employment opportunities and help the economy to grow. (With inputs from agencies)||http://timesofindia.indiatimes.com//india/jk-will-soon-unveil-new-policy-to-attract-filmmakers-lg/articleshow/82038183.cms||M Saleem Pandit
---||World||Pak condemns UK move to add it to list of high-risk countries||ISLAMABAD: Pakistan condemned on Monday the United Kingdom’s decision to include Pakistan in the list of money-laundering and terrorist-financing high-risk countries, saying London’s decision was not based on facts. Pakistan’s foreign office expressed hope that the UK would review its regulations in light of facts on the ground and avoid “politically motivated” and “misplaced” measures. A day earlier, Britain had included Pakistan in its list of 21 high-risk countries for lacking checks and balances on terrorism financing and money laundering. The British government said the exchange of illegal money between Pakistan and Britain continues. “Pakistan has a robust AML (anti-money laundering(/CFT (combating the financing of terrorism) regime in place,” Pakistan foreign office spokesperson Zahid Hafeez Chaudhri said in a statement. He added that over the last two years, Pakistan has taken “unprecedented measures through a series of legislative, institutional and administrative actions in the domain of anti-money-laundering and countering financing of terrorism”. “These actions, which have also been reported to the Financial Action Task Force (FATF) and shared with the European Union, have been widely acknowledged by the international community,” the statement read, adding that the near completion of the FATF action plan through 24 out of 27 action items “is a testament to Pakistan’s commitment and tangible actions in the AML/CFT domain.” Pakistan has been on the FATF’s grey list for deficiencies in its counter-terror financing and anti-money-laundering regimes since June 2018. In February this year, the FATF had observed during its plenary session that serious deficiencies still remained in Islamabad’s mechanisms to plug terrorism financing.||http://timesofindia.indiatimes.com//world/pakistan/pak-condemns-uk-move-to-add-it-to-list-of-high-risk-countries/articleshow/82038224.cms||Omer Farooq Khan
---||Kolkata||How pet parents keep exotic breeds healthy in summer||The hot and humid summer months are here. And it’s a time when even the average Indian mongrel seeks out shade to stay cool. Imagine the plight of exotic breeds from cold regions of the world. No wonder they need special care to get through these months. We spoke to a few exotic breed owners in Kolkata about the special care and diet these dogs need during summer. While the hot, sultry days of summer are aching for almost all breeds, you need to give special care to the exotic breeds from the cold region. There are several such breeds in Kolkata and let's find out how their parents are taking care of them. Read on… Tibetan MastiffOrigin: TibetTwo years ago, Sourav Roy (above), an engineer and an animal lover brought two pure Tibetan mastiffs home. According to Sourav, the biggest challenge faced by Tibetan mastiff parents in Kolkata is the weather. “They like dry and cold weather and Kolkata is exactly the opposite,” he said. He has no option but to keep the dogs in air-conditioned rooms 24/7, 365 days a year, except when they are being exercised. They are regularly taken out for walks between 3 am and 5 am. Diet: Red meat, bone broth, goat milk and rice or barley. Cleaning and grooming: Spray and sponge with herbal solutions. The dogs also have to be brushed at least once every day. Chow Chow Origin: China Sutirtha Mitra (above), a businessman, fell in love with this breed a few years ago and now, he has three. As the breed has a very dense double coat and a blue tongue, Sutirtha said they need a special diet during summer and a cool living space. So, from March to September, they are kept in an air-conditioned room for about eight hours a day. “They are taken out for walks twice every day, once early in the morning and once after sundown,” Sutirtha said. Diet: The dogs eat twice a day and just like their exercise, Sutirtha likes to feed them before sunrise and just after sunset. “Curd is one of the most important parts of their diet during summer. Other than that, they eat dog food and chicken rice,” he said. Cleaning and grooming: To maintain their thick and delicate coat, Sutirtha brushes them at least once a day. The dogs take bath once every month. American AkitaOrigin: Japan/the US Koushik Sarkar (above), a Howrah-based businessman, found the dog breed closest to his heart a couple of years ago. He loves American Akitas not because they are ferocious protectors, but also because of their image of being a ‘spiritual dog’. “They have their own independent thought process and they don’t like to be dishonoured. At the same time, they are extremely loyal,” said Koushik. During summer, Koushik keeps his three Akitas in an AC room during the day and takes them out for early morning walks. Diet: Other than curd and rice, Koushik feeds them dry dog food along with boiled meat. He also adds seasonal fruits to their diet. Cleaning and grooming: The Akitas don’t like baths and turn aggressive whenever Koushik tries to give them one. So, Koushik honours their choice and gives them dry baths at regular intervals. American Cocker SpanielOrigin: The US/the UK Pallab Saha first came in contact with this small, hunting breed a few years ago and couldn’t help but fall in love with it. At present, he has eight American cocker spaniels and all of them are equally loved and cared for. During summer, Pallab keeps them in AC rooms for 14 hours a day. Diet: The dogs are fed in the morning and the evening. In summer, each dog gets 100 grams of curd and 100 ml of water with dry food. In the evening, they eat dry food with rose oil, rose water and apple cider vinegar. “In summer, their metabolism rate decreases and that’s why I decrease the amount of food,” Pallab added. Cleaning and grooming: Properly groomed, the long coat is the main attraction of an American cocker spaniel and because of that Pallab takes extra care of the coats. “They are given a bath once every week and in the night, I spray a special medicinal liquid on them to keep their body cool,” he said. Moreover, the dogs are brushed multiple times every day.||http://timesofindia.indiatimes.com//city/kolkata/how-pet-parents-keep-exotic-breeds-healthy-in-summer/articleshow/82034299.cms||Bishwabijoy Mitra
---||India||NSUI sweeps student union elections at Varanasi's Sampurnanand Sanskrit University||VARANASI: The National Student Union of India (NSUI), the student wing of Congress, retained its hold over the student union of the city's Sampurnanand Sanskrit University, winning all seven seats in the elections held on Sunday. BJP's student wing Akhil Bharatiya Vidyarthi Parishad (ABVP) could not open its account. The NSUI had swept the SSU students' union polls last year as well. In 2018 and 2019, however, ABVP candidates won the president's post. The NSUI candidates won the posts of president, vice-president, general secretary and library secretary. Krishna Mohan Shukla was elected the president while Ajit Kumar Choubey the vice-president. The other winners are Shivam Choubey (general secretary) and Ashutosh Kumar Mishra (library secretary). According to election officer Prof Sudhakar Mishra, the NSUI’s Krishna Mohan Shukla, bagging 442 votes, defeated ABVP’s Ajay Dubey by a margin of 136 votes, while Ajit Kumar Chaubey polled 411 votes and defeated his rival Chandramauli Tiwari by a margin of 68 votes. Similarly, Shivam Chaubey, bagging 485 votes, defeated Gaurishankar Gangele by a margin of 219 votes, and Ashutosh Kumar Mishra, who got 415 votes, defeated his rival Vivekanand Pandey by a margin of 77 votes. Out of 1,732 voters, including 1,649 males and 83 females, 771 voters including, 742 males and 29 females, took part in voting. Vice-chancellor Rajaram Shukla administered oath to the newly elected office-bearers.||http://timesofindia.indiatimes.com//india/nsui-sweeps-student-union-elections-at-varanasis-sampurnanand-sanskrit-university/articleshow/82039406.cms||Binay Singh
---||India||India back to world No. 2 in total Covid-19 cases||India was back in the second spot in the world in total Covid cases, when it overtook Brazil’s tally on Sunday. After logging nearly 1.7 lakh on the day, India’s caseload rose to 1,35,25,153, going past Brazil’s total of 1,34,82,543, as per worldometers.info. Brazil recorded less than 38,000 cases on Sunday. India had first gone past Brazil’s Covid tally to claim the second spot on September 6 last year, when cases were peaking in the country during the first wave. On March 12, Brazil overtook India amid a major surge in infections in that country.||http://timesofindia.indiatimes.com//india/india-back-to-world-no-2-in-total-cases/articleshow/82039845.cms||---
---||India||PIL lands Rafale controversy in SC for third time||NEW DELHI:A PIL on Monday landed the Rafale fighter aircraft controversy, reignited by French media reports, for the third time in the Supreme Court, which will be taken up for hearing after the retirement of present Chief Justice S A Bobde. Chronic public interest litigant-cum-advocate M L Sharma made an impassioned plea before the bench headed by CJI Bobde for early listing of the PIL citing his ill-health and self-prophesying that it could be the last PIL in his career as a legal professional. Though the fourth batch of fully-loaded Rafale jets have landed in India, taking their numbers to 14 from the 36 purchased by India through a government-to-government contract inked with France in 2016, Sharma cited media reports quoting findings of Agence Francaise Anticorruption (AFA) to claim that French manufacturer Dassault had paid one million euros to one Sushen Gupta as commission to clinch the deal for sale of Rafale fighter aircraft to India. Making PM Narendra Modi as respondent No.1 in his petition, Sharma alleged that the payment of commission in a so-called government-to-government deal has vitiated the purchases that inexplicably had veered from Eurofighter jets to Rafale. A Paris-based website Mediapart had said Dassault Aviation allegedly paid 1 million euros (Rs 8.63 crore) to Gupta soon after the Rafale deal was inked in September 2016. It said Dassault was unable to satisfactorily explain the payment after it was discovered by French anti-corruption agency AFA during an audit in 2018 which, however, decided not to recommend prosecution. The media report said Dassault claimed the money, entered into its 2017 accounts under the heading ‘gifts to clients’, was paid to Defsys Solutions run by Gupta in order to make 50 car-sized replica models of the Rafale. Dassault could not furnish any proof or documentary evidence, including photographs, to show the models were actually made, it said. Defsys Solutions is one of the several sub-contractors of Dassault for discharge of the 50% offsets in the 7.8 billion euros (Rs 59,000 crore) Rafale contract. “This (Dassault) invoice, which related to 50% of the total order (1,017,850 euros), was for the manufacture of 50 models of the Rafale C, with a price per unit of 20,357 euros,” Mediapart said, quoting the AFA report. The Rafale deal was first challenged in the SC through a PIL jointly filed by former minister Yashwant Sinha and Arun Shourie along with activist advocate Prashant Bhushan. The court after detailed hearing had dismissed the petition in December 2018. When the general elections neared, the threesome filed a petition seeking review of the verdict and the court in a rare gesture allowed open hearing of their plea for reconsideration of the judgement giving clean chit to Modi government. In May 2019, the SC reserved verdict on the review petition. In October 2019, India received the first batch of Rafale jets. In November 2019, the SC had dismissed the petition seeking review of the December 2018 decision.||http://timesofindia.indiatimes.com//india/sc-to-hear-new-rafale-pil-after-bobde-retires/articleshow/82039944.cms||Dhananjay Mahapatra
---||World||Police report multiple victims in Tennessee school shooting||KNOXVILLE: Police say multiple people including an officer were shot Monday at a high school in the east Tennessee city of Knoxville. The Knoxville Police Department tweeted that authorities were on the scene of the shooting at Austin-East Magnet High School. The online posting said a Knoxville Police Department officer was reported among the victims. Police urged people to avoid the area. Details remained sketchy and news outlets showed numerous police and emergency vehicles at the scene.||http://timesofindia.indiatimes.com//world/us/police-report-multiple-victims-in-tennessee-school-shooting/articleshow/82039971.cms||---
