---||Shimla||Himachal Pradesh reports 3,824 new Covid-19 cases, 48 deaths||SHIMLA: Himachal Pradesh reported 3824 new coronavirs cases and 48 deaths on Tuesday, taking the state's Covid-19 tally to 1,10,945 and toll to 1,647. The state now has 23,572 active cases while 85,671 patients have recovered from the deadly infection. In the state, maximum 15 Covid deaths were reported from Kangra, 11s from Solan, six from Sirmaur, four deaths each from Shimla and Hamirpur, three deaths from Una, two deaths each from Chamba and Kullu districts while one death was reported from Mandi district. Of the total positive cases reported on Tuesday, maximum cases were reported from Kangra, Mandi, Solan, Shimla and Hamirpur districts.||http://timesofindia.indiatimes.com//city/shimla/himachal-pradesh-reports-3824-new-covid-19-cases-48-deaths/articleshow/82393817.cms||Anand Bodh
---||Kochi||Crowding at vaccine centres: Kerala high court registers suo motu case, asks governments to respond||KOCHI: The Kerala high court on Tuesday registered a suo motu case after noticing media reports on crowding at vaccination centres and asked the central and state governments to respond by Friday so that citizens’ fear about non-availability of vaccines would subside. A division bench led by justice Devan Ramachandran said in an interim order, “It does not require for us to expiate that if uncontrolled gathering is permitted in the vaccination centres, the very purpose of vaccination would boomerang, since what is intended to be prophylactic exercise would perhaps become a super-spreader event of the pandemic infection.” The court directed the state police chief to ensure that crowding is prevented at the centres, without using force. State attorney KV Sohan submitted that the government has stopped spot registration and is now focusing on citizens requiring second dose. The government has requested 25 lakh doses of Covaxin and 75 lakh doses of Covishield have been requisitioned from the Central government, the court was told. In the order, the court noted that the primary reason why people crowd at vaccination centres is because of the impression that vaccines are not available. “We must say that this impression appears to be gathering momentum by the day,” the court said. “We, therefore, deem it appropriate to initiate suo motu action with all necessary stakeholders on the fray, so that the apprehensions of the citizens of this State can be allayed as regards the availability of vaccines and their chances of being vaccinated, both the first dose and the second dose.” The court has asked the central and state governments to inform it about the steps taken by May 7.||http://timesofindia.indiatimes.com//city/kochi/crowding-at-vaccine-centres-kerala-hc-registers-suo-motu-case-asks-govts-to-respond/articleshow/82393986.cms||Mahir Haneef
---||Kochi||Chief minister Pinarayi Vijayan politicized, distorted my words: NSS chief||KOCHI: Attacking Pinarayi Vijayan for his statements against Nair Service Society (NSS), general secretary Sukumaran Nair alleged on Tuesday that Vijayan had politicized and distorted the answers he gave to the questions raised by the media on polling day. In a statement, Nair said that NSS would continue its stand of protecting the beliefs of devotees and the Nair community would look at the anti-NSS stand by the LDF with due importance. The statement was issued as a reply to the statements by Vijayan at a news conference on Monday when he attacked NSS for its stand against LDF and the “anti-LDF” statements Nair made on poll day. “CM’s statement that Nair tried to urge members of NSS not to vote for LDF on the poll day is not true and anyone who saw the live telecast that day can understand this. I said the people would vote for those who stand to protect secularism, democracy, social justice and beliefs. People wanted a change in rule as per my understanding and it should happen as per the will of people. I did not comment on that. All these statements were my answers to the media’s questions and I stand by what I said. He should not have politicized and distorted these statements to misguide people and create enmity with NSS and its leaders,” read the statement. Nair said that NSS hasn’t opposed anything except the LDF stand on Sabarimala. “Some LDF leaders, including CM, are trying to take an offensive stand against NSS and its leaders. There is no doubt that Nair community would see this with due importance. NSS will continue its stand in issues pertaining to protecting belief. NSS has the right to express its stand no matter which front rules. We have done that always and will continue doing so,” said the statement.||http://timesofindia.indiatimes.com//city/kochi/cm-politicized-distorted-my-words-nss-chief/articleshow/82393686.cms||Anantha Narayanan K
---||India||UK-India collaboration at heart of vaccine miracle: UK PM Boris Johnson||The Enhanced Trade Partnership will unlock new opportunities for Indian businesses in the United Kingdom and British businesses in India, UK PM Boris Johnson tells TOI in an exclusive email interview. Excerpts:Q: Given the Covid surge in India and the strong relationship between UK and India in healthcare, how do you think we can expand this relationship in terms of vaccine production? Coronavirus is the greatest global challenge of our lifetimes. If we’re going to defeat this pandemic, countries will have to work together with a spirit of openness. India and the UK have demonstrated this commitment to cooperation throughout the last year. You have kept your borders open so that vital medicine and PPE gets to those who need it in the UK and of course we cannot forget the immense contribution Indian people make to our National Health Service. I’m proud that the UK has been able to help India during the acute Covid emergency you are currently facing. On Sunday I announced 1,000 more ventilators will be sent from the UK’s surplus supply to Indian hospitals to help the most severe Covid cases. This is in addition to 200 ventilators, 495 oxygen concentrators and 3 oxygen generation units we announced last week. Businesses, civil society and the wider public have also responded to appeals for help and launched funding drives. I am deeply moved by the surge of support the British people have provided to the people of India and am pleased the UK government has been able to play our part in providing life-saving assistance. We’ll continue to look for ways to support in the coming weeks. The development of coronavirus vaccines is nothing short of a scientific miracle. UK-India collaboration is at the heart of that story – the UK funded the creation of the Oxford-AstraZeneca vaccine, doses of which are now being produced in their millions at the Serum Institute to be distributed – at cost – around the world. It is now the responsibility of all governments to get vaccines to those who need them, wherever they are in the world. That is why the UK has given £548m to the COVAX scheme to get vaccines to developing countries and pledged to share any excess vaccine doses we have with the scheme. I look forward to working closely with Prime Minister Modi and others to increase global vaccine production and distribution so we can defeat this pandemic, together.” Q: How do you expect the UK’s new interest in the Indo-Pacific to work on the ground/sea? The landmark review of foreign policy the UK published earlier this year was very clear about how important the Indo-Pacific region is to the UK’s security and prosperity. India is, of course, an indispensable partner in that region and we are aligned with India in our global goals. Later this year the UK’s Queen Elizabeth Aircraft Carrier – the largest and most technologically advanced vessel ever made in Britain’s shipyards – will sail to the region, including to India, to undertake joint exercises with the Indian navy. The carrier will visit west coast ports, expanding our interoperability and enhancing our ability to defend against shared threats- a tangible symbol of our commitment to the Indo-Pacific. Of course we will look for ways to deepen our defence relationship further in the coming years, ensuring both our countries are fully equipped to tackle the range of challenges we face. Q: India and UK are planning on declaring an Enhanced Trade Partnership. Is this a free trade agreement in disguise? The Enhanced Trade Partnership agreed with Prime Minister Modi this week is a really important step. The Partnership will unlock new opportunities for Indian businesses in the UK and British businesses exporting and investing in India. Our economic relationship is strong with trade already worth around £23 billion a year, supporting more than half a million jobs. The UK is already the largest European market for India’s goods exports. The Enhanced Trade Partnership sets the ambition to double the value of UK-India trade by 2030 and declares our shared intent to begin negotiations on a comprehensive Free Trade Agreement by the end of this year.” Q: What would be the highlight/focus of this trade partnership, given India is one of the largest investors in the UK already? The ETP is about setting a clear direction for the future of the economic relationship between the UK and India. A relationship that I hope will be bolstered down the line by a full Free Trade Agreement. This Enhanced Trade Partnership will resolve market access issues, boost exports and strengthen our trade relationship. It will lead to the removal of barriers to trade through a market access package and will result in new opportunities for everyone from Indian seafarers to nurses. The commitments we have made to increase trade will create jobs in both the UK and India and help more brilliant Indian products get on the UK’s shelves and vice versa.” Q: How will UK immigration reform impact India and Indians? “Prime Minister Modi has spoken often about the ‘living bridge’ that exists between the UK and India. The close relationship between our countries ultimately comes down to our people and their shared values and culture. One in fifty people in the UK have Indian ancestry and the contribution made by Indian diaspora in the UK speaks for itself. India is already benefitting from the new points-based immigration system, which came into force at the beginning of this year. This new system will lead to even more brilliant and skilled people from India being able to study, work and live in the UK in future. It levels the playing field so that where you come from matters less than what you can bring. Indian student visas increased by over 40% last year, and Indian nationals account for nearly half of all UK skills work visas. On the 1st of July, we will implement the new post-study Graduate Route, offering new opportunities to tens of thousands of Indian students to study in the UK’s fantastic universities and build a career in the UK afterwards. We have also made it easier for Indian professionals to work in the UK – and for Indian companies to hire the labour they need. When we met, PM Modi and I discussed how to encourage Indian people to come to the UK, especially students and young professionals, and how to combat immigration crime – and were pleased to agree on a new mobility partnership that will look to achieve just that.” Q: Are you pushing India to declare a “net zero” pledge on climate change? India is already a world-leader on climate action, with an impressive target of 450GW of renewable energy by 2030. I’m proud that we’re already working hand in hand to tackle the devastating effects of climate change, through initiatives like the Coalition for Disaster Resilient Infrastructure. Any progress we make in the face of this huge challenge, we will make together. That’s why as hosts of this year’s UN climate summit, COP26, we’re asking all countries to up their ambition on climate change. The science is clear. Limiting global warming to 1.5 degrees to avoid catastrophic global warming means that globally we need to reach net zero emissions by 2050. In the UK we have found that setting a net zero target has helped drive action here and now, giving a clear signal to business that the future is low carbon. Here in India, I think there is a unique opportunity to show the world that a new, clean development path is possible. An opportunity to be at the forefront of a new global green transition with all the benefits of jobs and cleaner air that brings.” Q: What would you say are the drivers of a post-Brexit India-UK relationship? The UK-India relationship is a modern partnership of equals, focused on the future. As the UK’s landmark foreign policy review this year made clear, for the UK, the relationship with India is crucial to help address all the issues we care most about: tackling Covid, protecting against climate change, building back our economies. We have shared interests and together we are tackling shared threats. India is a crucial voice on global issues – that is why I have invited Prime Minister Modi to attend the UK’s G7 summit this summer.” Q: What does the post-roadmap relationship look like? Over the next decade the UK and India will expand our relationship – a relationship that is much greater than the sum of its part. That means taking tangible action on the most important areas of our relationship: tackling Covid, protecting against climate change, expanding free trade. But we will also work increasingly together on a huge swathe of issues – from lifesaving scientific research to world-beating education to next-generation technology. I was pleased to lend my personal commitment to the UK-India relationship this week alongside Prime Minister Modi and I have every expectation that great things will continue to happen when the UK and India work together.” Q: How are you re-assessing your relationship with China, particularly in the areas of technology and defence? Our approach to China remains clear-eyed and rooted in our values and interests. We have a strong and constructive relationship with China in many areas. China has to be part of the solution to any major global problem we face; whether ensuring we do not face another devastating global health crisis, supporting vulnerable countries or addressing climate change. It’s always been the case that where we have concerns we raise them and take action – as we have done consistently over the human rights violations in Hong Kong and Xinjiang.” Q: Covid seems to have interfered in two trips that you have been planning to India. When you do finally make it here, what would be the top things you would like to do? I was very disappointed to have to postpone not one but two visits to India this year. But of course responding to the devastating impact of the coronavirus pandemic must come first and Prime Minister Modi and I agreed it was the right call to make. I am hopeful that the situation will improve quickly so that people can return to their normal lives and I can visit your wonderful country again. In the meantime, Prime Minister Modi and I continue to speak regularly – most recently earlier this week. I’m also very much looking forward to welcoming him to Cornwall for the UK’s G7 Summit this summer.”||http://timesofindia.indiatimes.com//india/uk-india-collaboration-at-heart-of-vaccine-miracle-uk-pm-boris-johnson/articleshow/82394264.cms||Indrani Bagchi
---||India||Oxygen supply to Delhi: HC issues show-cause to Centre on contempt||NEW DELHI: The Delhi high court on Tuesday issued a show-cause notice to the Centre asking why contempt action should not be initiated against it for not complying with its order that Delhi be supplied with its allocated share of medical oxygen. Justices Vipin Sanghi and Rekha Palli also rejected the submission of the Centre, represented by additional solicitor generals Chetan Sharma and Aishwarya Bhati, that Delhi's daily oxygen demand was not 700 metric tonnes (MT). "We reject this submission of Mr Sharma and Ms Bhati that GNCTD is not entitled to receive 700MT per day in the light of the existing medical infrastructure. It pains us that the aspect of supply of oxygen for treatment of Covid patients in Delhi should be viewed in the way it has been done by the central government. We are seeing the grim reality every day of people not being able to secure oxygen or ICU beds," the bench noted. The court observed that hospitals and nursing homes had reduced their bed capacity and were not able to service the existing capacity as well due to shortage of oxygen. "On the one hand, there is a need to augment capacities to meet the rising numbers of Covid-19 positive cases while on the other hand the existing infrastructure is crumbling and the bed capacity which is available can't be put to good use. We, therefore, direct the central government to show cause as to why contempt action should not be initiated for not only non-compliance of our order ...(but) also of the Supreme Court order passed on April 30, 2021," said the court. Two senior officials of the central government, Piyush Goyal and Sumita Dawra, were accordingly directed to be present on Wednesday. During the course of the hearing, the court was informed that Delhi still hadn't received 700 MT of liquid oxygen per day in spite of the fact that the Supreme Court had in a detailed order on April 30, 2021, asked for compliance by the Centre by the midnight of May 3, 2021. The court then took note of the relevant portions of the Supreme Court order in its own order. ASG Sharma had submitted that a compliance affidavit was being filed in the Supreme Court on Wednesday. “We fail to understand what good a compliance affidavit would do when as a matter of fact 700MT is not being delivered to Delhi on a daily basis. In fact, the earlier allocation of 490MT which has been revised to 590MT is not received for a single day,” the bench underlined in its order. “In our view, this itself is sufficient to show that according to the SC order, Delhi should be allocated and provided 700MT per day. If there was any doubt, the same is cleared from the further reading of the order.” The Supreme Court in its order had said, “This situation must be remedied forthwith. The situation on the ground in Delhi is heart-rending.” “This is something that, from the submissions of Mr Sharma and Ms Bhati it appears, is not present to the minds of the central government,” said the court. “In the same paragraph, the SC takes note of the assurance given by the SG on instructions to the effect that GNCTD’s demand of oxygen will be met and the national capital will not suffer for lack of oxygen.” It was, however, observed that the Centre’s assurance had not been fulfilled. “We are seeing day after day how small and large hospitals are running to us with SOS for supply of oxygen,” the bench said. Earlier in the hearing, the court had remarked that Centre’s officials had been informed about the aspect of oxygen allocation to Delhi and an order was passed. “We told your officer. Contempt is the last thing on our minds doesn’t mean you will take it lightly-…Certainly, it is there. Don’t drive us to issue notice…Now we mean business. We are not going to take no for an answer. There is no question why right away you can’t give 700MT. SC runhas said and we are saying it. We are making it clear.” When the bench was informed that an affidavit on oxygen supply would be filed, the court said, “We don’t want to hear the Centre on anything apart from compliance. What is the purpose of an affidavit? We want compliance. What is the use of an affidavit?” On being informed that the Delhi government had earlier made a demand of 300MT and then revised it, the court remarked, “Because they made the demand of 300MT, that’s why people of the city should suffer? Therefore, the Centre is quibbling about these little things to justify and let people die?” “Are you living in ivory towers? You may want to be the ostrich in the sand but we will not be,” the bench remarked. The court also pulled up the Centre for referring to the Delhi government’s statement that “with 420MT, citizens are dying” as “rhetoric”. The bench said: “Is this only rhetoric? Is it not a fact? Sorry, we don’t accept. We will not shut our eyes. It is very unfortunate. How can you be so insensitive! Be careful when you use this language,” the bench said. Earlier, Delhi government’s counsel, senior advocate Rahul Mehra, had referred to the Centre’s submission made in the Supreme Court regarding 1,224 oxygen tankers in the country with a capacity of 16,732 MT and efforts being made to enhance the number of tankers to 2,000 through conversion of nitrogen and argon tankers and import of 138 cryogenic tankers. Mehra, therefore, submitted that there was no dearth of tankers and the only issue was the turnaround time. The court later asked the Centre to improve the oxygen allocation issue with respect to mobilisation of tankers. ASG Bhati said, “We will get back with clear scientific data. Specialised groups are dealing with this mechanism.” The court subsequently asked, “How many experts are there from the suppliers in that group?” ASG Sharma informed that while 138 cryogenic tankers were being imported, another 50 were being manufactured. “The point is what you are planning and getting is in the future… We don’t even know whether it is going to be one week or two weeks or one month or six months…Whole nation is crying for oxygen. Our only concern is… Is it being (done) in the most efficient way? The way we look at it is we don’t even know… Maybe it is being done. We are only trying to persuade you. Assumption (is) you have not involved major suppliers, major players in the trade in the allocation business… You need to go back... involve some people technical some brilliant minds from IIMs... They will be able to tell the best model as to how to work efficiently with what you have today,” the court remarked.||http://timesofindia.indiatimes.com//india/oxygen-supply-to-delhi-hc-issues-show-cause-to-centre-on-contempt/articleshow/82394976.cms||Aamir Khan
---||India||PM Modi calls up Bengal governor on violence, Didi smells ‘President's rule’||NEW DELHI: Prime Minister Narendra Modi spoke to West Bengal governor Jagdeep Dhankhar, expressing anguish over the rise in political violence after Trinamool Congress won the election while BJP chief J P Nadda visited the state to meet families of party workers killed in retribution, allegedly by ruling party supporters. More than 12 people have been reportedly killed and many attacked while several families have fled their homes, according to BJP. "PM called and expressed his serious anguish and concern at the alarmingly worrisome law and order situation. I share grave concerns given that violence, vandalism, arson, loot and killings continue unabated. Concerned must act in overdrive to restore order," Dhankhar tweeted. PM called and expressed his serious anguish and concern at alarmingly worrisome law & order situation… https://t.co/qJkOGDdVkq— Governor West Bengal Jagdeep Dhankhar (@jdhankhar1) 1620116771000Accusing BJP of “growing desperate for President’s rule” and instigating the postpoll “communal clashes” that have also claimed five TMC workers and one from the ISF, Mamata Banerjee vowed to “tackle the situation” after taking oath on Wednesday. Modi's phone call and Nadda's visit followed appeals for help from BJP cadres and supporters, who took to social media platforms accusing Trinamool Congress of patronizing the attackers. BJP state in-charge Kailash Vijayavargiya tweeted videos alleging that women supporters were being attacked. West Bengal: Live updatesNadda said after visiting a slain BJP worker’s “wailing mother” he was shocked at some in TMC “discounting these incidents as stunts”. BJP asked its national secretaries to reach out to all families “battered in this unprecedented state-sponsored violence”. Wondering if the “gruesome violence” was part of “TMC’s victory celebrations”, CPM’s Sitaram Yechury said this would be “resisted and rebuffed”. Congress’s Jitin Prasada said Bengal “did not vote for this lawlessness”. "You (CM Mamata Banerjee) are a woman and daughter of Bengal. Aren't the women who are being killed and raped daughters of Bengal? Do they deserve this?" BJP spokesperson Sambit Patra asked. "BJP won't relent till Mamata Banerjee is held accountable for the murders of its workers and supporters for political vendetta. We are in Pratapnagar, Sonarpur with BJP president Naddaji to take stock of the situation and initiate action," party general secretary Bhupender Yadav tweeted. "The liberal cabal is silent over the carnage BJP is being subjected to in Bengal. Not shocking. Not surprising. But the same cabal blaming BJP for the violence is appalling. Your silence is complicity," he added. BJP leader Swapan Dasgupta, who contested unsuccessfully from Tarkeshwar, urged the Calcutta high court to take suo motu cognizance of the violence.||http://timesofindia.indiatimes.com//india/pm-modi-calls-up-bengal-guv-on-violence-didi-smells-prez-rule/articleshow/82395263.cms||---
---||India||Nandigram returning officer provided security||NEW DELHI: The Election Commission on Tuesday said all inputs and reports available with it regarding counting in Nandigram assembly constituency confirmed that the returning officer had followed all counting protocols and his rejection of the Trinamool agent's demand for a recount was in line with the Conduct of Election Rules, 1961. Noting that election-related officers on the ground performed in a highly competitive political environment with diligence, full transparency and fairness, the EC said "attribution of any motive in such cases is not desirable". The commission's reaction came in the wake of TMC questioning the counting process in Nandigram and Mamata Banerjee, who lost to BJP's Suvendu Adhikari, alleging that the returning officer had not ordered a recount as "he feared for his life". The West Bengal government on Monday informed the EC that it has, on the latter's directions, provided security to the Nandigram returning officer both in person, with two personal security officers assigned for the job, and at his home. The EC on Tuesday also directed that he be provided medical support and counselling. The EC wrote to the West Bengal chief secretary directing that officers performing election duty be given due protection as "any pressure or harm or even perception or furtherance of any such narrative shall have serious implications on the entire machinery deployed during elections". As per Rule 63 of Conduct of Election Rules, 1961, a returning officer upon receiving a recount request can allow it in whole or in part or may reject if it appears to him frivolous or unreasonable.||http://timesofindia.indiatimes.com//india/nandigram-returning-officer-provided-security/articleshow/82395790.cms||Bharti Jain
---||India||Daily jabs continue to decline as private hospitals remain short of vaccines||NEW DELHI: Daily vaccinations against Covid-19 have declined sharply as most private hospitals are yet to tie up with manufacturers for supplies. Even large hospital chains such as Max Healthcare, Fortis and Apollo, which have procured vaccines directly from the manufacturer, have limited stocks and are being able to organise only a few vaccination sessions at select sites. An average of only 2,000 sites in private hospitals conducted vaccinations on Monday and Tuesday, whereas only 1,000 sites delivered the shots during the weekend. This is compared to over 5,000 private sector sites that conducted vaccinations daily before May 1. On Tuesday, only 11.5 lakh doses of Covid vaccines were given till 8pm. This included 2.29 lakh beneficiaries in 18-44 years age group. Though most government sites are conducting vaccination, availability of vaccines is very limited. Of the total 55,739 vaccination sites on Tuesday, 53,721 were government facilities. Private sector operated only 2,018 sites. While 30-45 lakh doses were being administered daily till about mid-April, it dropped to the range of 4-14 lakh doses since May 1, when the Centre initiated Phase 3 of the vaccination drive extending the coverage to all those above 18 years of age. This meant that under the new policy, states and private sector were asked to procure jabs on their own. While the Centre continues to procure 50% of local production and distribute it through states for the 45+ population and health and front-line workers, the rest is for procurement by states and private sector.||http://timesofindia.indiatimes.com//india/daily-jabs-continue-to-decline-as-private-hospitals-remain-short-of-vaccines/articleshow/82396038.cms||Sushmi Dey
---||India||Foreign aid sent to 38 outfits in 31 states and UTs so far||NEW DELHI: The Centre has distributed nearly 24 different categories of items totalling around 40 lakh pieces of Covid-19 relief material received from foreign countries to 38 institutions in different states and Union Territories. The distribution to states is based on a standard operating procedure set in place by the health ministry. The allocation is being done to states with a high caseload and where requirement of equipment such as BiPAP machines, oxygen concentrators, oxygen cylinders, PSA oxygen plants, pulse oximeters, Flaviparivir, Remdesivir, PPE and masks are high. The allocations are also done keeping in mind equitable distribution and load on tertiary health care facilities. In the first few days, the states were covered through AIIMS and other central institutions where critical care patient load is high and the need highest. Besides, the central government hospitals, including DRDO facilities in and around Delhi and in the NCR region were also supplemented through the aid, a government statement said while detailing the entire operation of distributing the relief material to states and UTs. The distribution strategy is intended to improve transparency. The ministry of external affairs is the nodal agency for channeling offers of help from foreign countries and coordinates with missions abroad. The MEA has issued its own standard operating procedures which are applicable across the board. The processing of aid has to be quick as some of it is perishable and needs storing and government said the process of tallying items, opening the packaging and repackaging sometimes needs to be done in a quarter of a day. Apart from this, a high-level committee under CEO, Niti Aayog and comprising secretary expenditure, MEA and officials of Niti Aayog and health ministry has also been formed to oversee the whole operation. State run logistics firm Concor is being used to move the relief material to states. Niti Aayog has also set up a control room and digital dashboard to monitor the distribution of relief material received from private sector, associations, industries and other entities. It monitors the process right down to the end beneficiary and is managed by officers from the government think tank. The medical items started coming in as donations from different countries after the sharp and sudden surge in Covid cases in the country and were channeled through the ministry of external affairs. A cell was set up in the ministry to coordinate the receipt and allocation of foreign Covid relief material.This unit started functioning on April 26, and comprises one joint secretary on deputation from ministry of education, two additional secretary level officers from MEA, chief commissioner customs, economic adviser from the ministry of civil aviation, technical, representatives from HLL, two joint secretaries from the health ministry and the secretary general along with representatives from the Indian Red Cross Society.||http://timesofindia.indiatimes.com//india/foreign-aid-sent-to-38-outfits-in-31-states-and-uts-so-far/articleshow/82396147.cms||---
---||India||Year after Pangong clash, China reinforces positions, rotates troops along LAC||NEW DELHI: A year after Indian and Chinese soldiers first clashed on the north bank of Pangong Tso in eastern Ladakh, China is now further reinforcing its military positions and rotating troops in the “depth areas” along the Line of Actual Control in a clear signal that it has no intent to de-escalate anytime soon. With the harsh winter having receded, the People’s Liberation Army (PLA) is fast converting the temporary structures, ammunition dumps, helipads and surface-to-air missile positions it had set up last year in the “depth areas”, ranging from 25 to 120-km from the LAC, into permanent positions now. “There is no fresh accretion of PLA troops on the frontlines in eastern Ladakh. But China continues to maintain sizable forces in the areas to the rear of the friction points, while it reinforces military positions all along the frontier in the region,” said a senior officer on Tuesday. “The Rutog Country area, which can act as a staging area for Pangong Tso since it is only around 100-km away, for instance, has witnessed a lot of activity in recent days. The PLA, of course, can move forces much faster to the LAC due to better road and other connectivity,” he added. It was on May 5-6 last year that dozens of Indian and Chinese soldiers were injured in the major brawl that had erupted on the north bank of Pangong Tso, which was followed by another one at Naku La in north Sikkim on May 9. India had then been caught off-guard by the way China had suddenly diverted its troops from their annual spring\summer exercises to undertake multiple incursions into eastern Ladakh in a well-planned manner. Scrambling in response, India had moved over three additional divisions (each has 10,000-12,000 troops), howitzers and armoured vehicles into Ladakh, along with deploying fighters as well as attack and heavy-lift helicopters in forward bases, to match the PLA deployments. The tense face-off had led to the violent skirmishes in the Galwan Valley on June 15, with casualties on both sides being witnessed for the first time in 45 years, and even “warning shots” being exchanged by the rival troops in the Kailash Range-Chushul sector between August 29 and September 8. After multiple diplomatic and military talks, the two armies finally disengaged on both sides of the Pangong Tso in February. But since then, the PLA has flatly refused to pull-back from Gogra, Hot Springs, Demchok and Depsang Plains, as was reported earlier by TOI. With the onset of summer, both India and China are rotating their troops in the forward areas as well as readying for their annual exercises and stepped-up deployments now. The PLA, for instance, has replaced its two motorized infantry divisions across the LAC with fresh ones over the last month. Apart from systematically building roads, military camps, missile positions and other infrastructure all along the 3,488-km LAC from Ladakh to Arunachal Pradesh, Chinese airbases like Hotan, Kashgar, Gargunsa (Ngari Gunsa), Lhasa-Gonggar and Shigatse have also augmented their capacities for additional fighters and bombers. “These airbases continue to have additional deployments. There is not much change,” said another officer.||http://timesofindia.indiatimes.com//india/year-after-pangong-clash-china-reinforces-positions-rotates-troops-along-lac/articleshow/82396364.cms||Rajat Pandit
---||India||Vaccination: No advisory yet on spotting adverse events, reporting dips sharply||NEW DELHI: Reporting of adverse events after vaccination against Covid-19 has dropped significantly to almost 25% or one-fourth of what was being reported in early March, even as vaccinations peaked during mid-March to mid-April after government extended coverage to population above 45 years. While the government is yet to issue an advisory on identification, management and treatment of serious and severe adverse events following immunisation (AEFIs), experts have expressed concerns over the significant drop in AEFIs. "There is a drastic decline in reporting of AEFIs. This can be a cause of concern because it hinders further investigation into Covid vaccine effectiveness and side-effects," a senior official said. Official sources said the advisory has been finalised and is expected by end of this week. The parameters for AEFIs remain unchanged, and a majority are classified minor. With the early apprehensions over vaccines having declined, some of the anxiety related reactions have also reduced. However, the absence of the guidelines that were due at least three weeks ago has hindered monitoring and response to AEFI. A draft advisory was submitted to the health ministry in mid-April by the national committee on AEFI along with a detailed report based on assessment of around 498 samples of 'serious and severe' AEFIs like rare blood clots were reported after beneficiaries received Covid jabs. Some of these events were reported in countries, mainly in the West, after administration of AstraZeneca-Oxford University's Covid vaccine. "Though the assessment indicates (points to) racial differences and that incidence of thrombocytopenia (low platelet count) post-vaccination are rare in India, reporting and further investigation of AEFIs in India remains crucial because of the sheer volume of vaccinations. It is important to assess the AEFIs to rule out the risk and reiterate the preliminary findings from the assessment of the initial 498 AEFIs," a member of the AEFI committee said. Officials say lack of AEFI reporting also poses a potential risk. As 90% of AEFI are minor, it is possible that much of it is not being reported by recipients as people are gaining confidence in vaccine safety.||http://timesofindia.indiatimes.com//india/vaccination-no-advisory-yet-on-spotting-adverse-events-reporting-dips-sharply/articleshow/82396858.cms||Sushmi Dey
