---||Mysuru||Mysuru's Arun Yogiraj is working on an Adi Shankaracharya statue for Kedarnath||Mysuru-based sculptor Arun Yogiraj is currently working on a 12-feet statue of guru and philosopher Adi Shankaracharya that is slated to be installed at Kedarnath, at the place where he breathed his last, as per the annals of history. Interestingly, Arun has been contracted by the Prime Minister's office (PMO) to complete the statue. Arun says, “It’s rare opportunity to be able to sculpt someone as revered as Adi Shankaracharya. Before I was selected By the PMO to make the statue, sculptors from across the country were asked to send models. I was selected me in September last year and have been working on the final version since then, with Chlorite Schist stone, the kind that has been used in the Belur and Halebidu temples and are known to withstand the vagaries of rain and sunshine."||http://timesofindia.indiatimes.com//city/mysuru/mysurus-arun-yogiraj-is-working-on-an-adi-shankaracharya-statue/articleshow/83279405.cms||Vinay Lokesh
---||India||Army to set up new battle groups for offensive punch by next year||NEW DELHI: The Army is now firmly on course to create new self-contained fighting units called `integrated battle groups (IBGs)’, which can mobilize fast and hit hard, after some delay due to the Covid pandemic and military confrontation with China. The initial lot of IBGs, each with around 5,000 soldiers and a varying mix of infantry, tanks, artillery, air defence, signals, engineers and other units permanently deployed together, should be carved out of existing formations by early-2022, say officers. Army chief General M M Naravane, in turn, told TOI: “Creation of IBGs is a logical step towards our operational thought process on how to conduct future operations in an integrated all-arms paradigm.” Read AlsoArmy chief expresses hope military confrontation with China in eastern Ladakh will be resolved through negotiationsArmy chief General M M Naravane on Monday expressed hope that India and China will “settle” the continuing military confrontation in eastern Ladakh through negotiations. "Legacy issues, differences need to be resolved through mutual consent..not by unilateral actions,” he said speaking at an online“The process of `IBG-isation’ is well underway and in-house deliberations are being carried out to evolve force structures proficient in fighting and winning future wars,” he added. The creation of IBGs and theatre commands as well as the ongoing organizational restructuring of the 13-lakh Army are all geared towards acquiring a greater offensive punch and addressing the two-front challenge posed by China and Pakistan. “The changing character of warfare, RMA (revolution in military affairs) and the extant/future threats to our active borders emphasize the requirement for faster application of forces. Technological advancements also necessitate a change in the concept of war-fighting and organizational structures,” said Gen Naravane. The continuing stand-off with China in eastern Ladakh, which first erupted in April-May last year, has already led the Army to rebalance forces and firepower towards the 3,488-km Line of Actual Control (LAC) as the primary front from the decades-long focus on Pakistan. Read AlsoArmy chief Naravane in Bangladesh to further boost bilateral military tiesNEW DELHI: Army chief General M M Naravane is in Bangladesh on a five-day visit to further strengthen bilateral military ties as well as discuss closer collaboration on strategic issues. Gen Naravane, who arrived in Dhaka on Thursday morning, held extensive discussions with top officers of theThis recalibration includes the change in the operational role of the 1 Corps towards the northern sector with China, including Ladakh, from the earlier focus on Pakistan. The truncated 17 Corps, in turn, will have a strike role in the eastern sector, including the Chumbi Valley opposite Sikkim, as was earlier reported by TOI. “But the 1 Corps will also retain operational flexibility to deploy against Pakistan at short-notice. So, with an adequate number of acclimatized troops, the corps will be available for both China and Pakistan. This will be in addition to the Leh-based 14 Corps,” said an officer. Overall, the Army has 14 corps (40,000 to 70,000 troops in each), with four of them being `strike’ or offensive formations. Apart from 1 Corps (headquarters in Mathura) and 17 Corps (Panagarh), the two Pakistan-specific ones are 2 Corps (Ambala) and 21 Corps (Bhopal). As for the composite IBGs, already war-gamed in exercises, the Army plans to first carve out 8-10 of them from the 9 Corps (Yol), 17 Corps (Panagarh) and 33 Corps (Sukna). To be commanded by Major-Generals, IBGs will be larger than brigades (3,000 soldiers each) but smaller than divisions (12,000 soldiers each). “After the initial 8-10 IBGs have settled down, more will be created over the years. Different IBGs will be configured differently as per the threat, the type of terrain involved and the task to be achieved,” said another officer. So, IBGs meant for Pakistan will be focused more on tanks and heavy artillery due to the plains involved, while the ones for China will revolve more around infantry and light artillery for mountain warfare.||http://timesofindia.indiatimes.com//india/army-to-set-up-new-battle-groups-for-offensive-punch-by-next-year/articleshow/83290857.cms||Rajat Pandit
---||India||RERA has not helped customers in stuck projects even after 5 years, homebuyers organisation||NEW DELHI: The real estate regulation law, RERA, has failed to meet the expectation of scores of homebuyers whose investment were stuck in ongoing projects when the law was enacted, said the homebuyers organization that led the campaign of enactment of the law. The RERA enacted five years back covered both new projects and all others that were under construction, also known as “ongoing” projects. President of Forum for People’s Collective Efforts (FPCE) Abhay Upadhyay said, “Not even 10% of the ongoing projects which were covered under the law have been completed even after five years of the law being implemented. The RERA aimed at bringing relief to those whose money was stuck in ongoing projects.” FPCE, an umbrella body of homebuyers recently won a case against the West Bengal government which had notified its real estate law, HIRA, in contravention of the Central Act. The Supreme Court had termed the West Bengal law unconstitutional. “The government should also bring out a whitepaper on how many projects launched after the RERA came into existence have been completed within the given timeline. What is the average time of delay in the completion of such projects? Getting extension for completion of the project is not the birthright of builders,” Upadhyay said while addressing a virtual conference on the five years of RERA. He also raised questions about the RERA authorities toying with new ideas, which are out of the legal framework of the law, rather than focus on bringing relief to homebuyers. Upadhyay said, “It’s good progress so far as registration of 65,000 projects and disposal of 64,000 cases are concerned. But now there is a need to do more to bring relief to homebuyers, which is enshrined in the law,” Upadhyay said. He alleged that the government authorities get “out of box ideas” when it comes to providing relief or comfort to the builders. The organisation said they had opposed the housing ministry’s move last year to extend timelines for ongoing projects due to Covid.||http://timesofindia.indiatimes.com//india/rera-has-not-helped-customers-in-stuck-projects-even-after-5-years-homebuyers-organisation/articleshow/83290971.cms||Dipak K Dash
---||India||8,000 bunkers built along border||JAMMU: About 8,000 underground bunkers have been completed for the safety of the people living along the Line of Control (LoC) and International Border (IB) in Jammu province, while directions were passed to float tenders of bunkers the construction of which have not been taken up, officials said on Sunday. The Centre has sanctioned the construction of 14,460 individual and community bunkers for the border residents in the five districts of Jammu, Kathua and Samba covering the villages located along the IB and Poonch and Rajouri villages on the LoC. Later, the government sanctioned over 4,000 additional bunkers to cover a more vulnerable population. “A total of 7,923 bunkers, including 6,964 individual and 959 community bunkers, have been completed so far in (Jammu) division,” an official spokesman said, as Jammu divisional commissioner Raghav Langer reviewed the progress on the construction of the safety structures at a meeting here. He was informed that the construction of 9,905 other pending bunkers are also under execution and are at different stages of completion. Taking strong note of the delay in tendering for the pending bunkers, Langer directed concerned executive engineers to complete the process fast.||http://timesofindia.indiatimes.com//india/8000-bunkers-built-along-border/articleshow/83291772.cms||Sanjay Khajuria
---||India||Kishtwar-Sinthan road in J&K opened for ‘medical emergencies’||JAMMU: Kishtwar deputy commissioner Ashok Kumar Sharma on Sunday ordered that only vehicles carrying patients for medical-related emergencies would be allowed to use the Kishtwar-Sinthan road to move towards Srinagar and vice-versa. The vehicles can use the road from 10am to 4pm only. The Kishtwar-Sinthan road, connecting Kishtwar in Jammu region with Kashmir’s Anantnag, goes through Sinthan pass (3,800 mts above sea-level) and reduces distance for people who otherwise have to go via Jammu to reach Kashmir. Kishtwar ADC will issue permits for travelling on the road only on the recommendation of the district CMO. The official order read: “SSP Kishtwar shall establish proper checkpoints for inspection of the travel movement through the said route at appropriate points and SDM Chatroo to deploy a magistrate for a compulsory sampling of travelers.” The Sinthan Top and adjoining areas attract heavy snowfall during winter as a result of which the road annually remains closed for five to six months from December.||http://timesofindia.indiatimes.com//india/kishtwar-sinthan-road-in-jk-opened-for-medical-emergencies/articleshow/83291801.cms||Sanjay Khajuria
---||India||7 injured in grenade attack at J&K bus stand||SRINAGAR: At least seven persons were injured in a grenade attack by suspected terrorists on Sunday afternoon at a bus stand in Tral in south Kashmir’s Pulwama district, officials said. However, no terrorist outfit has so far claimed responsibility of the attack. The area has been cordoned off and search is on to nab the assailants. The injured were rushed to the sub-district hospital in Tral for treatment. A top police officer, confirming the grenade blast, said one injured person, Farooq Reshi (55) of Tral Payeen, was shifted to Srinagar hospital for specialized treatment. The other injured are Mohammad Amad-Ud-Din of Satoora, Haseena Begum of Darganiegund, Jalaluddin Bhat of Khrew in Pampore, Ilyas Ahmad Bhat of Reshpora Tral, Khalifa of Chankitar and Bashir Ahmad Hajam of Tral Payeen. This was the first terror attack in a public place in south Kashmir this year. On June 2, terrorists shot dead senior BJP functionary and chairman of Tral municipal committee, Rakesh Pandita. A woman, whose father Rakesh had gone to meet, also injured in the incident.||http://timesofindia.indiatimes.com//india/7-injured-in-grenade-attack-at-jk-bus-stand/articleshow/83291805.cms||M Saleem Pandit
---||World||Tricolour set alight, stamped on at London Khalistan rally||LONDON: Two Indian flags were set ablaze and then stamped on during a "remembrance march and freedom rally" by British Sikhs in London on Sunday to mark the anniversary of Operation Blue Star. The Indian high commission said it was "extremely concerned and distressed" by what happened and vowed it would take action against those who desecrated the Tricolour. Midway through the rally that converged on Trafalgar Square, a man in black with a scarf covering his face threw a large Tricolour on the ground and nonchalantly set it alight with a lighter. He then used a spray so that the flames ran high. Once it was reduced to ashes, he got another flag burnt it as some of the bystanders shouted "Khalistan Zindabad". Two police officers came over once both flags were gutted, and the culprit poured some water from a bottle over whatever remained of them. One of the cops picked up the remnants of the flags and left. A spokesman for Metropolitan Police said he wasn't "specifically aware of any flag being burnt" and that nobody had been arrested. The officer pointed out that setting flags alight was, in any case, not a criminal offence in Britain. Five Khalsa Sikhs dressed in traditional attire, and with their swords drawn, had led the march of hundreds from Wellington Arch to Trafalgar Square. Khalistan T shirts and sweaters were on sale for £10 (Rs 1,000) and £20 (Rs 2,000) each at the venue. Large banners celebrated Jarnail Singh Bhindranwale, the central figure of the armed Khalistan movement that had led to the June 1984 Army operation at the Golden Temple in Amritsar. "It is important the next generation knows about this," said a Sikh woman selling sweaters. Some of those marching carried yellow Khalistan flags and a few wore "Punjab Referendum 2020" T-shirts. Those that TOI spoke to said they were not just protesting Operation Blue Star, but also the continued detention of Scottish Sikh Jagtar Singh Johal in India, as well as the extradition request for three other British Sikh men in connection with conspiracy-to-murder charges. A spokesperson for the Indian high commission told TOI: "We have taken note of the people who were there trying to desecrate the flag and we will take action. We were also surprised to see that the LTTE (Tamil Tigers) were present. The numbers who turned up were far less than in previous years, which demonstrates that they are failing to muster enough support for Khalistan, besides the continual failure of the whole movement." Jay Singh, a 39-year-old from London at the rally, said, "Burning a flag is a minor thing compared to the people who have died at the farmers’ protests...We all have family and land back in India and they don’t have equal rights. Everyone here has family who has been picked up or gone missing in Punjab. We just want equal rights. Burning the flag is people’s emotions coming out against the establishment." Dawinderpal Singh of the Sikh Press Association, dressed in Nihang attire, said, "1984 was about the oppression of Sikhs and Sikhs continue to be treated as second class citizens and so 37 years later we still have an uphill battle against the Indian government. If you look at Bhindranwale’s speeches it was all about being able to speak Punjabi in Punjab and grow the crops we want and what he said is still relevant today." Watch Indian High Commission: Will take action against those who dishonoured Indian flag||http://timesofindia.indiatimes.com//world/uk/tricolour-set-alight-stamped-on-at-london-khalistan-rally/articleshow/83291827.cms||NAOMI CANTON
---||Delhi||‘Don’t indulge in parties yet, take deadly second wave as lesson’||After spending most of 2020 in lockdown with pandemic restrictions in place, this year began on a relatively positive note. As the number of cases dipped and restrictions eased, people started venturing out again. However, the unchecked ‘revenge socialising’ after months of caution resulted in a deadly second wave. Starting in the second half of March, the surge in COVID cases and deaths caught the country off-guard. Now, after several weeks of restrictions, the number of cases are slowly going down in NCR, but the battle against COVID is far from over. Despite that, many people are repeating the same mistake that led to the second wave. Even though NCR is still in under lockdown, many people are organising secret farmhouse gatherings, house parties etc. Recently, one such gathering was raided in Noida and 15 people were arrested for violating COVID norms. <p>15 people detained from Noida house party</p><p><br></p>Whether you’re fully vaccinated, tired of staying at home or missing friends – no reason is valid for organising or participating in a get-together, say experts. As per current rules, it is also illegal. Even when restrictions are eased, public gatherings are not advisable: DoctorsDoctors say even after lockdown and restrictions ease, it is not the time to party. Dr Vikas Maurya, Director and Head of Department, Pulmonology, Fortis Hospital Shalimar Bagh, says, “We need to continue staying vigilant and not plan gatherings. We should only go out if completely unavoidable, and when doing so, wear a mask, shield, and carry a sanitiser. We should continue to follow all COVID appropriate behaviour. We cannot let our guard down. We need to stay cautious for the next two to three months, and get vaccinated as soon as the opportunity presents itself.” Dr Suranjit Chatterjee, Senior Consultant, Internal Medicine, Indraprastha Apollo Hospital, says, “Everyone needs to understand that COVID-19 will not just disappear once the number of cases start dropping. Even when the government eases lockdown, stepping out is not advisable. Wearing a mask in public, avoiding gatherings and adapting to COVID appropriate behaviour, should be the new normal for at least another year, till the majority of our population is vaccinated. This also applies to people who have been vaccinated, because even if they are less likely to get the virus they can still be potential carriers, and consequently spreaders, of the virus. The severe second wave should be taken as a lesson of what can happen if we do not take this virus seriously.”||http://timesofindia.indiatimes.com//city/delhi/dont-indulge-in-parties-yet-take-deadly-second-wave-as-lesson/articleshow/83285660.cms||Niharika Lal
---||India||Covid cases falling twice as fast in north India than in south India and Maharashtra||NEW DELHI: As the second wave of Covid-19 continues to recede in all states of the country, a curious north-south divide has emerged in the falling trends. In most states of northern India, cases have been declining in double quick time, literally, as compared with Maharashtra and the southern states. Since hitting its peak on May 9, the seven-day rolling average of daily cases in Haryana has declined at an average rate of 8.9% each day (till June 3), the sharpest among 18 major states that TOI looked at. The decline has been almost as dramatic in Rajasthan (8.5%), Delhi (8.2%), Bihar (8.1%), Uttar Pradesh (7.8%) and Uttarakhand (7.6%). In Maharashtra and across the south, the fall has been much more gradual, ranging from 2.7% in Tamil Nadu to 4.2% in Andhra Pradesh. This means that in most states of north India, cases have been falling at more than twice the rate of decline seen in the south and Maharashtra. For each state, the rate of fall was calculated from the time the seven-day average of daily cases hit its peak. Nationally, cases have fallen at a daily average of 3.7% since hitting a peak on May 8. The difference between the rates of decline in north and south India is too stark for it to be just a statistical quirk. Experts pointed to the leakier Covid reporting systems in the north as one possible reason for the divide. “One needs to ask, how good are the reporting systems in the states showing a sharp fall in cases,” virologist Gagandeep Kang told TOI when asked for possible factors behind the north-south divergence. “Certainly, the states that have a relatively better healthcare system, like those in the south, are expected to have good reporting,” she added. Kang also pointed to two other factors, some or all of which could have a role in explaining the difference. “It is possible that different variants of the virus could be in circulation in different regions. Also, prior exposure to the virus that would determine the seropositivity among different populations needs to be looked at,” the expert said. The difference in the rates of decline in cases can be understood better by looking at two states with comparable sizes and dates of reaching the peak — Maharashtra and Uttar Pradesh. The second wave ravaged both states with Maharashtra touching a high of 65,447 cases (seven-day average) on April 24. UP reached its peak around the same time, 35,010, on April 27. Yet, Maharashtra reported an average of just over 17,000 cases on June 3 while the corresponding number in UP had dropped to 1,742. The daily rate of fall in the northern state, at -7.8%, was twice as sharp as the rate seen in Maharashtra (-3.3%). As a result of this general trend, the relative share of Maharashtra and the southern states put together in the daily national count has risen to over 70%, from less than 50% at the peak of the second wave in the country. States in east India have shown a relatively low rate of decline. Daily cases have been falling at 3.4% in Bengal and by 4.1% in Odisha. Watch Covid-19 cases declining twice as fast in north India than in south India||http://timesofindia.indiatimes.com//india/covid-cases-falling-twice-as-fast-in-north-india-than-in-south-india-and-maharashtra/articleshow/83292420.cms||Amit Bhattacharya
---||India||Government still seeking middle path on vaccine indemnity demand||NEW DELHI: The indemnity demand put forward by multinational vaccine makers has seen them call for disputes being resolved overseas, prompting the government to tread cautiously on the issue as the two sides try and reach a middle ground. The Centre is engaging with multinational pharma majors such as Pfizer and Moderna for sourcing Covid-19 vaccines but is also weighing the commitments it undertakes as part of the deal since it may have longer-term implications. The view in government is that while vaccines are needed in the near term, India's domestic supplies will be comfortable from August. The indemnity will not just impact domestic rules but also set a precedent for the future with other drug-makers also expected to seek similar facility for life-saving medicines. In addition, this could be demanded for other purchases too. The demand for an overseas jurisdiction for resolving disputes in particular has seen the Centre consider the consequences. Sources told TOI the government will have to offer the same benefits to domestic manufacturers such as Serum Institute of India and Bharat Biotech with the former having already stated its demand publicly. “The government is engaging with the companies with an open mind and is keen to resolve it at the earliest,” a source said, emphasising that the government is hopeful of negotiating its way past the insistence of Pfizer and Moderna for indemnity for action for their Covid-19 vaccines and exemption from possible local trials. The delicate tightrope walk, where the government is seeking to source the vaccines from Pfizer and Moderna while, at the same time, fending off their tough demands, is part of the elaborate effort to boost supplies. The government has relaxed several norms in its bid to boost vaccine availability. The result is already evident as improved production by Serum Institute and Bharat Biotech goes on stream. The impact of higher production will not be felt immediately as the entire process takes time. For instance, it takes 45 days for a company such as Bharat Biotech to produce the vaccine from the time the process starts. After that, each batch of vaccine is tested at a facility at Central Drug Laboratory, Kasauli in Himachal Pradesh, before going into the distribution network comprising dispatches to states and then to hospitals and dispensaries. Ramping up production capacity at their own facilities as well as in tie-ups entails tying up almost 200 inputs and raw material: an arduous enterprise made even tougher because of the scramble for vaccines. The government has helped, with PM Narendra Modi and the foreign minister making a strong persuasive pitch to the Biden administration for lifting the curbs on raw material and components which go into the manufacture of vaccines. A big breakthrough was achieved on Saturday when the Biden administration took the components out of the purview of the Defence Procurement Act that prohibited American manufacturers from exporting without approval of the authorities there. The relaxation of curbs will especially help Serum Institute, which is more dependent on US supplies than Bharat Biotech, which sources its needs from Europe and some Asian countries. In addition, some of the states where production facilities are located had their own issues to be resolved, which has resulted in the process getting longer. But with the critical problems having been largely resolved, the government expects supply to improve considerably in the coming months. The supply of Moderna, Pfizer and Sputnik V will supplement the efforts, sources said.||http://timesofindia.indiatimes.com//india/government-still-seeking-middle-path-on-vaccine-indemnity-demand/articleshow/83293261.cms||Sidhartha
---||India||Good immune response from Covishield and Covaxin: Study||MUMBAI/HYDERABAD: A ‘real-world’ study of vaccinated healthcare workers has found Covishield and Covaxin could produce a high immune response in up to 95% recipients and prevent serious disease in those infected after immunisation. Interestingly, the Oxford vaccine Covishield could generate antibodies in more individuals compared to Bharat Biotech’s Covaxin, a pre-print of the first such Indian study has stated. Most vaccine efficacy studies so far have been lab-based. The pan-India study of 515 vaccinated healthcare workers — 425 with Covishield and 90 with Covaxin — from 13 states and 22 cities found the vaccines could generate an immune response in 95% recipients 21-36 days after the second dose.  Seropositivity was observed in 98% of those immunised with Covishield as opposed to 80% Covaxin recipients, a finding the researchers called “surprising”.  Even the anti-spike antibody titre was found to be significantly higher in Covishield recipients (115 AU/ml) compared to Covaxin (51 AU/ml). While factors such as gender, BMI and other comorbidities didn’t seem to play much of a role, the seropositivity rate or antibodies in people above 60 years or those with type 2 diabetes was found to be significantly lower. Read Also‘High immune response in 95% health workers who took the jab’A ‘real-world’ study of vaccinated healthcare workers has found Covishield and Covaxin could produce a high immune response in up to 95% recipients and prevent serious disease in those infected after immunisation. Seropositivity rate was significantly more in participants with age less than 60 years (96.3% seropositivity) as against 87.2% in the 60-plus bracket. Infection post vaccination was seen in 5% of the study group, but none suffered from severe Covid-19. Lead author and endocrinologist Dr Awadhesh Kumar Singh of G D Hospital & Diabetes Institute, Kolkata, said the study was not to comment on which one is a better vaccine, but to look at the real-world effectiveness of vaccination. Read AlsoMany refuse Covaxin across private hospitals in KolkataScores of recipients have refused to take Covaxin — India’s home-grown vaccine which is backed by the government — across Kolkata’s private hospitals, some of which received a larger supply of the indigenous vaccine over the last few days. At two private hospitals, around 5%-10% of recipients said “In the absence of measuring neutralising antibody and cell mediated response, it is difficult to comment whether one is superior,” he said. Results of the Cross-sectional Coronavirus Vaccine-induced Antibody Titre (COVAT) study were published in pre-print server MedRxiv on June 4. “In individuals who have had Covid infection, both vaccines are equally good and could produce high antibodies even after a single shot. But for those who haven’t got Covid, Covishield could provide an edge,” he said.||http://timesofindia.indiatimes.com//india/good-immune-response-from-covishield-covaxin-study/articleshow/83293611.cms||Sumitra Debroy
