---||Bengaluru||Students work towards a greener future at this city college||City-based Mount Carmel College (Autonomous) is inching towards a greener future. It was recently recognised as the Green Champion for Bengaluru Urban District and has bagged other laurels for its eco-friendly initiatives, too. Speaking about the college's consistent efforts, Dr Helen Rosalene, associate professor and head, Department of Environmental Science that is also involved in the green audit says, "Since it is a zero-waste college, we are trying to manage our solid waste and waste water management. The college has an internal environment auditing process and a dedicated environmental policy with clear objectives in place." Here's how the college is making its campus greener... Recycling and minimising non-recyclable refuseFrom rainwater harvesting, saying no to plastic bottled water on campus to sewage treatment plants, the college is consciously trying to amp its efforts in being a zero-waste college. "We wanted to be a zero waste institution and we were looking at how to re-use our waste water. We have sewage treatment plants (capacity 150 kilo litres per day) that treat the entire college water which is used for tertiary purposes such as landscaping, toilet flushing, driveway cleaning etc.," informs Dr Rosalene. A canteen that minimises wasteThe college has set up a token system where the student has to pay for the plate in advance and when they return the plate, they get their money back. "Food cannot be taken out from the canteen and we do not sell bottled water. This has reduced plastic waste and the issue of canteen waste as well," informs Dr Rosalene. To promote the RO water tanks, the quality of the water is monitored and checked by the in-house testing lab and displayed for everyone. Spreading awareness among studentsIn a bid to create awareness and get students to think about the environment, the college has been conducting activities round the year. "The department conducts seed-ball making activities, outreach programs, webinars and awareness projects," says Vaishnavi Anand who adds that one such competition inspired her recent research work done on affordable organic sanitary napkin. "Named Twacha, it has qualified in the top 127 projects in the national innovation contest conducted by MHRD and NIC. I have also applied for provisional specification of the patent," adds Vaishnavi. Putting waste to good use...The college has vermicomposting maintained by Life Science department and has invested in a thermophillic organic waste converter, too. Dr Rosalene says, "The solid waste generated on campus is segregated. During the peak time, the campus generates about 75 kg to 125 kg of food waste received from the canteen, hostel and other eateries and leaf litter from the campus amounts to around 50-150 kg. The food waste is checked for hard bones or plastic spoons, which is added into the Thermophilic organic waste convertor along with these leaves (which are washed to remove the grit) to the solid waste convertor and the compost is ready in 48 hours. The organic content is tested in the environmental science laboratory and later on packed and sold at Rs. 25 per kg to the students, staff and public. Organic compost is used for the campus and for the vegetable garden behind the campus. The remaining is sent to different organisations." At Mount Carmel College (Autonomous)...- Department of Environmental science and electronics have a collection point for e-waste. - The institution avoids using posters for campaign of election. - College culturals ban the use of styrofoam and other plastic packaging material.||http://timesofindia.indiatimes.com//city/bengaluru/students-work-towards-a-greener-future-at-this-city-college/articleshow/85398606.cms||Joyeeta Chakravorty
---||Business||Ravi Pillai increases Covid relief fund to Rs 17 crore||KOCHI: With requests for financial assistance keep pouring in from those affected by the Covid-19 pandemic, NRI businessman Ravi Pillai increased the Covid-relief fund from Rs 15 crore to Rs 17 crore. At a function held at the Secretariat in Thiruvananthapuram, on Tuesday, chief minister Pinarayi Vijayan inaugurated the distribution of financial assistance, at the presence of Pillai. Of the eight recipients at the function, two were selected through the Norka-Roots - Arya Mohan and Archana Madhusoodan, children of NRKs died of Covid received an aid of Rs 1 lakh each. The six others, selected by RP Foundation are facing severe health issues and financial strain. The aid is given mainly to children whose parents had died of COVID, families whose income streams had dried up due to the pandemic, and widows. Assistance will also be given for covering marriage expenses of women from underprivileged families. What prompted Pillai to set up a Covid-relief fund was the requests for financial assistance he was getting since the pandemic worsened. “We noticed that many businesses and factories had to shut down during this period and many lost jobs due to this. And many didn’t even have the money for food. When Covid initially hit the Middle East in a severe way than India, there were many Indian workers who couldn’t go back home due to financial strain. Hence, we gave air tickets to more than a thousand of them and continued supporting for their sustenance back home,” he said. “Then we started receiving more requests from people asking for help in the difficult times and I believe that one should help others when they are in dire situations, with circumstances beyond their control. That is how I set up Rs 15 crore fund, a decision which was well-supported by my family. However, when we announced this, we saw a flow of applications. Till July 5th, when we closed the applications, we had received 2.5 lakh applications and still we are getting more,” Pillai said. It took 200 data entry operators worked day and night for 45 days to document the applications before the selection process, which was done online. “We are expecting to disburse the funds to 15,000 people this month itself. Distribution to the rest of the selected applicants will be done through Dhanlaxmi Bank and it might be over by October,” Pillai said. Of the total assistance, the recipients for Rs 5 crore is being selected by Norka-Roots. Overall, 40,000 people will be benefitted by the project.||http://timesofindia.indiatimes.com//business/india-business/ravi-pillai-increases-covid-relief-fund-to-rs-17-crore/articleshow/85411102.cms||Shenoy Karun
---||Business||Study suggests novel approach to achieve seafood sustainability||KOCHI: A study by a team of researchers from Ashoka University, InSeason Fish and Foundation for Ecological Research, Advocacy and Learning (FERAL), has found that urban seafood consumers in India are important contributors to unsustainable seafood trade. The main reason for this according to the study is that urban seafood consumers, which is the main market paying high prices for seafood in India reject diverse options and choose only few select seafood options. Urban seafood consumption focuses on only 6 species groups on average through the year despite marine fisheries in India producing highly diverse and seasonal seafood catch consisting of at least 200 edible species. Due to this mismatch between seafood harvest and consumption, sustainable fishing in India is being eroded. In such circumstances, the researchers suggest that fisheries in India can be sustained only if all parts of the seafood supply chain are supportive. To ensure this, they suggest a novel, holistic approach, called the seafood commons, where fishers, traders and seafood eaters work together to support sustainable fisheries. According to the study, creating more seafood commons could be the best way to achieve lasting seafood sustainability in India. In terms of policy, researchers recommend that regulations move beyond those on fishing, and encompass the entire supply chain. The researchers believe building a community interested in creating larger structural change in seafood supplies is the need of the hour, particularly with respect to transparency and visibility of people at both ends of the supply chain. The findings of the study have key implications for how fisheries and seafood sustainability policies should be implemented in India which is now the third largest harvester of marine captured seafood in the world, following China and Indonesia. Further, India's fisheries are also highly integrated into globalised seafood supplies. It is critical to develop a form of management that can work in India because its marine fishing resources have begun showing symptoms of decline. Funded by the Wipro Foundation through the Wipro Sustainability Seeding Fellowship, the study was conducted among seafood eaters in New Delhi, Bengaluru, Mumbai and Chennai. The research was initiated by gathering evidence from semi-structured interviews with 40 key informants which included 10 informants from each of the four cities. This was followed by a survey of 531 seafood eaters from the 4 cities. Data on seafood restaurants was collected independently of survey data using an online database of restaurants and food services. Divya Karnad, the lead author of the study and Assistant Professor at Ashoka University, says, “Seafood is a common ingredient in many people’s diet, but it is also the last wild food regularly eaten in the civilised world. As a result, most people don’t think of seafood as wildlife, which has deep consequences for sustainable fisheries. Managing fisheries alone is not resulting in global seafood sustainability. Instead, globalised seafood supplies allow for some places to have sustainable fisheries at the cost of others, which have to make up the deficit. The only way forward is to bring the demand for seafood in sync with sustainable seafood supplies”. According to the study, on average respondents ate 6 species and were willing to try 2.5 additional species. Further, a few respondents (4.52%) identified that there were<10 edible species, 25.42% identified between 51 and 100 species and 17.51% mentioned there were more than 200. According to researchers, the lack of knowledge about species diversity limits the choices that a seafood eater will make. The study suggests that awareness and education might be the first step towards encouraging seafood eaters to utilise the diversity of seafood available. Chaitanya Krishna, co-author of the study says, “In addition to other fisheries governance and trade regulation mechanisms, the paper outlines the role that seafood consumers can play in our collective quest for ocean health and sustainable seas”. Dhruv Gangadharan, a co-author of the study adds, “We all eat seafood, and have a lot in common. Our kitchens are connected to the oceans. To eat sustainable seafood, we need to support our local fish markets, learn from fishers, listen to their stories and come together as a community”.||http://timesofindia.indiatimes.com//business/india-business/study-suggests-novel-approach-to-achieve-seafood-sustainability/articleshow/85411192.cms||Shenoy Karun
---||India||Movement of the Indian ambassador and the embassy staff from Kabul to India was a difficult and complicated exercise: S. Jaishankar||NEW DELHI: The drive from the Indian embassy in Kabul to the airport doesn’t take more than 20 minutes on a good day. But on the night of the 16th it took the convoy of 14 bulletproof vehicles carrying the Indian ambassador Rudrendra Tandon and other officials almost an hour, every minute a heart stopping suspense. The threat to the Indians was very real and very high. The Taliban had created roadblocks all over the city, making movement almost impossible. Foreign minister S. Jaishankar tweeted, “Movement of the Indian Ambassador and the Embassy staff from Kabul to India was a difficult and complicated exercise.” Movement of the Indian Ambassador and the Embassy staff from Kabul to India was a difficult and complicated exercis… https://t.co/M6Wbv2Kf2Q— Dr. S. Jaishankar (@DrSJaishankar) 1629205114000When the first groups of Taliban arrived at the outskirts of Kabul on the 14th, it appeared they might mount a siege on the city, work out a deal and then thrash out some kind of an interim power sharing arrangement. But the Taliban were following a different script — they entered the city from all sides, which gave in without resistance. When Ashraf Ghani and his coterie fled on 15th evening, all bets were off. All police and security vanished, according to sources. Evacuation became imperative, but in the prevailing circumstances, fraught with danger. The security of the Indian officials was the primary concern for the government. PM Modi and the leadership were very clear on this. Modi, NSA Ajit Doval and foreign minister S. Jaishankar were in the lead, while the operations were led by JP Singh, joint secretary MEA, while Indian ambassador Rudrendra Tandon was holding up the Kabul end of things. Kabul airport was functional on the 15th, when the last Air India flight brought back 129 people. But watching pictures of crowds storm aircraft in Kabul, India decided to hold back civilian flights. It was also decided to divide the evacuation into two stages. The logistics planning involved two stages — transfer from embassy to airport, and airport to India. The second was relatively easier. The first became the problem. The Taliban roadblocks outside the Indian embassy were bad enough. What was worse was that there was no armed escort for the Indians to travel safely to the airport. Intelligence suggested that the 15 check posts erected between the embassy and airport were filled with all manner of people — Taliban, LeT and Haqqani (ISI-sponsored) operatives, some even suspected to be Daesh. Indians are anyway vulnerable, having sustained numerous attacks, particularly by the LeT and Haqqanis. Travelling unescorted was not an option. The Americans would not help, citing their own evacuation responsibilities. Finally, the Indian security agencies gathered a group of “local assets” who could negotiate with the men manning the check posts and get to the airport. The plan was highly risky, though in the circumstances, the best that could have been done. On Sunday night, the government moved the first batch of 45 officials in a convoy at night to the airport. A C-17 aircraft had taken off at night from India and picked them up on 16th morning, bringing them back by the afternoon. But things deteriorated and became volatile on the 16th. Ordinary Afghans stormed the airport, and the world saw heart-rending scenes of people climbing on top of aircraft, crowding into US Air Force aircraft to get out. Armed Taliban were all over the city, roads were jammed. The Indians had to wait for nightfall. By then, many Indian citizens in Kabul, who hadn’t obeyed government travel advisories in time turned up at the embassy. They could not be turned away. A convoy of 14 vehicles, bookended by armed ITBP personnel and the “local” escort set off for the airport late at night. By then all documents had been shredded and the embassy pared down to the minimum. India hasn’t officially closed the embassy, with Afghan staff continuing to man it. It has been evacuated in view of the prevailing situation. A second C-17 took off from Hindon on 16th night and parked in Dushanbe, ready to hop over to Kabul. The Americans, who had, by then, taken control of Kabul airport, gave the Indian aircraft a three-hour window. But first they had to get the officials and other Indian nationals to the airport safely. The midnight drive was nothing short of hair-raising. At every checkpost, the local escort “negotiated” movement. Back in New Delhi, Modi and Doval and other top officials stayed up late at night, following the convoy through Kabul’s streets until they were safely through the gates of the airport. Jaishankar was monitoring from the plane that he was travelling in to the US. At one point, it needed high level intervention to get the Americans to facilitate the Indian movement. The Indians had to wait for daybreak, when the C-17 arrived from Dushanbe. The return home was over Iranian airspace, avoiding Pakistan, landing first at Jamnagar for fuel and food, before arriving at Hindon. There are still many Indians left behind in Afghanistan, who want to return. The government is waiting for commercial civilian aircraft to resume operations from Kabul before facilitating their return.||http://timesofindia.indiatimes.com//india/movement-of-the-indian-ambassador-and-the-embassy-staff-from-kabul-to-india-was-a-difficult-and-complicated-exercise-s-jaishankar/articleshow/85408770.cms||Indrani Bagchi
---||World||EU says it will work with Taliban only if human rights respected||BRUSSELS: The EU will only cooperate with the Taliban if they respect fundamental rights, including those of women, and prevent the use of Afghanistan's territory by terrorists, the bloc's foreign policy chief said on Tuesday.  Josep Borrell outlined the EU's stance in a statement after an emergency meeting of European Union foreign ministers to discuss the Taliban's quick seizure of the Afghan capital Kabul.  "I haven't said that we are going to recognise the Taliban," Borrell told a news conference. "I just said that we have to talk with them for everything, even to try to protect women and girls. Even for that, you have to get in touch with them."  The Taliban, in their first official news briefing since the seizure of Kabul, said they wanted peaceful relations with other countries and would respect the rights of women within the framework of Islamic law.  Their announcement, short on details but suggesting a softer line than during their rule 20 years ago, was made as the United States and Western allies evacuated diplomats and civilians the day after scenes of chaos at Kabul airport as Afghans thronged the airfield.  Borrell said the EU's priority was to evacuate EU staff and Afghan helpers from Kabul. He put the number of locals who have been working for the EU at almost 400, their families included.  Spain has offered to act as a hub to receive these people before they are sent on to EU countries that have offered them shelter, he said.  Humanitarian aid for Afghans must be maintained and even increased, but assistance will only go to the Afghan government if conditions are met, Borrell said.  Starting a dialogue soon is needed to avert a potential migratory disaster and a humanitarian crisis, he added.  "We have to get in touch with authorities in Kabul the Taliban have won the war, so we will have to talk to them."  Borrell ranked the fall of Kabul to the Taliban the most important geopolitical event since the Russian invasion of Crimea in 2014.  "It will have an impact on the geopolitical balance of the world," he said, meaning the EU would have to work more closely with countries such as Turkey, Iran, Pakistan, Russia and China.||http://timesofindia.indiatimes.com//world/europe/eu-says-it-will-work-with-taliban-only-if-human-rights-respected/articleshow/85411262.cms||---
---||Business||Kerala start-up to set up premium roadside restrooms||KOCHI: Travlounge, a startup promoted by Kozhikode-based Beacon group which has got investments in IT and sports, will set up an innovative project of premium roadside restrooms across highways in south India. P T Safeer, Managing Director, Travlounge, said the company has already attracted US$1 million investment from Dubai-based Azcco Global Ventures, as the first restroom unit of the start-up is already under construction at Walayar in Palakkad. Explaining the uniqueness of the service model, Safeer said the restroom units Travlounge setting up would include a premium coffee shop, paid toilet facilities, sleeping boards for a few with hourly charges, a minimart, carwash among others. "The concept is prevalent in the West and we want to replicate the lounge experience of an air traveller to the roadside. It will be an app-based service model with users paying affordable annual subscriptions for unlimited usage. Non-app users and other walk-in customers will be charged per use," he added. The first of such units, coming up at 80 cents of leased land in Walayar, Palakkad with newly-built 8,000 sq ft facilities, will be operational by the year-end. "We would be adding five more units immediately in Kerala including the ones between Alappuzha and Kochi; Thrissur, Wayanad. In 5 years' time, we are aiming at 50 units across south India and 1 million subscribers through the app," Safeer said. Safeer also said it's been really encouraging to have an additional investment of US$1 million even before the first unit is operational, from a reputed NRI group like Azcco Global Ventures based in Dubai which is into retail, manufacturing, import and export. Speaking on the development, Abdul Azis, Chairman, Azcco group said what attracted him to invest in the venture is the hygiene and cleanliness it will bring about to our roads. “It will also help the safety of the travellers by being there between long, lone highways and will ultimately contribute to our tourism prospects,” he added. Safeer said, once operational, each Travlounge unit can generate direct employment opportunities for at least 30-40 people.||http://timesofindia.indiatimes.com//business/india-business/kerala-start-up-to-set-up-premium-roadside-restrooms/articleshow/85411388.cms||Shenoy Karun
---||Srinagar||BJP constituency in-charge killed in J&K, second terror hit on party in 10 days||SRINAGAR: Terrorists in J&K shot dead BJP's Kulgam constituency in-charge on Tuesday, less than 10 days after two Lashkar-e-Taiba gunmen barged into an unprotected house in Anantnag to kill a sarpanch from the saffron party and his panchayat member wife. The fatal attack on Javeed Ahmad Dar took place outside his residence in the Barzloo Jageer area of south Kashmir's Kulgam, taking the number of political functionaries and workers killed since August 2019 to over 40. BJP has suffered the highest number of 20 casualties in terror attacks during this period. BJP spokesperson Altaf Thakur termed Javeed's killing "barbaric". National Conference vice-president and former CM Omar Abdullah and People's Conference chief Sajad Lone took to Twitter to condemn the latest political killing in the Valley. "Terrible news from Kulgam. Javved Ahmed was gunned down in cold blood. I unreservedly condemn this terror attack.." Omar wrote, without mentioning the party to which the victim belonged. On August 9, sarpanch Ghulam Rasool Dar of Kulgam's Redwani panchayat and his wife and colleague Jawahira Begum were in their rented Anantnag home without their personal security officer when a Lashkar duo shot them dead. They had been living in a secure government-provided hotel until recently.||http://timesofindia.indiatimes.com//city/srinagar/bjp-constituency-in-charge-killed-in-jk-second-terror-hit-on-party-in-10-days/articleshow/85411988.cms||M Saleem Pandit
---||World||Serbian president challenges Twitter: 'Delete my account!'||BELGRADE: Serbia's autocratic leader Aleksandar Vucic challenged Twitter on Tuesday to close his account like it did with Donald Trump's, after several media outlets under his control were labeled state-affiliated by the social media site. "I can't wait for them (Twitter) to close my account so I become another Trump in the world,'' Vucic said. Twitter in January deleted the account of the former US president because of the risk of further incitement of violence after his supporters stormed the US Capitol on Jan. 6 after he lost the presidential election. Twitter has defined state-affiliated media as "outlets where the state exercises control over editorial content through financial resources, direct or indirect political pressures, and/or control over production and distribution.'' "Who should they cooperate with, tycoons, thieves and criminals?'' Vucic asked. "It is most normal that they cooperate with the government.'' He said the Twitter label is nothing but "censorship.'' Vucic, a former ultranationalist, has kept a tight grip on Serbia's mass media since he came to power 10 years ago. Serbia's pro-government outlets, including the state TV, regularly blast the few remaining independent media in Serbia, claiming they are controlled by corrupt opposition figures or Western embassies. Vucic congratulated all the media that have received such a Twitter label on their accounts, saying they are "spreading the freedom-loving ideas.'' Besides Serbia, the labels also appear on numerous Twitter accounts around the world, including the US, China, France, Russia, Germany, Italy, Japan, Saudi Arabia, Spain, Turkey and the United Arab Emirates.||http://timesofindia.indiatimes.com//world/europe/serbian-president-challenges-twitter-delete-my-account/articleshow/85411355.cms||---
---||World||White House: Taliban agree to allow civilian 'safe passage'||WASHINGTON: The Taliban have agreed to allow "safe passage" from Afghanistan for civilians hoping to join a US-directed airlift from the capital, President Joe Biden's national security adviser said Tuesday, although a timetable for completing the evacuation of Americans, Afghan allies and possibly other civilians has yet to be worked out with the country's new rulers.  Jake Sullivan acknowledged reports that some civilians were encountering resistance - "being turned away or pushed back or even beaten" - as they tried to reach the Kabul international airport. He said "very large numbers" were reaching the airport and the problem of others was being taken up with the Taliban, whose stunningly swift takeover of the country on Sunday plunged the US evacuation effort into chaos, confusion and violence. Pentagon officials said that after interruptions on Monday, the airlift was back on track and being accelerated despite weather problems, amid regular communication with Taliban leaders. Additional US troops arrived and more were on the way, with a total of more than 6,000 expected to be involved in securing the airport in coming days.  Pentagon spokesman John Kirby disclosed that US commanders are speaking with Taliban commanders "multiple times a day" about avoiding conflict at the airport. This suggested that the new rulers of Afghanistan, who swept to power after 20 years of war against the US-supported Kabul government, plan not to disrupt the evacuation. Kirby would not discuss details of the Taliban arrangement, and Sullivan said the question of how much time the Taliban will give the evacuation is still being negotiated.  Biden has said he wants the evacuation completed by Aug. 31. Sullivan declined to say whether that deadline would hold.  Sullivan said US officials are engaged in an "hour by hour" process of holding the Taliban to their commitment to allow safe passage for civilians wishing to leave the country. Asked whether the Biden administration recognizes the Taliban as the legitimate rulers of Afghanistan, Sullivan said it was too soon to say and that the Taliban's record of adhering to international human rights standards "has not been good."  Overnight at the airport, nine Air Force C-17 transport planes arrived with equipment and about 1,000 troops, and seven C-17s took off with 700-800 civilian evacuees, including 165 Americans, Army Maj. Gen. William Taylor told a Pentagon news conference. The total included Afghans who have applied for Special Immigrant Visas and third-country nationals, he said.  The goal is to ramp up to one evacuation flight per hour by Wednesday, with potentially a total of 5,000 to 9,000 evacuees leaving per day, Taylor and Kirby said. Taylor said that more than 4,000 US troops are now at the airport. That number is expected to top 6,000 in coming days, with airport security to be headed by an 82nd Airborne commander.  On Monday the airlift had been temporarily suspended when Afghans desperate to escape the country breached security and rushed onto the tarmac. Seven people died in several incidents.  Kirby, said US commanders at the airport are in direct communication with Taliban commanders outside the airport to avoid security incidents. He indicated this communication was in line with an arrangement made on Sunday by the head of US Central Command, Gen. Frank McKenzie, when he met with Taliban leaders in Qatar and won an agreement to "deconflict" forces and allow a safe US evacuation.  Kirby said there have been no hostile actions by the Taliban, and that several hundred members of the now-defeated Afghan army are at the airport assisting in the evacuation.  Kirby said during television interviews that plans were being made to house up to 22,000 evacuated Afghans and their families at three U.S. Army installations in the continental United States. Those locations are Camp McCoy, Wisconsin; Fort Bliss, Texas, and Fort Lee, Virginia.  On Monday, a defiant Biden rejected blame for chaotic scenes of Afghans clinging to US military planes in Kabul in a desperate bid to flee their home country after the Taliban's easy victory over an Afghan military that America and NATO allies had spent two decades trying to build.  Biden called the anguish of trapped Afghan civilians "gut-wrenching" and conceded the Taliban had achieved a much faster takeover of the country than his administration had expected. The US rushed in troops to protect its own evacuating diplomats and others at the Kabul airport.  But the president expressed no second thoughts about his decision to stick by the US commitment, formulated during the Trump administration, to end America's longest war, no matter what.  "I stand squarely behind my decision" to finally withdraw US combat forces, Biden said, while acknowledging the Afghan collapse played out far more quickly than the most pessimistic public forecasts of his administration. "This did unfold more quickly than we anticipated," he said.  Despite declaring "the buck stops with me," Biden placed almost all blame on Afghans for the shockingly rapid Taliban conquest.  His grim comments were his first in-person to the world since the biggest foreign policy crisis of his still-young presidency. Emboldened by the US withdrawal, Taliban fighters swept across the country last week and captured the capital, Kabul, on Sunday, sending US-backed Afghan President Ashraf Ghani fleeing the country.  Biden said he had warned Ghani - who was appointed Afghanistan's president in a US-negotiated agreement - to be prepared to fight a civil war with the Taliban after US forces left. "They failed to do any of that," he said.  At home, it all sparked sharp criticism, even from members of Biden's own political party, who implored the White House to do more to rescue fleeing Afghans, especially those who had aided the two-decade American military effort.  "We didn't need to be seeing the scenes that we're seeing at Kabul airport with our Afghan friends climbing aboard C-17s," said Rep. Jason Crow, a Colorado Democrat and Iraq and Afghanistan military veteran.  He said that is why he and others called for the evacuations to start months ago. "It could have been done deliberately and methodically," Crow said. "And we think that that was a missed opportunity."||http://timesofindia.indiatimes.com//world/us/white-house-taliban-agree-to-allow-civilian-safe-passage/articleshow/85412866.cms||---
---||India||Give CBI autonomy like EC, CAG: Madras HC to Centre||MADURAI: The Madras high court issued a slew of directives to the Centre on Tuesday to “release the caged parrot” that the CBI has supposedly become, including bringing an Act granting statutory status with more powers and greater jurisdiction to the agency so that it becomes “more independent” like the Election Commission and Comptroller and Auditor-General of India. “There is always a clamour for a CBI investigation whenever any sensitive, heinous crimes are committed and there is no proper investigation by local police...such is the trust and faith of the people,” the division bench of Justices N Kirubakaran and B Pugalendhi said while considering a CBI plea that it has been working under constraints such as shortage of manpower. “...Very sadly, the CBI is dragging its feet, whenever there is a demand for (an) inquiry, on the ground that resources and manpower available with it are restricted and, therefore, it cannot conduct investigations. This is the usual stereotypical defence of the CBI before courts.” The bench passed the order while refusing to grant relief in a PIL filed by the Ramanathapuram District Pathikkapattor Sangam, seeking a CBI probe into a chit fund scam. The judges recommended a separate budgetary allocation for CBI and stressed granting the director of the agency powers equivalent to that of a secretary to the government. The CBI chief shall directly report to the minister concerned or the PM, they said. The high court bench directed the CBI director to send a detailed proposal seeking further increase in divisions and wings along with staff strength within six weeks. On receipt of the proposal, the Centre shall pass appropriate orders on the same within three months, it said. The Supreme Court was the first to call the CBI a “caged parrot speaking in its master’s voice” back in 2013, when it censured the then UPA government for its handling of the agency after it was tasked with probing the coal block allocations case. Noting that that an aura of reverence was attached to the CBI, the high court bench said the only way to ensure autonomy befitting that stature was to give it statutory status. The agency should also have a dedicated cadre of officers instead of relying on deputation, it observed. On perusal of a detailed report on the queries raised by the court regarding the resources, manpower, investigating skills, infrastructural facilities and status of cases being investigated by CBI, the judges took note of the fact that the agency has been functioning under multiple constraints such as funding and facilities at the Central Forensic Science Laboratory (CFSL). The judges observed that delay in receiving opinion from forensic experts was one of the reasons for CBI’s inability to close cases quickly. The laboratory should have facilities on a par with those available to FBI in the US and UK’s Scotland Yard, they said. The Centre should establish at least one CFSL in the south, east and west zones within a year, the judges said.||http://timesofindia.indiatimes.com//india/give-cbi-autonomy-like-ec-cag-madras-hc-to-centre/articleshow/85412824.cms||Kaushik Kannan
---||India||Taliban vow to respect women’s rights within Sharia, and to seek no vengeance||ISLAMABAD: The Taliban vowed on Tuesday that they would respect women’s rights within the boundaries of Sharia law and would not seek revenge against those it had fought or against those that had worked with Western powers or the earlier government. The statements by Taliban spokesperson Zabihullah Mujahid were part of a publicity exercise to reassure a very nervous population and to convince world powers that things would be different from the last time round. The Taliban seem to be distancing themselves from atrocities, human rights abuses and war crimes that their fighters had committed in certain provinces before their march on Kabul. "We assure you that nobody will go to their doors to ask why they helped," he added after saying no vengeance would be sought. He said he wanted private media to "remain independent" but added that journalists must not work "against national values." Earlier in the day, the Taliban declared "a general amnesty" across Afghanistan and urged government officials and women to return to work without fear of recrimination as talks for an "inclusive" government between Afghan and Taliban representatives continued in Kabul. "…so you should start your routine life with full confidence," read a statement issued by Enamullah Samangani, a member of the Taliban’s cultural commission. "The Islamic Emirate doesn’t want women to be victims. They should be in government structure according to Shariah law," Samangani said. "The structure of government is not fully clear, but based on experience, there should be a fully Islamic leadership and all sides should join," he added. The mayor of Kabul and the acting minister of public health were among those who had returned to their jobs on Tuesday. Samangani’s statement was followed by a voice message from the head of the group’s military commission, Mullah Yaqoob, son of the slain Mullah Umar, the founder of the Taliban movement, declaring that no one was allowed to enter anyone’s house, especially in the city of Kabul. The statement came in response to reports that the Taliban had entered the homes of people in the capital. In negotiations for a new setup in the country, the Taliban team in Kabul is headed by Amir Khan Muttaqi, who was higher education minister during the previous Taliban regime, while former president Hamid Karzai and Abdullah Abdullah, who once led the country’s negotiating council, are representing the country’s political leadership. The talks, which had started soon after President Ashraf Ghani’s departure, both sides confirmed, are aimed at bringing other non-Taliban leaders into the government, described by the Doha-base Taliban spokesman Suhail Shaheen as an "inclusive Afghan government". According to Taliban sources, the group’s deputy chief, Mullah Abdul Ghani Baradar, who left Doha for Kandahar along with his aides, will leave for Kabul to join the negotiators. Baradar, a co-founder of the Taliban, is the highest-ranking Taliban leader to appear in public since it took back control of Afghanistan. He had spent most of the past decade under arrest in Pakistan. The US, according to sources, had lobbied for his release before starting talks with the Taliban. At the helm of the group’s political office in Doha, Baradar had led talks with the US, which culminated in a deal to end America’s engagement in the 20-year war and their withdrawal from the war-ravaged country. Meanwhile, the Tehreek Taliban Pakistan (TTP) has congratulated the Afghan Taliban on taking control of Afghanistan. "It is a victory for the whole Islamic world," read a statement issued by TTP spokesman Mohammad Khorasani. He reiterated the group’s "allegiance to the Afghan Taliban leadership" and pledged to "support and strengthen the Islamic Emirate of Afghanistan". The TTP has long operated from Afghanistan and has been found involved in some of the worst terrorist attacks in Pakistan. Dozens of TTP fighter and key commanders, including Maulana Faqir Mohammad, the outfit’s former deputy chief, were freed from jails in Afghanistan recently by the Taliban along with other inmates. Pakistan interior minister Sheikh Rasheed said, "We have taken the Taliban on board over the TTP issue and told them that Pakistan will not allow its soil to be used against Afghanistan, and that it hopes Afghanistan won’t allow its soil to be used against Pakistan." He added: "Previously, Pakistan was supporting the US, due to which TTP and the Taliban were on the same page. That is not the case now," the minister noted.||http://timesofindia.indiatimes.com//india/taliban-vow-to-respect-womens-rights-within-sharia-and-to-seek-no-vengeance/articleshow/85412890.cms||Omer Farooq Khan
