---||Bengaluru||Family makes Ganesha idols; has kept tradition on for 92 years||Come Ganesh Chaturthi and the Rao family of Mannagudda, is one of the busiest households in Mangaluru city. The Raos are popular for their aesthetic home-made Ganesha idols, which grace some of the biggest homes and pandals in the city. "My father Mohan Rao started making these idols over nine decades ago; this is our 92nd year," smiles Ramachandra Rao, 72, who is joined in this noble task by his brothers. "We learnt idol making from my father and he taught us the most delicate nuances of carving Ganesha idols. Even though we all pursued regular professions, this is something we will never let go of. My brothers and I are joined by our entire family during the festive season to make these idols. Our sons, daughters-in-law, grandkids and cousins, everyone comes home to lend a hand," Ramachandra tells us. This year, the family has made the highest number of idols thus far -- 230. In keeping with the pandemic, the family has requested all their patrons to collect the idols much before the festival to avoid rush hour and ensure social distancing. And if the idols are in such high demand even after all these decades, it's because the Raos do not compromise or cut corners when it comes to their idols. The clay for the idols comes from a field in Ganjimutt, on the outskirts of the city. The straw comes from a friend's farm. "During my father's time, we'd procure it from the paddy fields around Mangaluru but with these lands slowly disappearing, we had to fetch it from Ganjimutt," shares Ramachandra. Ask him about the debate around making eco-friendly Ganeshas and he quips, "We have always been making our idols out of clay which is the most eco-friendly material you can find. And unlike cities like Mumbai, we never use plaster of Paris and distemper. It's always eco-friendly paint sans lead, which will not harm the water body where you immerse the idol," states Ramachandra. On a parting shot, we ask him his opinion on innovative Ganeshas -- of him playing cricket, wearing a cap amongst others. "In South Kanara, we respect our Gods and traditions. These are sentiments that can't be played around with. Ganesha always sits and that is how we will always depict him. This is not a profession for us, but a sacred task," sums up Ramachandra.||http://timesofindia.indiatimes.com//city/bengaluru/family-makes-ganesha-idols-has-kept-tradition-on-for-92-years/articleshow/86062137.cms||Madhu Daithota
---||India||Rail minister flags off full span launcher for Bullet Train project, India makes it to select group of nations||NEW DELHI: Union railway minister Ashwini Vaishnaw flagged off a ‘Made in India’ mega full span launching equipment, including a straddle carrier and girder transporter, on Thursday which will expedite the construction of viaducts on the under construction high-speed bullet train corridor between Ahmedabad and Mumbai. Sources said 20 such equipment will be rolled out for this project. With this, India is now coming in the select group of countries like Italy, Norway, Korea and China, which have been designing and manufacturing such equipment, the railway ministry said. These equipment built in India, for the first time, will end or reduce dependence on import of such equipment for mega elevated infrastructure projects. Officials said the “straddle carrier” flagged off by the minister is the biggest in the country and the “girder transporter” for transporting and fixing full span precast girders is the largest in India. These equipment have been built by the construction major, Larsen and Toubro in India, which has bagged the tender to build the major stretch of the first High Speed Rail corridor in the country. According to the National High Speed Rail Corporation Ltd (NHRSCL), which is implementing the project, 85% of the components used in the two equipment has been sourced from India and 15% from Spain and Germany. The “straddle carrier” is a tyre mounted self-propelled gantry crane designed to handle the full span precast girders from casting bed to stacking yard. This has 80 tyres. The crane has the capacity to lift up to 1,100 tonnes and a 52.5 meter long and 37 meter wide girder at one time. Similarly, the 27-axle tyre mounted self-propelled trolley “girder transporter” having 216 tyres is designed to transport the full span precast girders fed by bridge gantry to erection location. Speaking at the flag off ceremony, Vaishnaw said soon there will be more High Speed Rail projects in the country.||http://timesofindia.indiatimes.com//india/rail-minister-flags-off-full-span-launcher-for-bullet-train-project-india-makes-it-to-select-group-of-nations/articleshow/86078536.cms||Dipak K Dash
---||India||Four Rohingyas arrested in J&K||JAMMU: Kathua police on Thursday apprehended four Rohingyas at Lakhanpur border in Jammu & Kashmir for illegally entering India. Kathua SSP Romesh Kotwal said the accused entered India from Bangladesh through the Badarpur border. "On September 5 they took a train from Badarpur to Guwahati and on the same day they travelled from Guwahati and reached Delhi on September 8. Thereafter, they travelled by bus from Delhi to Kashmir and reached Lakhanpur on Thursday," the SSP added. They were identified as Mohadad Salam, Omar Faruk, Hassina Begum and Mustkima, all residents of Kiambu Tom Bazar in Myanmar, and had been staying at the Kutuhalam refugee camp in Cox's Bazar, Bangladesh.||http://timesofindia.indiatimes.com//india/four-rohingyas-arrested-in-jk/articleshow/86079635.cms||Sanjay Khajuria
---||India||Don't meddle in probe into journalist-terror nexus: J&K IGP||SRINAGAR: Asking the media not to "interfere unnecessarily" or create "a false narrative" about the crackdown on some local journalists involved in alleged terror propaganda, J&K police on Thursday said the quartet whose houses were raided the previous day would be arrested after investigators gathered "solid evidence". IGP Vijay Kumar said the police were checking the mobile phones and laptops seized from the four journalists suspected to be involved in running a Pakistan-origin propaganda blog called "Kashmir Fight". The police have registered an FIR at Kothibagh police station in Srinagar against Showkat Motta, Hilal Mir alias Saqi, Mohammad Abbas Shah and Azhar Qadiri. Shah, who had been working for a Srinagar-based Urdu newspaper, was fired by his employer within hours of the raid on his house. The other three suspects are currently not on the rolls of any known publication, channel, portal or agency, the police said. IGP Kumar said the numbers of various contacts in Pakistan, Turkey and Saudi Arabia had been found on the mobile phones of the suspects. "They also seem to be communicating with many virtual numbers. Based on the available information, a search was conducted at four places with search warrants from the special NIA court on September 8." All four journalists have been summoned for another round of questioning on Friday. "This is an investigation into an extremely sensitive case, which is why we advise all in the media and various journalists' bodies not to spread false news," the IGP said.||http://timesofindia.indiatimes.com//india/dont-meddle-in-probe-into-journalist-terror-nexus-jk-igp/articleshow/86079679.cms||M Saleem Pandit
---||India||US doesn’t view the impact of Taliban takeover ‘through India lens’: Official||LONDON: The US does not look at the impact of the Taliban takeover of Afghanistan through an "India lens", the US state department’s Hindi and Urdu language spokesperson, Zed Tarar, said, responding to a question from TOI as to whether the US was concerned about the impact of the Taliban takeover on India’s national security. "Afghanistan’s stability does influence the entire region," Tarar said. "We want to partner with our allies to try and see that the situation in Afghanistan does not deteriorate and that people in Afghanistan have a bright future," he added. Read AlsoBlinken to consult partners as Taliban form Afghan governmentDOHA: US Secretary of State Antony Blinken will hold talks in Germany on Wednesday with nations shaken by the Afghanistan withdrawal as the Taliban announced a hardline new government. The top US diplomat flew out of Qatar, the largest transit hub in a massive airlift from Afghanistan, to tourAsked whether the US believed that Pakistan supported the Taliban, he said, "We are watching the formation of the government in Afghanistan very closely." US secretary of state Antony Blinken has co-led a virtual meeting of 22 foreign ministers in Germany, with officials from Nato, the European Union and the United Nations, he added."Pakistan and India are part of that 22 nations’ delegation. No one country can improve outcomes in Afghanistan. We need to see in the coming days and weeks whether the Taliban keeps to its commitments." The US "has aligned interests on many issues with Pakistan," he added. "We are looking to work with Pakistan on those issues — Afghanistan, counter-terrorism, Covid-19 and climate change." He said it was not just the US, but also the G7, UN Security Council, EU and Nato who will make clear that if the Taliban seek international legitimacy and recognition, they expect to see an inclusive government and for Afghanistan to maintain its same freedoms and gains from over the last 20 years. Read AlsoIt’s democracies vs Beijing-IslamabadTwo decades after the Twin Towers fell, what challenges do terrorists and their old and new backers pose?Asked what leverage the US had over the Taliban, he said: "We will use the full range of tools at our disposal." Tarar reiterated that US President Joe Biden stood by his decision to withdraw US troops from Afghanistan and "has no regrets". "The purpose was never nation building or to install a Western-style democracy. The purpose was to deliver justice for 9/11, which we have done." "India is one of our most critical partners in the world — whether we are talking about defeating Covid-19 or climate change," Tarar said. "The Indian government supplies vaccines globally and without India’s assistance we could not ensure that vaccines reach Asia and Africa. The engagement is robust and ongoing," he said.||http://timesofindia.indiatimes.com//india/us-does-not-view-taliban-takeover-through-lens-of-india/articleshow/86080020.cms||NAOMI CANTON
---||World||US doesn’t view the impact of Taliban takeover ‘through India lens’: Official||LONDON: The US does not look at the impact of the Taliban takeover of Afghanistan through an "India lens", the US state department’s Hindi and Urdu language spokesperson, Zed Tarar, said, responding to a question from TOI as to whether the US was concerned about the impact of the Taliban takeover on India’s national security. "Afghanistan’s stability does influence the entire region," Tarar said. "We want to partner with our allies to try and see that the situation in Afghanistan does not deteriorate and that people in Afghanistan have a bright future," he added. Read AlsoBlinken to consult partners as Taliban form Afghan governmentDOHA: US Secretary of State Antony Blinken will hold talks in Germany on Wednesday with nations shaken by the Afghanistan withdrawal as the Taliban announced a hardline new government. The top US diplomat flew out of Qatar, the largest transit hub in a massive airlift from Afghanistan, to tourAsked whether the US believed that Pakistan supported the Taliban, he said, "We are watching the formation of the government in Afghanistan very closely." US secretary of state Antony Blinken has co-led a virtual meeting of 22 foreign ministers in Germany, with officials from Nato, the European Union and the United Nations, he added."Pakistan and India are part of that 22 nations’ delegation. No one country can improve outcomes in Afghanistan. We need to see in the coming days and weeks whether the Taliban keeps to its commitments." The US "has aligned interests on many issues with Pakistan," he added. "We are looking to work with Pakistan on those issues — Afghanistan, counter-terrorism, Covid-19 and climate change." He said it was not just the US, but also the G7, UN Security Council, EU and Nato who will make clear that if the Taliban seek international legitimacy and recognition, they expect to see an inclusive government and for Afghanistan to maintain its same freedoms and gains from over the last 20 years. Read AlsoIt’s democracies vs Beijing-IslamabadTwo decades after the Twin Towers fell, what challenges do terrorists and their old and new backers pose?Asked what leverage the US had over the Taliban, he said: "We will use the full range of tools at our disposal." Tarar reiterated that US President Joe Biden stood by his decision to withdraw US troops from Afghanistan and "has no regrets". "The purpose was never nation building or to install a Western-style democracy. The purpose was to deliver justice for 9/11, which we have done." "India is one of our most critical partners in the world — whether we are talking about defeating Covid-19 or climate change," Tarar said. "The Indian government supplies vaccines globally and without India’s assistance we could not ensure that vaccines reach Asia and Africa. The engagement is robust and ongoing," he said.||http://timesofindia.indiatimes.com//world/us/us-does-not-view-taliban-takeover-through-lens-of-india/articleshow/86079981.cms||NAOMI CANTON
---||World||Taliban say Haqqani on US terror list is violation of Doha pact||ISLAMABAD: The Taliban accused the United States on Thursday of violating the peace agreement inked between the two in February 2020 in Doha by keeping its new interior minister, Sirrajudin Haqqani, on its terror list. The statement was issued by the new Afghan government hours before some 200 people, including Americans, left the war-battered country in the first international commercial flight to depart Kabul airport, for Qatar, since US forces left Afghanistan 10 days ago. The Doha deal had paved the way for the exit of US-led foreign forces in return for a guarantee from the Taliban not to allow groups such as Al Qaeda and ISIL to operate on Afghan soil. In the wake of the deal, the US had pledged to remove Taliban members from international terror lists. The new minister, who is part of the Haqqani Network formed by Jalaluddin Haqqani, his slain father, had been accused of attacks on US forces in Afghanistan during the past 20 years. He is on the FBI’s most wanted list and carries a $5 million bounty on his head. He is also on a UN blacklist along with over a dozen other Taliban cabinet members, including acting PM Mullah Mohammad Hassan Akhund. "Pentagon officials have remarked that some cabinet members of the Islamic Emirate or family members of the late Haqqani Sahib are on US blacklists and still targets," read a statement issued by the Taliban foreign affairs ministry. "The Islamic Emirate considers this a clear violation of the Doha Agreement, which is neither in the interest of the United States or Afghanistan," it stated, referring to the agreement signed in the Qatari capital. According to the statement, the Haqqani family "is part of the Islamic Emirate and does not have a separate name or organisational setup". "Similarly, in the Doha Agreement all officials of the Islamic Emirate, without any exception, were part of the interaction with the US and should have been removed from the UN and US blacklists, a demand which still remains valid," the statement said. It termed statements by the US and other countries as provocative and accused them of trying to meddle in the internal affairs of Afghanistan. The statement added that Afghanistan "condemns" this in the "strongest terms". "Such remarks by US officials are a repetition of past failed experiments and such positions are detrimental for America," the statement said. "We urge that these incorrect policies be immediately reversed through diplomatic interactions," it said. For the past few years , Kabul airport had been known as Hamid Karzai International Airport. The Taliban have now renamed it Kabul International Airport. On Thursday morning, a Qatar Airways plane had arrived in Kabul carrying aid. In the evening, it departed for Doha with passengers, including a large group of foreigners, on board. During a recent visit to Doha, US secretary of state Antony Blinken had urged the Qatari authorities to help them with evacuations. Hundreds of Afghan citizens who had helped the US military were unable to get out in last month’s US airlift. More than 124,000 foreigners and Afghans fearful of Taliban rule have flown out of the country so far. In a press conference at the airport, Qatari special envoy Mutlaq bin Majed Al Qahtani described Kabul international airport as operational. "This is a historic day in the history of Afghanistan as Kabul airport is fully operational. We have been faced by huge challenges … but we can now say that the airport is fit for navigation," he said. Qatari and Turkish technical teams have helped restore operations at the airport, which was damaged during the chaotic evacuations of tens of thousands of people to meet the US troop withdrawal deadline of August 31. Taliban spokesman Zabihullah Mujahid thanked Qatar for its assistance in making the airport operational and for humanitarian aid to Afghanistan.||http://timesofindia.indiatimes.com//world/south-asia/taliban-say-haqqani-on-us-terror-list-is-violation-of-doha-pact/articleshow/86080451.cms||Omer Farooq Khan
---||World||CIA director discusses Afghan situation, regional security with Pakistan Army, ISI chiefs||ISLAMABAD: The US Central Intelligence Agency director, William Burns, called on Pakistan Army Chief General Qamar Javed Bajwa and ISI chief Lt Gen Faiz Hameed in Rawalpindi on Thursday to discuss the prevailing situation in Afghanistan. Burns’ Islamabad visit came a week after the ISI chief had rushed to Kabul on an unannounced visit where he had met the Taliban leaders days ahead of the formation of a new government there. The Inter Services Public Relations (ISPR), the Pakistan military’s media arm, said that matters of mutual interest, regional security, and the prevailing situation in Afghanistan were discussed at the meeting. "It was reiterated that Pakistan remains committed to cooperate with its international partners for peace in the region and ensuring a stable and prosperous future for the Afghan people," the ISPR said in a statement. Burns, the ISPR said, appreciated Pakistan’s role in Afghanistan, including during successful evacuation operations, and its efforts towards regional stability. Burns also pledged that he would play his role in further improving diplomatic cooperation with Pakistan at all levels, the ISPR said. Burns has been the latest foreign dignitary to meet the Pakistan military brass in recent days. Several foreign officials had visited Pakistan following the Taliban’s takeover of Afghanistan on August 15. On Wednesday, European Union ambassador Androulla Kaminara had met Gen Bajwa. On Monday, the Italian foreign minister had called on the army chief and discussed the current situation in Afghanistan, as well as potential collaboration in ensuring humanitarian assistance for the war-torn country. These meetings were preceded by visits of top diplomats from UK and Germany.||http://timesofindia.indiatimes.com//world/us/cia-director-discusses-afghan-situation-regional-security-with-pakistan-army-isi-chiefs/articleshow/86080789.cms||Omer Farooq Khan
---||World||CIA director discusses Afghan situation, regional security with Pakistan Army, ISI chiefs||ISLAMABAD: The US Central Intelligence Agency director, William Burns, called on Pakistan Army Chief General Qamar Javed Bajwa and ISI chief Lt Gen Faiz Hameed in Rawalpindi on Thursday to discuss the prevailing situation in Afghanistan. Burns’ Islamabad visit came a week after the ISI chief had rushed to Kabul on an unannounced visit where he had met the Taliban leaders days ahead of the formation of a new government there. The Inter Services Public Relations (ISPR), the Pakistan military’s media arm, said that matters of mutual interest, regional security, and the prevailing situation in Afghanistan were discussed at the meeting. "It was reiterated that Pakistan remains committed to cooperate with its international partners for peace in the region and ensuring a stable and prosperous future for the Afghan people," the ISPR said in a statement. Burns, the ISPR said, appreciated Pakistan’s role in Afghanistan, including during successful evacuation operations, and its efforts towards regional stability. Burns also pledged that he would play his role in further improving diplomatic cooperation with Pakistan at all levels, the ISPR said. Burns has been the latest foreign dignitary to meet the Pakistan military brass in recent days. Several foreign officials had visited Pakistan following the Taliban’s takeover of Afghanistan on August 15. On Wednesday, European Union ambassador Androulla Kaminara had met Gen Bajwa. On Monday, the Italian foreign minister had called on the army chief and discussed the current situation in Afghanistan, as well as potential collaboration in ensuring humanitarian assistance for the war-torn country. These meetings were preceded by visits of top diplomats from UK and Germany.||http://timesofindia.indiatimes.com//world/pakistan/cia-director-discusses-afghan-situation-regional-security-with-pakistan-army-isi-chiefs/articleshow/86080845.cms||Omer Farooq Khan
---||Kolkata||Kolkata celebs embrace social life with precaution at a film screening||The fear of pandemic is still there but that could not deter the film buffs of Kolkata from attending the screening of Sohag Sen’s latest film. Hosted by director Aritra Sen and multidisciplinary artiste Sujoy Prosad Chatterjee, the event welcomed both Tollywood celebrities and other dignitaries. Despite the excitement of catching up with each other, the guests were seen with their masks on. “My mask would go off only during photo sessions, not otherwise,” we heard Koneenica Banerjee speaking to one of the guests. “I still fear the possibility of the third wave,” she added. Actress Chandreyee Ghosh was also seen talking to a friend. Looking drop-dead gorgeous in a black dress and red ethnic overlay, Sauraseni Maitra posed happily for the photographers. “I evolved as an artiste and a human being under Sohagdi’s mentorship and to host a screening date with my friends for her directorial work was an absolute honour,” said Sujoy Prosad. The film that talks about personal losses during the pandemic cast a sombre mood. Parambrata Chattopadhyay, who entered the venue post the screening, cheered up the partygoers.||http://timesofindia.indiatimes.com//city/kolkata/kolkata-celebs-embrace-social-life-with-precaution-at-a-film-screening/articleshow/86081283.cms||Shamayita.Chakraborty
---||World||Charter flight with US citizens lands safely in Qatar from Afghanistan: White House||WASHINGTON: A charter flight carrying US citizens and other lawful permanent residents has safely landed in Qatar after leaving Afghanistan with the Taliban's cooperation, the White House's National Security Council said on Thursday, saying such evacuation efforts would continue.  "The Taliban have been cooperative in facilitating the departure of American citizens and lawful permanent residents on charter flights... They have shown flexibility, and they have been businesslike and professional in our dealings with them in this effort. This is a positive first step," NSC spokesperson Emily Horne said in a statement.||http://timesofindia.indiatimes.com//world/middle-east/charter-flight-with-us-citizens-lands-safely-in-qatar-from-afghanistan-white-house/articleshow/86081759.cms||---
