November 6, 2020||Bengaluru||Church Street gets final touches ahead of no-vehicle weekends||It’s a makeover that took over two years, at the end of which the 750-metre stretch of Church Street was a hand-laid granite cobblestone beauty. The new look, of course, made it a hot spot for photo shoots and live musical activity and now, much to the delight of pedestriants, the stretch will be vehicle-free on weekends. Starting November 7, there will be no vehicular movement along Church Street during weekends as part of a five-month Clean Air Street initiative by Directorate of Urban Land Transport (DULT). The decision to make the stretch look and feel like a Parisian street with cafes and restaurants that have tables on the pavements has raised excitement levels among visitors to that side of town. Irfan Noor, secretary, Church Street Occupants Association, says, "This is a good move. We will have to wait for the inauguration and the feedback from the people to see how we can function. This is a good move that should help businesses along the strength, all of which have been through a prolonged dull phase owing to the pandemic. This move might just help revive that and bring people to the street." In the run-up to the initiative, the BT lens spotted workers hurriedly conducting repair works along the entire stretch to ensure everything is right before the street is thrown open to pedestrians.||http://timesofindia.indiatimes.com//city/bengaluru/church-street-gets-final-touches-ahead-of-no-vehicle-weekends/articleshow/79064298.cms||Sunayana Suresh
November 6, 2020||Business||IBM unveils cloud for 5G telcos, gets Nokia and Samsung as partners||STOCKHOLM: International Business Machines Corp on Thursday became the latest US technology company to launch a cloud platform directed at telecom operators deploying 5G and signed up Nokia and Samsung as partners. A cloud platform uses software instead of physical equipment to do network functions, helping telecom operators to build 5G networks faster, reduce costs and sell customised services to business clients. The US government has been pushing big US companies to get more involved with 5G - a technology which promises to enable everything from self-driving cars to remote surgery and more automated manufacturing. Companies such as Microsoft and Amazon have launched their own cloud platforms targeting telecom operators. Collaboration, not competition, is the way forward as customers will consume from more than one cloud service provider, be it Amazon or Microsoft, Howard Boville, IBM’s senior vice president for Hybrid Cloud, told Reuters. IBM will supply services to its telecom partners to run their networks and also to assist them in selling custom products to their customers, he said. Under its new chief executive Arvind Krishna, 109-year-old company is splitting itself into two public companies to focus on high-margin cloud computing business. Before becoming CEO in April, Krishna was heading IBM’s cloud business and was the key architect behind its $34 billion acquisition of cloud company Red Hat last year. IBM’s cloud for telecom is built using technology from Red Hat and has signed up 35 partners, including network equipment suppliers and software vendors to build an ecosystem. The pandemic has accelerated the desire for every company, not just telcos, for digital transformation and there has been a massive uptick to this approach, Boville said. More than a dozen clients are already testing its new telco cloud.||http://timesofindia.indiatimes.com//business/international-business/ibm-unveils-cloud-for-5g-telcos-gets-nokia-and-samsung-as-partners/articleshow/79068959.cms||---
November 6, 2020||Business||Samsung consumer electronics sales boosted by India's festive season||NEW DELHI: Samsung Electronics Co is seeing a big surge in consumer appliance sales during India’s festive season, a senior company executive said, helped by pent-up demand following a nationwide lockdown to battle the coronavirus pandemic. A slew of new launches across categories like televisions, refrigerators, and washing machines as well as financing schemes have buoyed sales, said Raju Pullan, senior vice president for consumer electronics at Samsung India. “We’re seeing 32% growth (year-on-year) across televisions, refrigerators, washing machines and microwaves,” Pullan told Reuters on Thursday. The demand uptick is good news for the Indian economy, which contracted by 23.9% in April-June during a stringent lockdown to slow the spread of the pandemic. Indians typically make big-ticket purchases of everything from gold to cars and electronics during the country’s festive season, which typically begins around October and lasts until the end of the year. While the value of overall sales last month was much higher in cities like Delhi and Mumbai, sales growth in smaller towns outpaced the bigger cities, Pullan said. Samsung also witnessed a shift in consumer behaviour with growing purchases of pricey, high-end televisions. “Consumers are spending more time at home, and are not able to venture out for entertainment,” said Pullan. “That’s leading to some quality purchases.” As India’s coronavirus infections reach 8.36 million, people are being cautious in stepping out for daily purchases. That has also boosted sales of large-capacity refrigerators for Samsung, Pullan said. Samsung’s overall consumer electronics sales grew an annual 20% in Aug-Sept after India’s economy began opening up, Pullan said, declining to comment whether sales in the second half of the year would be enough to bridge the shortfall during the lockdown period.||http://timesofindia.indiatimes.com//business/india-business/samsung-consumer-electronics-sales-boosted-by-indias-festive-season/articleshow/79069149.cms||---
November 6, 2020||Business||IOC director A K Singh to head Petronet LNG||NEW DELHI: IndianOil director (pipelines) Akshay Kumar Singh will head India’s largest gas importing company, Petronet LNG, sources close to the company’s board-appointed selection committee said. Singh will succeed Prabhat Singh, who completed his 5-year term in September but did not get extension for two years that he was eligible for. In March, the oil ministry told Parliament in a written reply it had received several allegations of alleged corruption/irregularities against Prabhat Singh. This will mark Singh’s return to the gas business as he was executive director in state-run gas utility GAIL before joining the IndianOil board in 2018 as in charge of the company’s substantial pipeline network. A mechanical engineer from MIT, Muzaffarpur (Bihar) and a post-graduate in turbomachinery from South Gujarat University, Singh has about 34 years of experience in the oil and gas industry. At IndianOil, Singh red-flagged a move to hive off the company’s vast network of pipelines and storage depots, a vital infrastructure that gave India’s largest fuel refiner and retailer an edge in the market. At Petronet, his primary challenge will be tackling the pricing conundrum of long-term contracts in the backdrop of falling spot prices. Singh has experience in executing challenging, complex and large-size cross-country pipeline networks. He is also experienced in design engineering, planning, execution and operation of hydrocarbon pipeline systems and process plants. Petronet is a private company floated by state-run oil majors GAIL, IOC, ONGC and BPCL. All of the promoters hold 12.5 per cent equity stake each. Chairmen of promoter PSUs are normally the nominee director on the Petronet board, while the petroleum secretary is the ex-officio chairman.||http://timesofindia.indiatimes.com//business/india-business/ioc-director-a-k-singh-to-head-petronet-lng/articleshow/79069492.cms||Sanjay Dutta
November 6, 2020||Mumbai||Mumbaikars, keep your masks on||We are in Unlock 5 mode with restrictions easing in many ways, but the one thing that has not and will not change is the COVID-19 safety mandate — of wearing a mask. Yet, this is precisely the one thing that people are forgetting to wear in so many places Mumbai. With Maharashtra being the only state in the world to have crossed the ‘1 million COVID-19 count’ and Mumbai and Pune among the worst-hit cities, healthcare experts have constantly sent out warnings of wearing a mask a number of times. Bollywood celebs have also spoken up time and again on the subject, with the latest being Kareena Kapoor Khan, who shared her photo in a mask from a plane with the words: “Mask pehniye aur bahar dekhiye.” Prime Minister Narendra Modi, too has sent out a caution slogan, “ Jab tak dawai nahi, tab tak dhilai nahi. Do gaj ki doori, mask hai zaroori.” Yet mask-compliance levels in the city are still low, and clearly, a cause for concern. City gets ‘marshals’ to catch violators, first FIR for not wearing a maskViolators have to pay a penalty of Rs 200 for not wearing a mask With mask wearing becoming a cause of worry, the Brihanmumbai Municipal Corporation (BMC) kickstarted an aggressive face-mask drive to pull up offenders. They appointed a team of marshals to keep an eye on the general public and penalise those not following the rules. Each ward has 10-15 officials to collect fines and those without a mask were fined `200. BMC commissioner Iqbal Chahal also announced a ‘No Mask No Entry’ rule to any place or means of transport in the city. Recently, the BMC also registered an FIR, a first of its kind, against a 28-year-old resident of Govandi for going mask-less. He was reportedly booked under relevant sections of the IPC and the Epidemic Diseases Act. Many still go maskless at the seafront, in parks and busy marketsPeople spotted without masks in a parkA drive or a walk around the city will reveal to you people passing each other without masks or with those that just hang sloppily under the nose or the chin. What’s worse, these things are happening Mumbai’s busiest areas — like the markets, open-air gyms, seafront promenades and more. Says Ashok Gupta, vice-president, Marine Drive Citizens Association (MDCA) and a daily walker at the Marine Drive promenade, “I haven’t been able to walk at the promenade at Marine Drive since March. I’ve hardly stepped out of my building for the fear of people not adhering to the rule of wearing a mask. And this has been even more evident in recent weeks. People have become lax as they feel that coronavirus is on the way out. It’s like they just don’t get the seriousness of the issue. We ourselves do check people, but how many people can we stop and explain the risk to? Sometimes, it’s not even taken in the right spirit.” People can also be seen taking selfies at popular hotspots without masks. Bandra resident, actress Shazahn Padamsee adds, “I used to step out to pick up things and take a stroll, but that has become worrisome of late as people are just not wearing a mask. All one can do is to double up the safety levels on an individual basis. I always wear a mask and find that it’s totally irresponsible not to do so.” ‘Natural to feel mask fatigue, but a mask is also essential’The excuses given by people not wearing masks usually range from ‘I can’t breathe’ to ‘The straps hurt my ears’ and ‘I’m not walking with anyone next to me’. “You must mask up; it is absolutely stupid to not do that,” says Dr Behram Pardiwala, internal medicine expert, adding, “It is natural to feel fatigued after all these months, but a mask is essential. It’s been found that risk of infection or transmission when wearing a mask was 3% versus 17% without a mask. Also, change it frequently depending on the kind of mask you have. Don’t lose vigilance when it comes to safety efforts.” BMC TAKES ACTIONAs per the BMC rules for COVID-19 prevention, those without masks will be prohibited entry into malls, shops, restaurants, offices, buses, taxis and rickshaws. Those seen on the street without masks have to pay a fine of `200. “We don’t want action to be punitive, but an opportunity to educate people about the need to wear a face mask when outdoors,” said additional municipal commissioner Suresh Kakani. Celebs add to the voice of caution These B-Towners have been stressing on the importance of a mask on social media: Kareena Kapoor Khan shared an image on Instagram in a face mask Kareena Kapoor Khan Ajay Devgn Abhishek Bachchan  Anupam Kher  Malaika Arora  Sonakshi Sinha  Shreya Ghoshal||http://timesofindia.indiatimes.com//city/mumbai/mumbaikars-keep-your-masks-on/articleshow/79065172.cms||Ismat Tahseen
November 6, 2020||Delhi||Delhiites plan Diwali vacations to the hills to avoid pollution||Thick haze, ‘very poor’ air quality, which is only expected to get worse in coming weeks and during Diwali holidays – Delhiites and residents of neighbouring cities in NCR have been literally left gasping for breath recently. To escape from the city’s toxic air, Delhiites are opting for trips, especially in nearby hill stations, during Diwali. Many of those who were already holidaying, have decided to extend their stays so that they can spend the festival away from NCR’s bad air. And with a number of people working from home, taking extended leave from work is no longer a prerequisite for staying out of town. “As the festive season commenced across the country, we began noticing a significant uptick in travel bookings. As Diwali approaches, we are witnessing a week-on-week increase in flight bookings – currently, our data indicates a 20% jump in bookings for Diwali on dates between November 6 to 16,” says Vipul Prakash, Chief Operating Officer, MakeMyTrip, in a statement. Neha Pranay Nath, Director, RN Tour and Travels, adds that “most popular places and homestays in Uttarakhand and Himachal are already booked and we are getting queries each day. Considering that most people are still working from home, getting back to work is no more a hassle. Most bookings are for a week or more,” she says. ‘For people with breathing problems, this is the worst time to be in Delhi, so staying away’For some travellers, vacation plans were being explored for some time, but worsening air quality in NCR proved to be the push for traveling this month. Anindita Vohra, a corporate employee and a resident of Sohna Road, Gurgaon, says, “We have been planning a trip with a friend’s family at a homestay near Nainital. We had earlier planned to leave soon after doing Diwali puja. But the worsening air quality in NCR is already making my daughter, who is asthmatic, sick. Even last year, we went for a vacation on Diwali to escape pollution. This year, we don’t have to plan as per school or office holidays, so we thought it is better to leave now and we plan to return by the end of this month. We are thinking of leaving this weekend,” she says. Many Delhiites have booked homestays in Nainital during DiwaliLike Anindita’s daughter, there are others too who are suffering from breathing problems and don’t want to take any risk. “Every year, we get reports of Delhi’s AQI peaking to alarming levels, especially on Diwali. Last year, I had a bad cough and my eyes were watering. Then only I had decided that I won’t be staying in NCR on Diwali in 2020. I’ll be driving to the hills next week and return after 20 days. This is the worst time for people with breathing problems to stay in Delhi,” says Sanjiv Bhatt, a resident of Model Town. An evergreen holiday destination for Delhiites, Shimla has been getting a number of tourists from NCR recently, looking to escape bad air‘No family obligations on Diwali due to COVID, so extending my stay in the hills’There are some people who are already on workcations and have decided to extend their vacation after reading reports about poor air quality in Delhi. Pratibha Kakkar, a resident of RK Puram who stays by herself, is in Shimla and was planning to return next week. “But after reading reports of NCR’s poor air quality, I thought there’s no point returning for Diwali as we will have to be at home anyway. Due to the pandemic, there is no obligation to visit relatives or friends this Diwali. The best thing to do, I realised, is to extend my vacation and keep working from here,” she says. Sidhant Arora, a resident of Sector 90 in Gurgaon, is in Dehradun with his family and has decided to return after Diwali “to avoid smog and pollution”. Around 250km from Delhi, Dehradun is a popular choice for NCR residents planning trips and workcations around this time of the year||http://timesofindia.indiatimes.com//city/delhi/delhiites-plan-diwali-vacations-to-the-hills-to-avoid-pollution/articleshow/79062489.cms||Divya Kaushik
November 6, 2020||Varanasi||Banarasis pedal for a healthy lifestyle||To spread the message of a healthy lifestyle, a Cycle For Change Challenge was organised under the aegis of Smart City (Varanasi) Project in association with Institute For Transportation and Development Policy (ITDP) and Fit India movement. People from various walks of life participated in the event, right from bureaucrats, sportsperson to homemakers. (L) Kunal Kasawani (R) Amit (BCCL/ Arvind Kumar)(L) Kunal Kasawani (R) Amit (BCCL/ Arvind Kumar)  Enjoying the early morning ride, the cyclists started from Covid-19 war room, in the Sigra area. The enthusiasts rode through Maldhaiya, Andharapul, Nehru Park, Cantonment area and back to Sigra. (L) Pawan Kumar (R) Neelu Mishra (BCCL/ Arvind Kumar)(L) Pawan Kumar (R) Neelu Mishra (BCCL/ Arvind Kumar) Pawan Kumar, a bureaucrat said, “Cycling is the best way to relive your childhood and also keep yourself fit.” (L) Rakesh (R) Sunil Singh (BCCL/ Arvind Kumar)(L) Rakesh (R) Sunil Singh (BCCL/ Arvind Kumar) Sportsperson Neelu Mishra, said, “The idea behind this event is to raise awareness about incorporating bicycles in our lifestyle. It not only keeps us fit but also helps in controlling the pollution level.” (L) Vinita (R) Yogesh and Sahana (BCCL/ Arvind Kumar)(L) Vinita (R) Yogesh and Sahana (BCCL/ Arvind Kumar)||http://timesofindia.indiatimes.com//city/varanasi/banarasis-pedal-for-a-healthy-lifestyle/articleshow/79062852.cms||Meera Vohra
November 6, 2020||Mumbai||Arnab Goswami case: Revival of probe forms crux of high court case||MUMBAI: A case closed by police and legal issues pertaining to its reopening will be the crux of the arguments before the Bombay high court when it hears the interim bail plea of Arnab Goswami on Friday.  The Alibaug magistrate’s court which heard the plea against custody by Goswami and two others on Wednesday noted that on April 16 last year, the court had accepted the closure report submitted by the police. Read AlsoAnway Naik suicide case: Arnab Goswami gave statement in Mumbai, says Maharashtra ministerMUMBAI: The intervention of a senior cabinet member in the previous government made it possible for Republic TV’s editor-in-chief Arnab Goswami to record his statement in the suicide abetment case in Mumbai instead of Raigad, said state home minister Anil Deshmukh. Goswami’s statement in the case While remanding Goswami to judicial custody, the order said the objections raised by the trio against police custody and arrest appear to be premised on the ground that their arrest itself is illegal. The magistrate said in the absence of ‘cogent evidence’ no legal ground is made out to grant police custody as “nothing is recovered from the arrested accused.” Read AlsoMake wife of man who ended life a party to case, Bombay HC tells Arnab GoswamiArnab Goswami, editor-in-chief of Republic TV, had to spend his second night in custody as the Bombay high court on Thursday granted him no relief but posted his urgent plea for interim release to 3pm on Friday. The closure report was in relation to the probe of abetment to the suicides of Anvay Naik, 53, and his mother Kumud. The incident happened in May 2018 and police had registered a case based on a suicide note recovered from their bungalow in Alibaug. Read AlsoArnab Goswami arrest: 'Anvay Naik a son of the soil, cops following law'MUMBAI: Shiv Sena on Thursday slammed BJP for supporting Republic TV editor-in-chief Arnab Goswami and calling his arrest in a 2018 abetment to suicide case an “Emergency-like situation” and “an attack on the freedom of the press.” An editorial in its mouthpiece ‘Saamana’ said the Fadnavis Both were directors in an architect firm and it was alleged they ended their lives because Goswami and two other businessmen did not clear their dues totalling Rs 5.4 crore.  The police submitted a closure report under an ‘A’ summary which means the case was classified as true but undetected. Once the report is submitted, it is for the magistrate’s court to decide to accept or reject the report. Read AlsoMumbai: Magistrate told Arnab Goswami to ‘maintain decorum’The chief magistrate of the Alibaug court on Wednesday evening told Republic TV editor-in-chief Arnab Goswami to maintain decorum, “behave like an accused” and not interrupt the proceedings. The prosecutor told the magistrate’s court on Wednesday that on a fresh complaint made by the widow of the deceased, the probe was revived and 28 witnesses issued notice; of these, 17 have appeared before the police and their statements recorded. Read AlsoArnab Goswami arrest: Maharashtra home dept set up 40-member team to carry out ‘Operation Arnab’The state home department led by NCP’s Anil Deshmukh drafted a high-level 40-member team led by Kokan range inspector general Sanjay Mohite to arrest Arnab Goswami in the 2018 suicide abetment case. Police also relied on a letter written on October 15 to the Alibaug court intimating that a final closure report was submitted earlier to the magistrate but it was carrying out further investigation under provisions of the Criminal Procedure Code. The noting on the letter says it’s been ‘seen and filed’ on October 16. Read AlsoArnab Goswami arrest: Arguments to focus on ‘closure report’ in Anvay Naik caseThe arguments before the Bombay HC today are likely to focus on the ‘closure report’ in Anvay Naik’s suicide case. While the prosecutor told the magistrate’s court on Wednesday that the probe was revived on a fresh complaint made by the widow of the deceased, Goswami’s lawyer said, “rightly or Goswami’s lawyer Aabad Ponda, however, told the Bombay high court on Thursday that the noting is not a court order. He said, “rightly or wrongly, the case was closed’’ and cannot be reopened without a court “nod”. The October 15 letter by the police “does not tell the court’’ that the magistrate has accepted the closure report on April 16, 2019, he said. The legal issue raised before the HC now is whether “this error” can be rectified by the police without approaching a court when the case remains closed. Ponda relied on a 2019 Supreme Court ruling which said “whether further investigation should or should not be ordered is within the discretion of the magistrate.’’ Lawyer Manoj Taneja from Delhi said, “strictly legally speaking on aspects of the law’’, several SC rulings make it clear that police are empowered to undertake further investigations under 173(8) CrPC even when a closure report filed earlier has been accepted. “If some more relevant and tangible evidence surfaces thereafter, as per law it is the bounden duty of the police to further investigate the case,’’ he said adding, “Section 173(8) CrPC nowhere says that necessary permission or an order of court is required before undertaking further investigations.”||http://timesofindia.indiatimes.com//city/mumbai/goswami-case-revival-of-probe-forms-crux-of-hc-case/articleshow/79070880.cms||Swati Deshpande
November 6, 2020||Business||SAT upholds Sebi order against RIL in ’07 insider trading case||MUMBAI: The Securities Appellate Tribunal (SAT) on Thursday dismissed an appeal by Reliance Industries (RIL) challenging a Sebi order in connection with its sale of Reliance Petroleum (RPL) shares in November 2007. SAT, in a 2:1 majority order, also upheld Sebi’s decision directing RIL to disgorge Rs 447 crore with an annual interest of 12% since 2007. The tribunal has given RIL 60 days to pay the penalty. RIL, the company controlled by India’s richest man Mukesh Ambani, said it will “prefer an appeal to the Supreme Court” against the SAT verdict. “All trades carried out by the company were genuine and bona fide. No irregularity can be attached to these transactions,” RIL said on Thursday. Three years ago, markets regulator Sebi in an order said that RIL had made unlawful gains from the sale of its 5% stake in RPL in 2007. It observed that RIL, through 12 entities, took separate positions in the November 2007 stock futures of RPL. While the 12 entities earned commissions, all profits and losses were transferred to RIL’s account. RIL subsequently merged RPL into itself in 2009. Sebi had also barred RIL and the 12 entities from dealing in equity derivatives in the F&O segments of the market for one year. The SAT order, however, said since “the period of restraint” had already run its course, hence RIL’s appeal was “confined to the question as to whether the imposition of disgorgement…was justified or not”. Of the three members at the tribunal, presiding officer justice Tarun Agarwala said that the Sebi order should be set aside, while members C K G Nair and justice M T Joshi agreed with the Sebi order against RIL.||http://timesofindia.indiatimes.com//business/india-business/sat-upholds-sebi-order-against-ril-in-07-insider-trading-case/articleshow/79070901.cms||Reeba Zachariah
November 6, 2020||World||US Election Results: Why Biden saw big surge in Georgia but not in Arizona||Why has Georgia seen such a dramatic turnaround with Joe Biden, at one point trailing by well over 1 lakh votes, closing the gap to barely 18,000 and threatening to overtake Donald Trump? The answer lies in the enormous lead Biden had in absentee mail ballots and the fact that these were the ones being counted towards the end of the process. As per latest results on the Georgia state department’s website, Trump dominated the votes cast on polling day, with a 60% share to Biden’s 38% (see graphic below). He also had a lead in early voting done in-person, though not by as much. However, the mail ballots were decisively in favour of Biden, who had thus far picked up 64% of those counted. With much of the remaining votes being mail ballots, Democrats and independent analysts see Biden with a very real chance of finishing the winner in the state. Follow live updates: US election resultsA similar trend is evident in North Carolina as well, with Trump winning nearly 66% of election day votes and a smaller majority of early in-person votes (called absentee one-stop votes in that state), but Biden winning over 68% of mail-in ballots. However, Trump’s lead may be just a little too much for Biden to erase here. All anecdotal evidence suggests a similar trend in Pennsylvania, but a break-up of votes by type could not be obtained for the state. US elections 2020: Complete coverageIn Arizona, in contrast, the race hasn’t moved further and further in Biden’s direction as counting has progressed. This too can be understood by looking at the break-up for different types of votes. Unlike in these other states, in Arizona Biden does not have a commanding lead in early voting. The state does not provide a break-up of results by mail-in and in-person early voting, but in early voting as a whole, Biden had a relatively smaller edge over Trump (53% to 46%). That means it is not necessary his lead will keep increasing or even be maintained as more and more mail-in votes get counted.||http://timesofindia.indiatimes.com//world/us/us-presidential-elections/why-biden-saw-big-surge-in-georgia-but-not-in-arizona/articleshow/79071099.cms||Shankar Raghuraman
November 6, 2020||Business||WhatsApp Pay finally gets nod to launch with 20 million users||BENGALURU: After being stuck in beta mode for over two-and-a-half years, popular messaging platform WhatsApp has got the regulatory approval to launch on Unified Payments Interface (UPI) in a ‘graded manner’ where it can expand to maximum 20 million users initially. So far, it was restricted to 1 million users since February 2018. The significant development came on a day when National Payments Corporation of India (NPCI), which manages UPI, also said it will implement a 30% cap on total payment volumes through a single third party payments app from January 1, 2021. For existing third-party apps on UPI, they will get two years to comply till January 2023. For WhatsApp and other future apps on UPI, this will apply from next January. WhatsApp, which has 400 million monthly active users in India, was expected to corner up a significant chunk of users on UPI given its popularity. A senior banker said the payment volume cap is to ensure no one single player ends up with “most of the market share”. “Based on how WhatsApp Pay does over the next two-three months, it would be decided if their user base can be expanded further,” this person added. As of now, Google Pay and Walmart-owned PhonePe are the UPI leaders who each control nearly 40% share on UPI, as of October. WhatsApp’s entry has long been feared by rivals like Google Pay, PhonePe, Paytm and others as it can change industry dynamics. Both the announcements have come right after UPI just clocked 2 billion transactions in a single month for the first time last month. NPCI said WhatsApp can launch on UPI in the multi-bank model while its payments volume cap of 30% will ‘help to address the risks and protect the UPI ecosystem as it further scales up’. Industry players have been averse to this idea. In fact, PhonePe co-founder and CEO Sameer Nigam told TOI in September that the idea wasn’t good and why would anyone invest if their leadership is ‘punished’. For Facebook-owned WhatsApp, getting the final nod has not been easy. While regulators weren’t happy with its data localisation compliance initially, it also faced at least two legal challenges in the Supreme Court where petitions sought its entry blocked in digital payments. In July, TOI reported, quoting an NPCI letter to RBI that was sent in June, which confirmed WhatsApp’s data localisation compliance to the banking regulator. But the approval was not given then. “The only player which may get hit immediately with this market share cap is WhatsApp because they are the new player. One fear was that WhatsApp will walk away with the entire market and this is a middle ground to pave the way for their launch,” said Deepak Abbot, a payments industry veteran and co-founder of fintech startup Indiagold. He also added that implementing a market share cap for companies will be another challenge as they may have to implement user-level or an hourly cap on transactions, which will hit customer experience. “But how will players know if they have hit the 30% cap will be the questions as they don’t know exactly how many transactions their rivals are doing at a given point of time,” he added. The banker quoted above said NPCI is expected to issue further guidelines over the next 30-45 days over the implementation so consumer experience is not hit. “The cap of 30% will be calculated basis the total volume of transactions processed in UPI during the preceding three months (on a rolling basis),” NPCI circular added. A WhatsApp spokesperson did not immediately comment on the regulatory nod. Spokespersons of Google Pay, PhonePe and Paytm did not offer a comment on market share cap either. Watch WhatsApp finally gets regulatory nod to launch UPI||http://timesofindia.indiatimes.com//business/india-business/whatsapp-pay-finally-gets-nod-to-launch-with-20-million-users/articleshow/79071913.cms||Digbijay Mishra
