,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1307690328967708672,1307690328967708672,1600612644000.0,2020-09-20 20:07:24,+0530,,"Indian opposition’s protests over the farm bill are insincere and hypocritical. They should’ve united farm groups and taken to the streets soon after the ordinance was passed as far back as June, or at least after the lockdown was lifted. Now they’re just posturing, to save face.",en,[],[],196500134,196500134,PatrakaarPopat,Aman Malik,7,20,https://twitter.com/PatrakaarPopat/status/1307690328967708672,[],[],0,,False,6,1,0,,farm ordinance,,,,,,,[],,,,
1,1307661835756122112,1307661835756122112,1600605851000.0,2020-09-20 18:14:11,+0530,,Modi thinks he can dismantle democracy has never met an institution that he has not wanted to destroy. The farm bills forced on Parliament will meet the fate of his land acquisition ordinance,en,[],[],89732309,89732309,bainjal,Swati Chaturvedi,7,18,https://twitter.com/bainjal/status/1307661835756122112,[],[],0,,False,472,0,141,,farm ordinance,,,,,,,[],,,,
2,1307636378868482048,1307636378868482048,1600599782000.0,2020-09-20 16:33:02,+0530,,"PM @narendramodi Govt has brought The Farmers Agreement on Price Assurance and Farm Services Ordinance, 2020 to empower Our Farmers &amp; bring prosperity in their lives.  Why is @INCIndia opposing this move that will transform Agriculture and Farmers' lives?  #CONgressAgainstFarmers  https://t.co/VHCgtd1B1J",en,['congressagainstfarmers'],[],25123615,25123615,BJP4Karnataka,BJP Karnataka,7,16,https://twitter.com/BJP4Karnataka/status/1307636378868482048,[],['https://pbs.twimg.com/media/EiWoVrKUcAAKo6x.jpg'],1,https://pbs.twimg.com/media/EiWoVrKUcAAKo6x.jpg,False,46,2,7,,farm ordinance,,,,,,,[],,,,
3,1307628156719833088,1307628156719833088,1600597821000.0,2020-09-20 16:00:21,+0530,,In Lok Sabha and Raj Sabha @AamAadmiParty  Stands  with the Farmers @BhagwantMann  and @SanjayAzadSln  Both Given their Full Efforts Against the Farm Ordinance #AAP_With_Farmers #AAP_Kisaan_Ke_Sath #IStandWithFarmers  https://t.co/neaZ3h3pan,en,"['aap_with_farmers', 'aap_kisaan_ke_sath', 'istandwithfarmers']",[],278986098,278986098,komalbela,Komal Bela,7,16,https://twitter.com/komalbela/status/1307628156719833088,[],"['https://pbs.twimg.com/media/EiWg4IkUMAE9v0S.jpg', 'https://pbs.twimg.com/media/EiWg4QjU4AE1AgJ.jpg']",1,https://pbs.twimg.com/media/EiWg4IkUMAE9v0S.jpg,False,50,1,32,,farm ordinance,,,,,,,[],,,,
4,1307598181060886528,1307598181060886528,1600590675000.0,2020-09-20 14:01:15,+0530,,The controversial farm bills rammed through by the Modi government will boomerang the same way that the land acquisition ordinance did. The arrogance &amp; contempt Modi has for Parliament is surreal,en,[],[],89732309,89732309,bainjal,Swati Chaturvedi,7,14,https://twitter.com/bainjal/status/1307598181060886528,[],[],0,,False,342,0,76,,farm ordinance,,,,,,,[],,,,
5,1307549424801861633,1307549424801861633,1600579050000.0,2020-09-20 10:47:30,+0530,,𝗙𝗮𝗿𝗺𝗲𝗿𝘀 : Modi committed to doubling the farmers Income but In last 6 years Figure shows that more than 10 farmers suicides daily !   New farm ordinance will directly attack the farmers and will force them to take to no mans land - Suicide !!   #KisanVirodhiNarendraModi  https://t.co/Yk12zvCHWk,en,['kisanvirodhinarendramodi'],[],3286501752,3286501752,DelhiPYC,Delhi Youth Congress,7,10,https://twitter.com/DelhiPYC/status/1307549424801861633,[],['https://pbs.twimg.com/media/EiVZRWwVoAEewzd.jpg'],1,https://pbs.twimg.com/media/EiVZRWwVoAEewzd.jpg,False,9,0,11,,farm ordinance,,,,,,,[],,,,
6,1307546942612758529,1307546942612758529,1600578458000.0,2020-09-20 10:37:38,+0530,,𝗙𝗮𝗿𝗺𝗲𝗿𝘀 : Modi committed to doubling the farmers Income but In last 6 years Figure shows that more than 10 farmers suicides daily !   New farm ordinance will directly attack the farmers and will force them to take to no mans land - Suicide !!   #KisanVirodhiNarendraModi  https://t.co/kykQqM4ks4,en,['kisanvirodhinarendramodi'],[],4156671613,4156671613,IYCOdisha,Odisha Youth Congress,7,10,https://twitter.com/IYCOdisha/status/1307546942612758529,[],['https://pbs.twimg.com/media/EiVXA6WUMAMxT5X.jpg'],1,https://pbs.twimg.com/media/EiVXA6WUMAMxT5X.jpg,False,95,1,62,,farm ordinance,,,,,,,[],,,,
7,1307536128258396160,1307536128258396160,1600575880000.0,2020-09-20 09:54:40,+0530,,Farmer's Bill will give nationwide market to farm produce.  Farmers can demand better prices for their produce as they are directly seeking them out to buyers.  Karnataka has successfully implemented this ordinance under the leadership of CM Sri @BSYBJP @AgriGoI @nstomar @PRupala  https://t.co/ecLnlVqLpQ,en,[],[],961873514,961873514,BYRBJP,B Y Raghavendra,7,09,https://twitter.com/BYRBJP/status/1307536128258396160,[],['https://pbs.twimg.com/media/EiVNLGcUMAEO_ZB.jpg'],1,https://pbs.twimg.com/media/EiVNLGcUMAEO_ZB.jpg,False,86,2,10,,farm ordinance,,,,,,,[],,,,
8,1307511098229182466,1307510384857722880,1600569912000.0,2020-09-20 08:15:12,+0530,,Farm Ordinance Bill in #RajyaSabha where who stands.. Against @INCIndia @AITCofficial @arivalayam  @Akali_Dal_  @trspartyonline  @ShivSena  @AamAadmiParty  @RJDforIndia  Independent Smaller parties,en,['rajyasabha'],[],104473820,104473820,payalmehta100,Payal Mehta/પાયલ મેહતા/ पायल मेहता/   পাযেল মেহতা,7,08,https://twitter.com/payalmehta100/status/1307511098229182466,[],[],0,,False,10,2,4,,farm ordinance,,,,,,,[],,,,
9,1307510384857722880,1307510384857722880,1600569742000.0,2020-09-20 08:12:22,+0530,,Farm Ordinance Bill in #RajyaSabha where who stands Support: @BJP4India  JDU @bjd_odisha  @YSRCParty  @JaiTDP  @AIADMKOfficial  Independent Nominated ++ Smaller parties,en,['rajyasabha'],[],104473820,104473820,payalmehta100,Payal Mehta/પાયલ મેહતા/ पायल मेहता/   পাযেল মেহতা,7,08,https://twitter.com/payalmehta100/status/1307510384857722880,[],[],0,,False,23,2,7,,farm ordinance,,,,,,,[],,,,
10,1307486008238243841,1307486008238243841,1600563930000.0,2020-09-20 06:35:30,+0530,,Today in #RajyaSabha @BJP4India has issued a whip to all its MPs to remain present for passing both Farm Ordinance Bill @BJPShivPShukla  #MonsoonSession,en,"['rajyasabha', 'monsoonsession']",[],104473820,104473820,payalmehta100,Payal Mehta/પાયલ મેહતા/ पायल मेहता/   পাযেল মেহতা,7,06,https://twitter.com/payalmehta100/status/1307486008238243841,[],[],0,,False,24,1,4,,farm ordinance,,,,,,,[],,,,
