,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1337880116748316675,1337880116748316675,1607810451000.0,2020-12-13 03:30:51,+0530,,Anytime Now   RIGHTS 🟠  #IStandWithFarmers #kisanandolan #KisaanMajdoorEktaZindabad #FarmersProtests #Nofarmernofood #Farmers  https://t.co/LbEe0tg7ZT,en,"['istandwithfarmers', 'kisanandolan', 'kisaanmajdoorektazindabad', 'farmersprotests', 'nofarmernofood', 'farmers']",[],144399684,144399684,BupsSaggu,Bups Saggu #LORD,7,03,https://twitter.com/BupsSaggu/status/1337880116748316675,[],['https://pbs.twimg.com/media/EpEa4BuW8AkqFI0.jpg'],1,https://pbs.twimg.com/media/EpEa4BuW8AkqFI0.jpg,False,10,1,2,,#istandwithfarmers,,,,,,,[],,,,
1,1337828258373627906,1337828258373627906,1607798087000.0,2020-12-13 00:04:47,+0530,,Rally last Sunday #kisaan #kisaanzindabaad #kisaanmajdoorektazindabaad #kisaanmovement #punjab #farmers #farmersprotest #istandwithfarmers #isupportfarmers #petervirdee  https://t.co/fZZ7ntajpy,en,"['kisaan', 'kisaanzindabaad', 'kisaanmajdoorektazindabaad', 'kisaanmovement', 'punjab', 'farmers', 'farmersprotest', 'istandwithfarmers', 'isupportfarmers', 'petervirdee']",[],61180004,61180004,petervirdee,Prof Peter Virdee,7,00,https://twitter.com/petervirdee/status/1337828258373627906,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1337828114215415817/pu/img/1KG_-gLseA8D6kAS.jpg,False,1939,52,170,,#istandwithfarmers,,,,,,,[],,,,
2,1337805627205234688,1337805627205234688,1607792691000.0,2020-12-12 22:34:51,+0530,,"Vehicles whose drivers are preparing to caravan into Washington, DC and rally at the Indian Embassy this morning. Please keep sharing your photos! #FarmersProtest #IStandWithFarmers  https://t.co/3C8lrdJTQ0",en,"['farmersprotest', 'istandwithfarmers']",[],316671079,316671079,sikh_coalition,Sikh Coalition,6,22,https://twitter.com/sikh_coalition/status/1337805627205234688,[],"['https://pbs.twimg.com/media/EpDXFfyXUAA_Avv.jpg', 'https://pbs.twimg.com/media/EpDXFf2WMAEC-SJ.jpg', 'https://pbs.twimg.com/media/EpDXFf1WEAYOKc7.jpg', 'https://pbs.twimg.com/media/EpDXFf4W4AAPERi.jpg']",1,https://pbs.twimg.com/media/EpDXFfyXUAA_Avv.jpg,False,45,1,12,,#istandwithfarmers,,,,,,,[],,,,
3,1337742326916112385,1337742326916112385,1607777599000.0,2020-12-12 18:23:19,+0530,,Absolutely love this picture. Restoring faith in humanity. #Unity 🙏❤️ #istandwithfarmers #FarmersProtests  https://t.co/dotl0BROhb,en,"['unity', 'istandwithfarmers', 'farmersprotests']",[],368574724,368574724,TazzzArtist,TaZzZ,6,18,https://twitter.com/TazzzArtist/status/1337742326916112385,[],['https://pbs.twimg.com/media/EpCdjfXW8AcVgyH.jpg'],1,https://pbs.twimg.com/media/EpCdjfXW8AcVgyH.jpg,False,27,2,2,,#istandwithfarmers,,,,,,,[],,,,
4,1337737052343824385,1337737052343824385,1607776341000.0,2020-12-12 18:02:21,+0530,,"12 Dec 2020, Shri Lalji Desai, President of All India Congress Seva dal, along with Delhi, NCR, Haryana Congress Seva Dal team protesting in support of Farmers agitating at Delhi Tekri border. #DeshKiShaanHaiKisan #IStandWithFarmers  @LaljiDesaiG @RahulGandhi @INCIndia  https://t.co/6iREdP6MfM",tl,"['deshkishaanhaikisan', 'istandwithfarmers']",[],1059503182727053313,1059503182727053313,SevadalMH,Maharashtra Pradesh Congress Sevadal,6,18,https://twitter.com/SevadalMH/status/1337737052343824385,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1337736848559378434/pu/img/yikwW8P3vd-8DHAW.jpg,False,12,0,11,,#istandwithfarmers,,,,,,,[],,,,
5,1337736174060924930,1337736174060924930,1607776132000.0,2020-12-12 17:58:52,+0530,,#RIGHTS  ANYTIME NOW 🟠  #IStandWithFarmers #FarmersProtests #kisanandolan #KisaanMajdoorEktaZindabad #NoFarmersNoFood  https://t.co/eEI1vV5zuJ,en,"['rights', 'istandwithfarmers', 'farmersprotests', 'kisanandolan', 'kisaanmajdoorektazindabad', 'nofarmersnofood']",[],144399684,144399684,BupsSaggu,Bups Saggu #LORD,6,17,https://twitter.com/BupsSaggu/status/1337736174060924930,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1337736147632525312/pu/img/_x7YY8czZKBIwoRE.jpg,False,5,1,1,,#istandwithfarmers,,,,,,,[],,,,
6,1337735916094251010,1337735916094251010,1607776070000.0,2020-12-12 17:57:50,+0530,,"१२ दिसंबर २०२० रोजी श्री. लालजी देसाई, अखिल भारतीय कांग्रेस सेवा दलाचे अध्यक्ष, दिल्ली, एनसीआर , हरियाणा कांग्रेस सेवा दलच्या बरोबर,  दिल्ली टेकरी सीमेवर शेतकरी आंदोलनाच्या समर्थनाकरिता मोर्चा काढला. #DeshKiShaanHaiKisan #IStandWithFarmers  https://t.co/8Pbgda56Nt",mr,"['deshkishaanhaikisan', 'istandwithfarmers']",[],1059503182727053313,1059503182727053313,SevadalMH,Maharashtra Pradesh Congress Sevadal,6,17,https://twitter.com/SevadalMH/status/1337735916094251010,[],"['https://pbs.twimg.com/media/EpCXsY5UYAMXegw.jpg', 'https://pbs.twimg.com/media/EpCXs40UcAIc5AJ.jpg', 'https://pbs.twimg.com/media/EpCXtbZUYAA80fU.jpg', 'https://pbs.twimg.com/media/EpCXuPzUYAEAIYl.jpg']",1,https://pbs.twimg.com/media/EpCXsY5UYAMXegw.jpg,False,14,1,12,,#istandwithfarmers,,,,,,,[],,,,
7,1337713693887348736,1337713693887348736,1607770772000.0,2020-12-12 16:29:32,+0530,,Finally the protesting farmers have turned out to be Maoists so obviously ant-national. Not difficult to deal with them now.#IStandWithFarmers,en,['istandwithfarmers'],[],94022742,94022742,irfhabib,S lrfan Habib,6,16,https://twitter.com/irfhabib/status/1337713693887348736,[],[],0,,False,136,6,12,,#istandwithfarmers,,,,,,,[],,,,
8,1337653623090630657,1337653623090630657,1607756450000.0,2020-12-12 12:30:50,+0530,,"एक चक्कर ज़रूर लगाएँ!! लड़ेंगे साथी, जीतेंगे साथी!!! ✊🏽✊🏽✊🏽  #SinghuBorder #IStandWithFarmers  https://t.co/lwgVdB20an",hi,"['singhuborder', 'istandwithfarmers']",[],237428802,237428802,Mdzeeshanayyub,Mohd. Zeeshan Ayyub,6,12,https://twitter.com/Mdzeeshanayyub/status/1337653623090630657,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1337653360548167680/pu/img/rG8DlUMyal0H_Gss.jpg,False,9033,304,776,,#istandwithfarmers,,,,,,,[],,,,
9,1337649940932173830,1337649940932173830,1607755572000.0,2020-12-12 12:16:12,+0530,,Today’s meal dedicated to our brave farmers. #IStandWithFarmers  https://t.co/OQBsKxpHxF,en,['istandwithfarmers'],[],29385549,29385549,mehtahansal,Hansal Mehta,6,12,https://twitter.com/mehtahansal/status/1337649940932173830,[],"['https://pbs.twimg.com/media/EpBJglbUcAAbIvF.jpg', 'https://pbs.twimg.com/media/EpBJgleUUAEBCDG.jpg', 'https://pbs.twimg.com/media/EpBJglgVQAIBIfv.jpg']",1,https://pbs.twimg.com/media/EpBJglbUcAAbIvF.jpg,False,396,7,14,,#istandwithfarmers,,,,,,,[],,,,
