,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1354567397357875200,1354567397357875200,1611789008000.0,2021-01-28 04:40:08,+0530,,#FarmersProstests #FarmersProtest #FarmBill2020  https://t.co/EznCJNT24v,und,"['farmersprostests', 'farmersprotest', 'farmbill2020']",[],235900469,235900469,MontyPanesar,Monty Panesar,4,04,https://twitter.com/MontyPanesar/status/1354567397357875200,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354567301480280074/pu/img/L9Bykt7dG433slID.jpg,False,37,8,13,,#farmersprostests -filter:replies,,,,,,,[],,,,
1,1354561710548520967,1354561710548520967,1611787652000.0,2021-01-28 04:17:32,+0530,,#FarmersProstests #FarmBills2020 #FarmersBill  https://t.co/sWwuZMwBJn,und,"['farmersprostests', 'farmbills2020', 'farmersbill']",[],235900469,235900469,MontyPanesar,Monty Panesar,4,04,https://twitter.com/MontyPanesar/status/1354561710548520967,[],"['https://pbs.twimg.com/media/EsxersrWMA4umJO.jpg', 'https://pbs.twimg.com/media/Esxer-KXMAMVfMT.jpg', 'https://pbs.twimg.com/media/EsxesPNXUAQt1Nu.jpg', 'https://pbs.twimg.com/media/EsxesXzW4AY9RSw.jpg']",1,https://pbs.twimg.com/media/EsxersrWMA4umJO.jpg,False,52,10,3,,#farmersprostests -filter:replies,,,,,,,[],,,,
2,1354549748888449025,1354549748888449025,1611784801000.0,2021-01-28 03:30:01,+0530,,#DNA special with  @sudhirchaudhary  : Here's how rampaging mob unleashed violence at Red Fort  #LalQuilaHamaraHai #RepublicDay #FarmersProstests #RedFort    https://t.co/UCB6TDOvSh,en,"['dna', 'lalquilahamarahai', 'republicday', 'farmersprostests', 'redfort']",[],17710740,17710740,dna,DNA,4,03,https://twitter.com/dna/status/1354549748888449025,['http://dnai.in/gIxH'],[],0,,False,9,4,0,,#farmersprostests -filter:replies,,,,,,,[],,,,
3,1354542254606565378,1354542254606565378,1611783014000.0,2021-01-28 03:00:14,+0530,,"जावडेकरांचा राहुल गांधींवर पलटवार; म्हणाले, 'काँग्रेसने शेतकऱ्यांना जाणीवपूर्वक चिथावले'  https://t.co/8orW8XEiKo #FarmersProstests  #TractorRally  #RahulGandhi #PrakashJavadekar",mr,"['farmersprostests', 'tractorrally', 'rahulgandhi', 'prakashjavadekar']",[],171880832,171880832,mataonline,Maharashtra Times,4,03,https://twitter.com/mataonline/status/1354542254606565378,['https://maharashtratimes.com/india-news/rahul-gandhi-wasnt-only-supporting-protest-but-also-instigating-says-union-min-prakash-javadekar/articleshow/80489810.cms'],[],0,,False,12,6,1,,#farmersprostests -filter:replies,,,,,,,[],,,,
4,1354528502050148356,1354528502050148356,1611779735000.0,2021-01-28 02:05:35,+0530,,"Power to the people for organizing these brave protest around Delhi. While being met with tear gas, water cannons, and stick charges they marched on; even serving water to policemen and military personnel along the way. #FarmersProstests  https://t.co/yw0LJVWEYQ",en,['farmersprostests'],[],24737622,24737622,Tedashii,Tedashii,4,02,https://twitter.com/Tedashii/status/1354528502050148356,[],['https://pbs.twimg.com/media/EsxAfbTW4AQ4pC_.jpg'],1,https://pbs.twimg.com/media/EsxAfbTW4AQ4pC_.jpg,False,8,0,2,,#farmersprostests -filter:replies,,,,,,,[],,,,
5,1354528421678886915,1354528421678886915,1611779716000.0,2021-01-28 02:05:16,+0530,,तर शेतकऱ्यांवर अशी वेळ आली नसती!; पवार पुन्हा मोदी सरकारवर बरसले @PawarSpeaks @NCPspeaks #FarmersProstests #ModiGovt   https://t.co/bcfYKlIFLU,mr,"['farmersprostests', 'modigovt']",[],171880832,171880832,mataonline,Maharashtra Times,4,02,https://twitter.com/mataonline/status/1354528421678886915,['https://maharashtratimes.com/maharashtra/mumbai-news/farmers-protest-sharad-pawar-targets-modi-government-again/articleshow/80489263.cms'],[],0,,False,20,1,1,,#farmersprostests -filter:replies,,,,,,,[],,,,
6,1354526729876987916,1354526729876987916,1611779312000.0,2021-01-28 01:58:32,+0530,,"""Midnight lathi charge"".  #FarmersProstests",en,['farmersprostests'],[],408467423,408467423,VidyaKrishnan,Vidya,4,01,https://twitter.com/VidyaKrishnan/status/1354526729876987916,[],[],0,,False,116,5,50,https://twitter.com/Facts_chek/status/1354508131125092354,#farmersprostests -filter:replies,,,,,,,[],,,,
7,1354522593970315264,1354522593970315264,1611778326000.0,2021-01-28 01:42:06,+0530,,मुझे लगता है इस तरह की धमकियों का वक्त नहीं है और मिल बैठ कर किसानों ke मुद्दे का हल निकाला जाना चाहिये  #FarmersProstests  https://t.co/wLRf2UtJ6m,hi,['farmersprostests'],[],126309470,126309470,RavindraGautam_,Ravindra Gautam,4,01,https://twitter.com/RavindraGautam_/status/1354522593970315264,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354516902324924422/pu/img/ywWR4oB9dZo0wkBx.jpg,False,5,0,3,,#farmersprostests -filter:replies,,,,,,,[],,,,
8,1354519494308159488,1354519494308159488,1611777587000.0,2021-01-28 01:29:47,+0530,,Singhu बॉर्डर के पास दिल्ली पुलिस ने जीटी करनाल रोड पर कई जगह बैरिकेड्स बना दिए हैं। 27 जनवरी को दोपहर बाद हाईवे के दोनों तरफ पत्थर के बैरिकेड्स लगाने का काम शुरू हुआ जो रात तक चला  #SinghuBorder #FarmersProstests #FarmerProtests #DelhiPolice  https://t.co/U0vzX3vBhX,hi,"['singhuborder', 'farmersprostests', 'farmerprotests', 'delhipolice']",[],2473925244,2473925244,AShukkla,Arvind Shukla,4,01,https://twitter.com/AShukkla/status/1354519494308159488,[],"['https://pbs.twimg.com/media/Esw4MRdUcAEopF9.jpg', 'https://pbs.twimg.com/media/Esw4OgnU4AAxEGF.jpg']",1,https://pbs.twimg.com/media/Esw4MRdUcAEopF9.jpg,False,28,2,7,,#farmersprostests -filter:replies,,,,,,,[],,,,
9,1354514127469727744,1354514127469727744,1611776308000.0,2021-01-28 01:08:28,+0530,,दिल्लीत ट्रॅक्टर परेडमध्ये हिंसाचार; ५५० ट्वीटर अकाउंटवर कारवाई  https://t.co/DXhpGqPVlW #FarmersProstests  #DelhiPolice #FarmBills2020,mr,"['farmersprostests', 'delhipolice', 'farmbills2020']",[],171880832,171880832,mataonline,Maharashtra Times,4,01,https://twitter.com/mataonline/status/1354514127469727744,['https://maharashtratimes.com/india-news/twitter-suspends-over-550-accounts-after-violence-during-farmers-republic-day-tractor-rally/articleshow/80486139.cms'],[],0,,False,2,0,1,,#farmersprostests -filter:replies,,,,,,,[],,,,
10,1354511947753009156,1354511947753009156,1611775788000.0,2021-01-28 00:59:48,+0530,,हुक्मरानों की घबराहट देख कर आभास हो रहा है कि उनको अपनी सत्ता का अंत नज़दीक दिख रहा है. #FarmersProstests  https://t.co/Z06IdvgtBR,hi,['farmersprostests'],[],3182413640,3182413640,SatveerINC,Satveer Choudhary,4,00,https://twitter.com/SatveerINC/status/1354511947753009156,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354508420741795845/pu/img/8S3wy7jhix54FODV.jpg,False,204,5,33,,#farmersprostests -filter:replies,,,,,,,[],,,,
11,1354511087174090756,1354511087174090756,1611775583000.0,2021-01-28 00:56:23,+0530,,"Violence is never ok, and I believe they regret that but I still support the #FarmersProstests and stand with the #farmers in India.  https://t.co/7Ggz5DmcoO",en,"['farmersprostests', 'farmers']",[],24737622,24737622,Tedashii,Tedashii,4,00,https://twitter.com/Tedashii/status/1354511087174090756,[],"['https://pbs.twimg.com/media/Eswwp3NXIAEz2Pm.jpg', 'https://pbs.twimg.com/media/Eswwp3XXYAI5-70.jpg', 'https://pbs.twimg.com/media/Eswwp3SW8AImVyk.jpg', 'https://pbs.twimg.com/media/Eswwp3RWMAANT8S.jpg']",1,https://pbs.twimg.com/media/Eswwp3NXIAEz2Pm.jpg,False,36,0,6,,#farmersprostests -filter:replies,,,,,,,[],,,,
12,1354504481938014216,1354504481938014216,1611774008000.0,2021-01-28 00:30:08,+0530,,कायर संघी सरकार किसानों के आंदोलन को रात में कुचलना चाहती है लेकिन किसान ओर मजबूती के साथ अपनी लड़ाई लड़ेंगे #FarmersProstests #BoycottBJP,hi,"['farmersprostests', 'boycottbjp']",[],792616366490648576,792616366490648576,INCShauryaveer,Shauryaveer Singh,4,00,https://twitter.com/INCShauryaveer/status/1354504481938014216,[],[],0,,False,96,0,27,,#farmersprostests -filter:replies,,,,,,,[],,,,
13,1354501568763060224,1354501568763060224,1611773314000.0,2021-01-28 00:18:34,+0530,,Where's Deep Sidhu? (Where's Komal Sharma?) #DeepSiddhu #Punjab #FarmersProstests,en,"['deepsiddhu', 'punjab', 'farmersprostests']",[],46608340,46608340,RKRadhakrishn,RadhakrishnanRK,4,00,https://twitter.com/RKRadhakrishn/status/1354501568763060224,[],[],0,,False,249,20,56,,#farmersprostests -filter:replies,,,,,,,[],,,,
14,1354498707035570178,1354498707035570178,1611772631000.0,2021-01-28 00:07:11,+0530,,ಕೇಂದ್ರ ಸರ್ಕಾರ ಜಾರಿಗೊಳಿಸಿರುವ ಕೃಷಿ ಸಂಬಂಧಿತ ಕಾಯ್ದೆಗಳ ವಿರುದ್ಧ ರೈತರ ಹೋರಾಟ ಹಿಂಸಾತ್ಮಕ ರೂಪ ಪಡೆದುಕೊಂಡ ಬೆನ್ನಲ್ಲೇ ಎರಡು ರೈತ ಒಕ್ಕೂಟಗಳು ಪ್ರತಿಭಟನೆಯಿಂದ ಹಿಂದೆ ಸರಿದಿವೆ.  #NewDelhi #FarmersProstests     https://t.co/Jl7dQlT6Tv,kn,"['newdelhi', 'farmersprostests']",[],18185256,18185256,OneindiaKannada,oneindiakannada,4,00,https://twitter.com/OneindiaKannada/status/1354498707035570178,['https://kannada.oneindia.com/news/new-delhi/violence-two-farmer-unions-withdraw-from-protests-after-republic-day-incident-213801.html'],[],0,,False,1,2,0,,#farmersprostests -filter:replies,,,,,,,[],,,,
15,1354495190023643136,1354495190023643136,1611771793000.0,2021-01-27 23:53:13,+0530,,#DNA special with @sudhirchaudhary : Here's how rampaging mob unleashed violence at Red Fort  #LalQuilaHamaraHai #RepublicDay #FarmersProstests #RedFort   https://t.co/UCB6TDwUtH,en,"['dna', 'lalquilahamarahai', 'republicday', 'farmersprostests', 'redfort']",[],17710740,17710740,dna,DNA,3,23,https://twitter.com/dna/status/1354495190023643136,['http://dnai.in/gIxH'],[],0,,False,164,14,41,,#farmersprostests -filter:replies,,,,,,,[],,,,
16,1354495102983393282,1354495102983393282,1611771772000.0,2021-01-27 23:52:52,+0530,,Wouldn’t it be easier to say that Manyavar @AmitShah is an absolute disaster as a Home Minister.    Chanakya is spending more time buying/selling MLAs to manufacture majority in states rather than looking  into #FarmersProstests seriously,en,['farmersprostests'],[],39462584,39462584,PriyankKharge,Priyank Kharge / ಪ್ರಿಯಾಂಕ್ ಖರ್ಗೆ,3,23,https://twitter.com/PriyankKharge/status/1354495102983393282,[],[],0,,False,86,5,15,https://twitter.com/ANI/status/1354450271368187904,#farmersprostests -filter:replies,,,,,,,[],,,,
17,1354492662502461445,1354492662502461445,1611771190000.0,2021-01-27 23:43:10,+0530,,"56"" की छाती पर #कमल का फूल देख कर भी नहीं जान सके कि यह सब तो वोटों लेने के लिए कहा जा रहा था, पंजाब, किसान, जवान के लिए इनके दिल में क्या है वो गणतंत्र दिवस पर सबने देखा.  आतंकी, खालिस्तानी, नक्सली, देश द्रोही.   #RepublicDay2021 #TractorRally #India #Delhi #FarmersProstests",hi,"['कमल', 'republicday2021', 'tractorrally', 'india', 'delhi', 'farmersprostests']",[],109930762,109930762,LambaAlka,Alka Lamba,3,23,https://twitter.com/LambaAlka/status/1354492662502461445,[],[],0,,False,212,21,80,https://twitter.com/umashankarsingh/status/1354490313511866371,#farmersprostests -filter:replies,,,,,,,[],,,,
18,1354491804717101060,1354491804717101060,1611770986000.0,2021-01-27 23:39:46,+0530,,"In the aftermath of the violence, the farmers have decided to cancel their foot march to Parliament planned for March 1 the Budget Day #FarmersProstests #DelhiPolice #tractorParade   https://t.co/ATROOAuhCc",en,"['farmersprostests', 'delhipolice', 'tractorparade']",[],19897138,19897138,IndiaToday,IndiaToday,3,23,https://twitter.com/IndiaToday/status/1354491804717101060,['https://www.indiatoday.in/india/story/r-day-violence-aftermath-37-farmer-leaders-booked-2-farm-unions-withdraw-police-says-no-one-will-be-spared-1763375-2021-01-27'],[],0,,False,25,15,8,,#farmersprostests -filter:replies,,,,,,,[],,,,
19,1354489057644933120,1354489057644933120,1611770331000.0,2021-01-27 23:28:51,+0530,,हिंसाचार प्रकरणी शेतकरी नेत्यांवर कारवाई होणार?; दिल्ली पोलिस आयुक्त म्हणाले...  https://t.co/vIBZLGyMC7 #FarmersProstests  #DelhiPolice #TractorRally,mr,"['farmersprostests', 'delhipolice', 'tractorrally']",[],171880832,171880832,mataonline,Maharashtra Times,3,23,https://twitter.com/mataonline/status/1354489057644933120,['https://maharashtratimes.com/india-news/farmer-leaders-were-involved-in-the-violence-says-delhi-police-commissioner-sn-shrivastava/articleshow/80485034.cms'],[],0,,False,9,0,1,,#farmersprostests -filter:replies,,,,,,,[],,,,
