,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1354136632451084289,1354136632451084289,1611686306000.0,2021-01-27 00:08:26,+0530,,"Yeh video dekh kar Jallian wala bagh yaad aagaya, tab angrez ki goliyo se bachne nihate Hindustani kuwe mein kud gaye the aur aaj #KhalistaniTerrorists se bachne hamare police officers aur CRPF jawan kud gaye 💔💔💔  https://t.co/9UeftvMJki",hi,['khalistaniterrorists'],[],87643561,87643561,Rajput_Ramesh,Ramesh Solanki🇮🇳,3,00,https://twitter.com/Rajput_Ramesh/status/1354136632451084289,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354136003456294913/pu/img/kJQkb0F6emp1BnQQ.jpg,False,1021,31,429,,#khalistaniterrorists,,,,,,,[],,,,
1,1354128695129210883,1354128695129210883,1611684414000.0,2021-01-26 23:36:54,+0530,,"The term "" annadaata "" lost its meaning and value today 😔😔😔 #KhalistaniTerrorists",en,['khalistaniterrorists'],[],87643561,87643561,Rajput_Ramesh,Ramesh Solanki🇮🇳,2,23,https://twitter.com/Rajput_Ramesh/status/1354128695129210883,[],[],0,,False,3470,76,743,,#khalistaniterrorists,,,,,,,[],,,,
2,1354078843355725824,1354078843355725824,1611672528000.0,2021-01-26 20:18:48,+0530,,Shameful &amp; Unacceptable !  #Khalistan #FarmersProtest #KhalistaniTerrorists  https://t.co/xHSif1IZje,en,"['khalistan', 'farmersprotest', 'khalistaniterrorists']",[],111934812,111934812,Saurabhk4u,Saurabh Khamar,2,20,https://twitter.com/Saurabhk4u/status/1354078843355725824,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354078780130734080/pu/img/aRGS0bZ9a0fcT2KM.jpg,False,9,2,5,,#khalistaniterrorists,,,,,,,[],,,,
3,1354037341631909891,1354037341631909891,1611662633000.0,2021-01-26 17:33:53,+0530,,What is this then @sardesairajdeep ?   Stop lying. #KhalistaniTerrorists  https://t.co/4zO6HMhOn4,en,['khalistaniterrorists'],[],844894250898804736,844894250898804736,RNagothu,Rameshnaidu Nagothu /రమేశ్ /रमेश नायडू,2,17,https://twitter.com/RNagothu/status/1354037341631909891,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354037298724130817/pu/img/KPx22jI8AdxPc4aP.jpg,False,4,0,3,https://twitter.com/sardesairajdeep/status/1354021866403459072,#khalistaniterrorists,,,,,,,[],,,,
4,1354031625311412224,1354031625311412224,1611661270000.0,2021-01-26 17:11:10,+0530,,What does this flag have to do with Farmers. May be @RahulGandhi will know #KhalistaniTerrorists  https://t.co/AUwTjlP1DZ,en,['khalistaniterrorists'],[],2167816332,2167816332,amarprasadreddy,Amar Prasad Reddy,2,17,https://twitter.com/amarprasadreddy/status/1354031625311412224,[],['https://pbs.twimg.com/media/Esp8lkNUYAIofHK.jpg'],1,https://pbs.twimg.com/media/Esp8lkNUYAIofHK.jpg,False,90,6,25,,#khalistaniterrorists,,,,,,,[],,,,
5,1354026487318384641,1354026487318384641,1611660045000.0,2021-01-26 16:50:45,+0530,,#KhalistaniTerrorists को आप पार्टी का समर्थन  ।cc @CPDelhi @DelhiPolice  https://t.co/xsIcr3Fftl,hi,['khalistaniterrorists'],[],2638009812,2638009812,HariManjhi,हरि मांझी,2,16,https://twitter.com/HariManjhi/status/1354026487318384641,[],"['https://pbs.twimg.com/media/Esp36QQU0AEyahO.jpg', 'https://pbs.twimg.com/media/Esp36S9U0AE2lsQ.jpg']",1,https://pbs.twimg.com/media/Esp36QQU0AEyahO.jpg,False,1018,21,517,,#khalistaniterrorists,,,,,,,[],,,,
6,1354021002611548161,1354021002611548161,1611658738000.0,2021-01-26 16:28:58,+0530,,लाल किले पर #KisanTractorRally के नाम पर जो #TerrorRally #RepublicDay पर #KhalistaniTerrorists ने निकाली वह मेरे देश के अन्नदाताओं सरासर अपमान है। किसान भला जवानों पर हमला कैसे कर सकते हैं? #TractorMarch को #TerrorMarch बनाने वालों के विरुद्ध कठोर कार्यवाही जरूरी है।  https://t.co/wRHOai4bg6,hi,"['kisantractorrally', 'terrorrally', 'republicday', 'khalistaniterrorists', 'tractormarch', 'terrormarch']",[],195296143,195296143,vinod_bansal,विनोद बंसल Vinod Bansal,2,16,https://twitter.com/vinod_bansal/status/1354021002611548161,[],"['https://pbs.twimg.com/media/Espy635UYAICcmD.jpg', 'https://pbs.twimg.com/media/Espy7MeUYAEVWC1.jpg']",1,https://pbs.twimg.com/media/Espy635UYAICcmD.jpg,False,246,10,78,,#khalistaniterrorists,,,,,,,[],,,,
7,1354020027209371648,1354020027209371648,1611658505000.0,2021-01-26 16:25:05,+0530,,"Will Rahul Gandhi, Yogendra Yadav &amp; Left apologise?  #KhalistaniTerrorists #Khalistan #FarmersProtest  https://t.co/GtnqORIEny",hi,"['khalistaniterrorists', 'khalistan', 'farmersprotest']",[],111934812,111934812,Saurabhk4u,Saurabh Khamar,2,16,https://twitter.com/Saurabhk4u/status/1354020027209371648,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354019930002186241/pu/img/7zrVpqsAv2TwmfjV.jpg,False,20,3,10,,#khalistaniterrorists,,,,,,,[],,,,
8,1354017156304756736,1353999327379640320,1611657821000.0,2021-01-26 16:13:41,+0530,,#दिल्ली_पुलिस_लठ_बजाओ #KhalistaniTerrorists,und,"['दिल्ली_पुलिस_लठ_बजाओ', 'khalistaniterrorists']",[],883933935926886400,883933935926886400,mpajaypratap,Ajay Pratap Singh,2,16,https://twitter.com/mpajaypratap/status/1354017156304756736,[],[],0,,False,7,0,2,,#khalistaniterrorists,,,,,,,[],,,,
9,1354010887221346305,1354010887221346305,1611656326000.0,2021-01-26 15:48:46,+0530,,"#FarmersProstests के नाम पर दिल्ली में बलवा कर दिया  और 26 जनवरी पर देश की बदनामी करा रहे हैं, क्योंकि यह सब कुछ #KhalistaniTerrorists के एजेंडा पर चल रहा है  https://t.co/yRrZ3pHnWv",hi,"['farmersprostests', 'khalistaniterrorists']",[],25038521,25038521,Shanktan,Tanmay Shankar(तन्मय शंकर)🇮🇳,2,15,https://twitter.com/Shanktan/status/1354010887221346305,[],"['https://pbs.twimg.com/media/EsppuJ_XEAIzLGO.jpg', 'https://pbs.twimg.com/media/EsppubXW4AAZPNy.jpg']",1,https://pbs.twimg.com/media/EsppuJ_XEAIzLGO.jpg,False,238,6,101,,#khalistaniterrorists,,,,,,,[],,,,
