,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1354897547341357057,1354897547341357057,1611867722000.0,2021-01-29 02:32:02,+0530,,"26 Jan 2021 - I participated in the Historic Tractor Parade  https://t.co/bjcqwKGyhe via @YouTube साज़िश का सच ये है, जो हमारा ख़ुद का अनुभव है. आप भी सच ही जानें, नैरटिव नहीं. उसके लिये ये विडीओ पूरा देखें.  #किसान_एकता_जिंदाबाद  #FarmersProstests",hi,"['किसान_एकता_जिंदाबाद', 'farmersprostests']",[],927769840693194752,927769840693194752,AnumaVidisha,Wg Cdr Anuma Acharya (Retd),5,02,https://twitter.com/AnumaVidisha/status/1354897547341357057,['https://youtu.be/rV2fVU7DIhE'],[],0,,False,90,9,36,,#farmersprostests,,,,,,,[],,,,
1,1354896219001110530,1354896219001110530,1611867406000.0,2021-01-29 02:26:46,+0530,,थोड़ी देर पहले #RakeshTikait ने @GaonConnection से एक्सक्लुसिव बात की। सुनिए उन्होंने आगे की रणनीति के बारे में क्या कहा? @AShukkla  @RakeshTikaitBKU @NareshTikait @BKU_KisanUnion @OfficialBKU #Ghazipur #ghazipurborder #FarmersProstests,hi,"['rakeshtikait', 'ghazipur', 'ghazipurborder', 'farmersprostests']",[],516432874,516432874,DayaSagar95,Daya sagar,5,02,https://twitter.com/DayaSagar95/status/1354896219001110530,[],[],0,,False,10,0,1,https://twitter.com/GaonConnection/status/1354869248582053891,#farmersprostests,,,,,,,[],,,,
2,1354883435504930816,1354883435504930816,1611864358000.0,2021-01-29 01:35:58,+0530,,From #SocialMedia  #RakeshTikait @RakeshTikaitBKU #ghazipurborder #Ghazipur #FarmersProstests  https://t.co/lDxwTQtCnm,en,"['socialmedia', 'rakeshtikait', 'ghazipurborder', 'ghazipur', 'farmersprostests']",[],516432874,516432874,DayaSagar95,Daya sagar,5,01,https://twitter.com/DayaSagar95/status/1354883435504930816,[],['https://pbs.twimg.com/media/Es2DTb9VkAIF0Si.jpg'],1,https://pbs.twimg.com/media/Es2DTb9VkAIF0Si.jpg,False,28,0,9,,#farmersprostests,,,,,,,[],,,,
3,1354881510197714949,1354881510197714949,1611863899000.0,2021-01-29 01:28:19,+0530,,सुबह का आलम... 😂👍. शुभ रात्री.   #RakeshTikait #FarmersProstests #Delhi  https://t.co/G0gdxaZ6NY,hi,"['rakeshtikait', 'farmersprostests', 'delhi']",[],109930762,109930762,LambaAlka,Alka Lamba,5,01,https://twitter.com/LambaAlka/status/1354881510197714949,[],"['https://pbs.twimg.com/media/Es2Bi6oVcAI3xbS.jpg', 'https://pbs.twimg.com/media/Es2BjJCUYAEDtRB.jpg', 'https://pbs.twimg.com/media/Es2BjYFVcAAyF53.jpg']",1,https://pbs.twimg.com/media/Es2Bi6oVcAI3xbS.jpg,False,1671,58,380,,#farmersprostests,,,,,,,[],,,,
4,1354879664884355073,1354879664884355073,1611863459000.0,2021-01-29 01:20:59,+0530,,#IndiaStandsWithFarmers 👍🇮🇳🙏  #RakeshTikait #FarmersProstests #Delhi,und,"['indiastandswithfarmers', 'rakeshtikait', 'farmersprostests', 'delhi']",[],109930762,109930762,LambaAlka,Alka Lamba,5,01,https://twitter.com/LambaAlka/status/1354879664884355073,[],[],0,,False,581,22,150,https://twitter.com/RahulGandhi/status/1354824569673007106,#farmersprostests,,,,,,,[],,,,
5,1354873383335251972,1354873383335251972,1611861961000.0,2021-01-29 00:56:01,+0530,,#RakeshTikait जी की किस फोटो को आप अपनी DP पर लगाना चाहेंगे?  #FarmersProstests #FarmersBill2020 #Delhi  https://t.co/pJfDrORl29,hi,"['rakeshtikait', 'farmersprostests', 'farmersbill2020', 'delhi']",[],109930762,109930762,LambaAlka,Alka Lamba,5,00,https://twitter.com/LambaAlka/status/1354873383335251972,[],"['https://pbs.twimg.com/media/Es16Jp0UwAAS_S2.jpg', 'https://pbs.twimg.com/media/Es16J2jUYAULBqC.jpg', 'https://pbs.twimg.com/media/Es16KEyUcAIeH8F.jpg', 'https://pbs.twimg.com/media/Es16KUeVcAM4hnM.jpg']",1,https://pbs.twimg.com/media/Es16Jp0UwAAS_S2.jpg,False,4293,248,929,,#farmersprostests,,,,,,,[],,,,
6,1354869248582053891,1354869248582053891,1611860975000.0,2021-01-29 00:39:35,+0530,,भारतीय किसान यूनियन के राष्ट्रीय प्रवक्ता राकेश टिकैत  @RakeshTikaitBKU  से अरविन्द शुक्ला  @AShukkla  की खास बात  #FarmersProstests #ghazipurborder #FarmerProtest  https://t.co/Cw9VaehZuH,hi,"['farmersprostests', 'ghazipurborder', 'farmerprotest']",[],421701259,421701259,GaonConnection,GaonConnection,5,00,https://twitter.com/GaonConnection/status/1354869248582053891,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1354868576285462529/img/c9SCtlDaDJ5zBiuu.jpg,False,442,21,170,,#farmersprostests,,,,,,,[],,,,
7,1354869013013127169,1354869013013127169,1611860919000.0,2021-01-29 00:38:39,+0530,,"जब रात है ऐसी मतवाली, फिर सुबह का आलम क्या होगा... ❤️.  #RepublicDay2021 #FarmersProstests #Delhi  https://t.co/kIKpQeAlxa",hi,"['republicday2021', 'farmersprostests', 'delhi']",[],109930762,109930762,LambaAlka,Alka Lamba,5,00,https://twitter.com/LambaAlka/status/1354869013013127169,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354868938102902785/pu/img/wzBq1BZCgLBL5Mna.jpg,False,752,54,197,,#farmersprostests,,,,,,,[],,,,
8,1354868793722322944,1354868793722322944,1611860867000.0,2021-01-29 00:37:47,+0530,,Massive Jat mobilisation tonight all over Haryana and western UP.  Reminiscent of Rajiv Gandhi and #Tikait (senior) face-off. Trivia: BJP began getting a parliamentary foothold in UP after the Boat Club rally/sit in. Congress’s decline started after that. #FarmersProstests,en,"['tikait', 'farmersprostests']",[],143114327,143114327,TedhiLakeer,Nishtha Gautam,5,00,https://twitter.com/TedhiLakeer/status/1354868793722322944,[],[],0,,False,79,5,14,,#farmersprostests,,,,,,,[],,,,
9,1354867489843290119,1354867489843290119,1611860556000.0,2021-01-29 00:32:36,+0530,,#FarmersProstests stay awake tonight... more n more Kisan vehicles reaching Ghazipur border... farmers from Ghaziabad n Modinagar already reached spot bypassing many police barricades in and around NCR region... @HartoshSinghBal @Aakar__Patel @rohini_sgh @dhruv_rathee,en,['farmersprostests'],[],53376441,53376441,shekharluthra,Chander Shekhar Luthra,5,00,https://twitter.com/shekharluthra/status/1354867489843290119,[],[],0,,False,5,0,3,,#farmersprostests,,,,,,,[],,,,
10,1354867017656848387,1354867017656848387,1611860443000.0,2021-01-29 00:30:43,+0530,,भारतीय किसान यूनियन के राष्ट्रीय प्रवक्ता राकेश टिकैत @RakeshTikaitBKU से अरविन्द शुक्ला @AShukkla की खास बात  #FarmersProstests #ghazipurborder #FarmerProtest  https://t.co/8OnCCjco9j,hi,"['farmersprostests', 'ghazipurborder', 'farmerprotest']",[],202703528,202703528,divendrasingh,Divendra Singh,5,00,https://twitter.com/divendrasingh/status/1354867017656848387,['https://m.facebook.com/story.php?story_fbid=458703565262110&id=358633294190312'],[],0,,False,3,0,1,,#farmersprostests,,,,,,,[],,,,
11,1354866617939714050,1354866617939714050,1611860348000.0,2021-01-29 00:29:08,+0530,,भारतीय किसान यूनियन के राष्ट्रीय प्रवक्ता राकेश टिकैत @RakeshTikaitBKU से अरविन्द शुक्ला @AShukkla की खास बात  #FarmersProstests #ghazipurborder #FarmerProtest  https://t.co/5irlgYQ5Hj,hi,"['farmersprostests', 'ghazipurborder', 'farmerprotest']",[],421701259,421701259,GaonConnection,GaonConnection,5,00,https://twitter.com/GaonConnection/status/1354866617939714050,['https://m.facebook.com/story.php?story_fbid=458703565262110&id=358633294190312'],[],0,,False,76,3,12,,#farmersprostests,,,,,,,[],,,,
12,1354866225080266753,1354866225080266753,1611860254000.0,2021-01-29 00:27:34,+0530,,"किसानों की माँगों के समर्थन में 16 दलों की इस लिस्ट में देखिए कौन सा दल शामिल नहीं है ? वही असली सत्ता का दलाल है... एक #AAP, दूसरा कौन सा दल नहीं है ?  #FarmersProstests #FarmersBill2020 #Delhi",hi,"['aap', 'farmersprostests', 'farmersbill2020', 'delhi']",[],109930762,109930762,LambaAlka,Alka Lamba,5,00,https://twitter.com/LambaAlka/status/1354866225080266753,[],[],0,,False,463,61,168,https://twitter.com/INCIndia/status/1354716924089835520,#farmersprostests,,,,,,,[],,,,
13,1354866066518798336,1354866066518798336,1611860217000.0,2021-01-29 00:26:57,+0530,,"Left to myself, I’d only be writing on comparative brilliance of SS21 couture collections of @Fendi @MaisonValentino @Prada and @armani.   लौट जाती है इधर को भी नज़र क्या कीजे... #FarmersProstests",en,['farmersprostests'],[],143114327,143114327,TedhiLakeer,Nishtha Gautam,5,00,https://twitter.com/TedhiLakeer/status/1354866066518798336,[],[],0,,False,1,0,0,https://twitter.com/Reuters/status/1354803920015646721,#farmersprostests,,,,,,,[],,,,
14,1354865800742543360,1354865800742543360,1611860153000.0,2021-01-29 00:25:53,+0530,,"राकेश टिकैत के गांव से गाजीपुर बॉर्डर पहुंचे उनके गांव के समर्थक। सुबह तक और समर्थकों के आने की उम्मीद, भारतीय किसान यूनियन ने की थी अपील। #ghazipurborder #Ghazipur #RakeshTikait @RakeshTikaitBKU @BKU_KisanUnion @FarmersUP_ #KisanAndolan #FarmerProtest #FarmersProstests  https://t.co/Dm81pdsOcC",hi,"['ghazipurborder', 'ghazipur', 'rakeshtikait', 'kisanandolan', 'farmerprotest', 'farmersprostests']",[],421701259,421701259,GaonConnection,GaonConnection,5,00,https://twitter.com/GaonConnection/status/1354865800742543360,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354865745897742337/pu/img/fL3gg7g2UoasR_ys.jpg,False,414,18,156,,#farmersprostests,,,,,,,[],,,,
15,1354863430906208259,1354863430906208259,1611859588000.0,2021-01-29 00:16:28,+0530,,"ऐ खाकनशीनों उठ बैठो, वह वक्त करीब आ पहुंचा है, जब तख्त गिराए जाएंगे, जब ताज उछाले जाएंगे।  आधी रात को ही किसानों की महापंचायत की तैयारी सुरु।   #मोदी_कायर_है #FarmersProstests #ghazipurborder  https://t.co/v8acaVIByi",hi,"['मोदी_कायर_है', 'farmersprostests', 'ghazipurborder']",[],101152134,101152134,Amitjanhit,Amit Mishra,5,00,https://twitter.com/Amitjanhit/status/1354863430906208259,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354863012440469505/pu/img/LDXkF5GWMZlRJTMs.jpg,False,112,1,55,,#farmersprostests,,,,,,,[],,,,
16,1354862132748115970,1354862132748115970,1611859279000.0,2021-01-29 00:11:19,+0530,,"अब टूट गिरेंगी जंजीरें, अब जिंदानों की खैर नहीं, जो दरिया झूम के उट्ठे हैं, तिनकों से न टाले जाएंगे।  Muzaffarnagar से किसान #ghazipurborder पहुचने लगे है।   #मोदी_कायर_है #FarmersProstests  https://t.co/5oJMx9pHnF",hi,"['ghazipurborder', 'मोदी_कायर_है', 'farmersprostests']",[],101152134,101152134,Amitjanhit,Amit Mishra,5,00,https://twitter.com/Amitjanhit/status/1354862132748115970,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354859627624599556/pu/img/7GDYViZrBm8ha_ag.jpg,False,62,3,28,,#farmersprostests,,,,,,,[],,,,
17,1354861148126892033,1354861148126892033,1611859044000.0,2021-01-29 00:07:24,+0530,,#GodiMedia की सारी साजिशें हुईं एक बार फिर नाकाम.. दिन भर किया था बदनाम. #RakeshTikait जिंदाबाद #FarmersProstests @RahulGandhi,hi,"['godimedia', 'rakeshtikait', 'farmersprostests']",[],109930762,109930762,LambaAlka,Alka Lamba,5,00,https://twitter.com/LambaAlka/status/1354861148126892033,[],[],0,,False,1847,77,547,https://twitter.com/news24tvchannel/status/1354857874166484992,#farmersprostests,,,,,,,[],,,,
18,1354860150834688001,1354860150834688001,1611858806000.0,2021-01-29 00:03:26,+0530,,Muzaffarnagar से किसान #ghazipurborder पहुचने लगे है।   #मोदी_कायर_है #FarmersProstests  https://t.co/5oJMx9pHnF,und,"['ghazipurborder', 'मोदी_कायर_है', 'farmersprostests']",[],101152134,101152134,Amitjanhit,Amit Mishra,5,00,https://twitter.com/Amitjanhit/status/1354860150834688001,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354859627624599556/pu/img/7GDYViZrBm8ha_ag.jpg,False,100,0,62,,#farmersprostests,,,,,,,[],,,,
19,1354859875902210050,1354859875902210050,1611858741000.0,2021-01-29 00:02:21,+0530,,A quick look at the #Jat buildup en route to #Delhi. #Farmer agitation lives to fight another day. #FarmerProtest #FarmersProstests  https://t.co/IWiiCMleip,en,"['jat', 'delhi', 'farmer', 'farmerprotest', 'farmersprostests']",[],56992330,56992330,iyerkavi,Kavitha Iyer,5,00,https://twitter.com/iyerkavi/status/1354859875902210050,[],['https://pbs.twimg.com/media/Es1t2j9VoAAS7TT.jpg'],1,https://pbs.twimg.com/media/Es1t2j9VoAAS7TT.jpg,False,15,1,6,,#farmersprostests,,,,,,,[],,,,
20,1354859749158711300,1354859749158711300,1611858710000.0,2021-01-29 00:01:50,+0530,,गांव सिसौली से 20-25 हज़ार लोग #दिल्ली के लिए रवाना हुए हैं। यह आंदोलन अभी ख़त्म नहीं हुआ है। राकेश टिकैत ने माहौल पलट दिया। पुलिस प्रशासन पीछे हटा- गोदी मीडिया में भारी निराशा का माहौल.  इसी को कहते हैं जब आपकी नीयत साफ़ हो तो ईश्वर साथ देता है। #RakeshTikait #FarmersProstests  https://t.co/WvJix3mO6r,hi,"['दिल्ली', 'rakeshtikait', 'farmersprostests']",[],109930762,109930762,LambaAlka,Alka Lamba,5,00,https://twitter.com/LambaAlka/status/1354859749158711300,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354859693638733825/pu/img/yVdcmwuyDRUcgEo0.jpg,False,1196,41,433,,#farmersprostests,,,,,,,[],,,,
