,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1355221184376238080,1355221184376238080,1611944883000.0,2021-01-29 23:58:03,+0530,,"बिनती यही किसानों से, निकलो यार मकानों से, जंग लड़ो बेईमानों से.#किसान_आंदोलन_जारी_रहेगा",hi,['किसान_आंदोलन_जारी_रहेगा'],[],1052246262018334722,1052246262018334722,PrashantINCUP,Prashant Tiwari,5,23,https://twitter.com/PrashantINCUP/status/1355221184376238080,[],[],0,,False,39,2,13,,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
1,1355218644691611649,1355218644691611649,1611944278000.0,2021-01-29 23:47:58,+0530,,#our real #Deshbhakts V/S #Modibhakts #ModiYouCantFailFarmers #farmersrprotest #गाजीपुर_बॉर्डर #किसान_की_फसल_नस्ल_बचाओ #किसान_आंदोलन_जारी_रहेगा #FarmersDemandJustice #FarmersProtestHijacked #jaihawaanjaikisaan #GodiMediaHataoDeshBachao,en,"['our', 'deshbhakts', 'modibhakts', 'modiyoucantfailfarmers', 'farmersrprotest', 'गाजीपुर_बॉर्डर', 'किसान_की_फसल_नस्ल_बचाओ', 'किसान_आंदोलन_जारी_रहेगा', 'farmersdemandjustice', 'farmersprotesthijacked', 'jaihawaanjaikisaan', 'godimediahataodeshbachao']",[],576348125,576348125,nagma_morarji,Nagma,5,23,https://twitter.com/nagma_morarji/status/1355218644691611649,[],[],0,,False,18,3,5,https://twitter.com/mynameswatik/status/1355064058165268480,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
2,1355217883802918913,1355217883802918913,1611944096000.0,2021-01-29 23:44:56,+0530,,"गोदी मीडिया का घर घर में प्रसारण और इंटरनेट सेवा बन्द,वाह @mlkhattar साहब; आपको क्या लगता है #किसानआंदोलन को आप बिना कानून वापसी खत्म कर दोगे? @RakeshTikaitBKU के साथ हिंदुस्तान का करोड़ों किसान खड़ा है। आजादी के समय इंटरनेट नहीं थे लोगों का जुनून था। #किसान_आंदोलन_जारी_रहेगा",hi,"['किसानआंदोलन', 'किसान_आंदोलन_जारी_रहेगा']",[],949933915749396480,949933915749396480,DrSushilKrGupta,Dr Sushil Gupta,5,23,https://twitter.com/DrSushilKrGupta/status/1355217883802918913,[],[],0,,False,148,16,72,,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
3,1355216402613866498,1355216402613866498,1611943743000.0,2021-01-29 23:39:03,+0530,,भाजपच्या कार्यकर्त्यांनी आपण स्थानिक नागरिक आहोत असे भासवत दिल्लीत शेतकऱ्यांवर दगडफेक केली #म #मराठी #farmersrprotest #FarmersProstests #KisanAndolan  #किसान_आंदोलन_जारी_रहेगा @ninadsiddhaye @ShrimantManey @ashish_jadhao @Liberal_India1 @BodkheShilpa @vijaycMT @Marathi_Rash,mr,"['म', 'मराठी', 'farmersrprotest', 'farmersprostests', 'kisanandolan', 'किसान_आंदोलन_जारी_रहेगा']",[],3328731710,3328731710,Rajendra1857,Rajendra Jadhav,5,23,https://twitter.com/Rajendra1857/status/1355216402613866498,[],[],0,,False,7,0,4,https://twitter.com/free_thinker/status/1355214759558213633,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
4,1355211924070428674,1355211924070428674,1611942675000.0,2021-01-29 23:21:15,+0530,,"बिहार के किसान,छात्र और नौजवानों से विनती है अन्नदाताओं के सम्मान में कल नेता प्रतिपक्ष @yadavtejashwi जी के नेतृत्व में मानव श्रृंखला में उल्लेखनीय भागीदारी सुनिश्चित कर अहंकारी सरकार को जवाब दें। #किसान_आंदोलन_जारी_रहेगा",hi,['किसान_आंदोलन_जारी_रहेगा'],[],704253337575620609,704253337575620609,Arunrjd,Arun Kumar Yadav,5,23,https://twitter.com/Arunrjd/status/1355211924070428674,[],[],0,,False,296,2,78,,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
5,1355197999664664576,1355197999664664576,1611939356000.0,2021-01-29 22:25:56,+0530,,किसान एकता के प्रतीक #किसान_आंदोलन_जारी_रहेगा  https://t.co/DNwDxFWkGa,hi,['किसान_आंदोलन_जारी_रहेगा'],[],2883222984,2883222984,CaptAjayYadav,Capt. Ajay Singh Yadav Chairman AICC OBC Congress,5,22,https://twitter.com/CaptAjayYadav/status/1355197999664664576,[],['https://pbs.twimg.com/media/Es6hYzlXAAUFESx.jpg'],1,https://pbs.twimg.com/media/Es6hYzlXAAUFESx.jpg,False,62,1,14,,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
6,1355195869935484930,1355195869935484930,1611938848000.0,2021-01-29 22:17:28,+0530,,शेर जा पहुंचा शेरों के बीच....💪 #किसान_आंदोलन_जारी_रहेगा,hi,['किसान_आंदोलन_जारी_रहेगा'],[],74955719,74955719,CHOTIWALA,Deepak Bhati Chotiwala,5,22,https://twitter.com/CHOTIWALA/status/1355195869935484930,[],[],0,,False,46,1,15,https://twitter.com/DeependerSHooda/status/1355190869616279552,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
7,1355191067310575622,1355191067310575622,1611937703000.0,2021-01-29 21:58:23,+0530,,यूँ ही हमेशा उलझती रही है ज़ुल्म से ख़ल्क़ ... न उनकी रस्म नई है न अपनी रीत नई ... यूँ ही हमेशा खिलाये हैं हमने आग में फूल ... न उनकी हार नई है न अपनी जीत नई ... #फ़ैज़_अहमद_फ़ैज़  #FarmerTikaitVsModiDakait  #Farmers #FarmersProstest  #किसान_आंदोलन_जारी_रहेगा #किसान_आंदोलन  https://t.co/dXQeyG8dVi,hi,"['फ़ैज़_अहमद_फ़ैज़', 'farmertikaitvsmodidakait', 'farmers', 'farmersprostest', 'किसान_आंदोलन_जारी_रहेगा', 'किसान_आंदोलन']",[],933622354277646336,933622354277646336,Chhotu_Vasava,Chhotubhai Vasava,5,21,https://twitter.com/Chhotu_Vasava/status/1355191067310575622,[],['https://pbs.twimg.com/media/Es6bFiaW4AEg5qD.jpg'],1,https://pbs.twimg.com/media/Es6bFiaW4AEg5qD.jpg,False,42,0,14,,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
8,1355187082176544776,1355187082176544776,1611936753000.0,2021-01-29 21:42:33,+0530,,"बिनती यही किसानों से, निकलो यार मकानों से, जंग लड़ो बेईमानों से.#किसान_आंदोलन_जारी_रहेगा",hi,['किसान_आंदोलन_जारी_रहेगा'],[],2583217418,2583217418,AcharyaPramodk,Acharya Pramod,5,21,https://twitter.com/AcharyaPramodk/status/1355187082176544776,[],[],0,,False,9839,360,1655,,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
9,1355185174611283969,1355185174611283969,1611936298000.0,2021-01-29 21:34:58,+0530,,अरुणाचल प्रदेश में चीनियों के बसे गांव उजाड़ने की हिम्मत नहीं है 56 इंच में!  किसान आंदोलन उखाड़ने के लिए कितना दिमाग़ लगा रहे है!! #किसान_आंदोलन_जारी_रहेगा,hi,['किसान_आंदोलन_जारी_रहेगा'],[],742597945485320192,742597945485320192,preeti_chobey,Preeti Chobey,5,21,https://twitter.com/preeti_chobey/status/1355185174611283969,[],[],0,,False,201,4,56,,#किसान_आंदोलन_जारी_रहेगा,,,,,,,[],,,,
