,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1357043347903324160,1357043347903324160,1612379321000.0,2021-02-04 00:38:41,+0530,,"अरे साहेब ये किसान है आंधी आए ओले गिरे घबराते नहीं, बैल की नाक में नकेल डालकर खेत जुतवा लेते है.. #किसान_आंदोलन_जारी_रहेगा",hi,['किसान_आंदोलन_जारी_रहेगा'],[],742597945485320192,742597945485320192,preeti_chobey,Preeti Chobey,4,00,https://twitter.com/preeti_chobey/status/1357043347903324160,[],[],0,,False,224,10,64,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
1,1356970120560566276,1356970120560566276,1612361862000.0,2021-02-03 19:47:42,+0530,,श्रवण गर्ग जी का यह लेख नही पढ़ा है तो ज़रूर पढे !   #KisanTractorRally #KisanAndolan #किसान_एकता_जिंदाबाद #किसान_के_लिए_बोले_भारत #किसान_आंदोलन_जारी_रहेगा #किसान_आंदोलन #farmersrprotest #FarmLaws   -  https://t.co/w12U1n9AVD via,hi,"['kisantractorrally', 'kisanandolan', 'किसान_एकता_जिंदाबाद', 'किसान_के_लिए_बोले_भारत', 'किसान_आंदोलन_जारी_रहेगा', 'किसान_आंदोलन', 'farmersrprotest', 'farmlaws']",[],78259714,78259714,ashutosh83B,ashutosh,3,19,https://twitter.com/ashutosh83B/status/1356970120560566276,['https://www.satyahindi.com/opinion/government-puts-spikes-and-concrete-on-roads-to-block-farmers-protest-116472.html'],[],0,,False,284,36,71,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
2,1356969085532205060,1356969085532205060,1612361615000.0,2021-02-03 19:43:35,+0530,,"ये कृषि मंत्री हैं देश के, किसानों की समस्या व मांगों पर कुछ बोलते नहीं है लेकिन श्री राहुल गांधी जी के बोलते ही बोलने तो लग जाते हैं। #किसान_के_लिए_बोले_भारत #किसान_एकता_जिंदाबाद #किसान_आंदोलन_जारी_रहेगा  #FarmBills2020",hi,"['किसान_के_लिए_बोले_भारत', 'किसान_एकता_जिंदाबाद', 'किसान_आंदोलन_जारी_रहेगा', 'farmbills2020']",[],2225467292,2225467292,Aftabnuh,Ch Aftab Ahmed MLA,3,19,https://twitter.com/Aftabnuh/status/1356969085532205060,[],[],0,,False,44,0,11,https://twitter.com/aajtak/status/1356947523701665793,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
3,1356967095854985222,1356967095854985222,1612361141000.0,2021-02-03 19:35:41,+0530,,किसान आंदोलन: जाट हमेशा से ही सत्ता विरोधी रहे हैं ! इनसे टकराना बीजेपी को भारी पड़ेगा ।   @DeependerSHooda @RakeshTikaitBKU @Dchautala #RakeshTiket #राकेश_टिकैत_किसानों_की_आवाज_है #ghazipurborder #किसान_एकता_जिंदाबाद #किसान_आंदोलन_जारी_रहेगा #किसान    https://t.co/4x9mmiyPVa via,hi,"['rakeshtiket', 'राकेश_टिकैत_किसानों_की_आवाज_है', 'ghazipurborder', 'किसान_एकता_जिंदाबाद', 'किसान_आंदोलन_जारी_रहेगा', 'किसान']",[],78259714,78259714,ashutosh83B,ashutosh,3,19,https://twitter.com/ashutosh83B/status/1356967095854985222,['https://www.satyahindi.com/politics/jat-politics-in-kisan-andolan-116473.html'],[],0,,False,504,51,103,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
4,1356961025002668032,1356961025002668032,1612359694000.0,2021-02-03 19:11:34,+0530,,किसान आंदोलन:  हरियाणा की राजनीति में आयेगा बदलाव ?   #किसान_एकता_जिंदाबाद #किसान_के_लिए_बोले_भारत #किसान_आंदोलन_जारी_रहेगा #FarmersProtest #farmersrprotest #Farmer #FarmersStandingFirm    https://t.co/qG4Cp4ODoY via,hi,"['किसान_एकता_जिंदाबाद', 'किसान_के_लिए_बोले_भारत', 'किसान_आंदोलन_जारी_रहेगा', 'farmersprotest', 'farmersrprotest', 'farmer', 'farmersstandingfirm']",[],78259714,78259714,ashutosh83B,ashutosh,3,19,https://twitter.com/ashutosh83B/status/1356961025002668032,['https://www.satyahindi.com/haryana/inderjit-singh-goraya-quits-jjp-over-farm-laws-116482.html'],[],0,,False,436,27,81,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
5,1356946311036067842,1356946311036067842,1612356186000.0,2021-02-03 18:13:06,+0530,,Will be live on @IndiaNews_itv at 7:00pm tonight #FarmersProtest  #किसान_आंदोलन_जारी_रहेगा,en,"['farmersprotest', 'किसान_आंदोलन_जारी_रहेगा']",[],1273349691829174273,1273349691829174273,sadhnabharti5,Sadhna Bharti,3,18,https://twitter.com/sadhnabharti5/status/1356946311036067842,[],[],0,,False,9,1,3,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
6,1356904213503238145,1356904213503238145,1612346149000.0,2021-02-03 15:25:49,+0530,,जींद में मंच भी टूटा भीड़ का रिकॉर्ड भी टूटा वर्ष 2021 युवा क्रांति का साल है। #किसान_आंदोलन_जारी_रहेगा #FarmersProtestDelhi2020  @OfficialBKU @PTI_News @BBCIndia @aren_anika @ANI @AHindinews @ndtvindia @brajeshlive  https://t.co/1MbFxbHAj3,hi,"['किसान_आंदोलन_जारी_रहेगा', 'farmersprotestdelhi2020']",[],831948775165923330,831948775165923330,RakeshTikaitBKU,Rakesh Tikait,3,15,https://twitter.com/RakeshTikaitBKU/status/1356904213503238145,[],['https://pbs.twimg.com/media/EtSxMNHVEAQosrX.jpg'],1,https://pbs.twimg.com/media/EtSxMNHVEAQosrX.jpg,False,7494,229,1795,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
7,1356902969472675840,1356902969472675840,1612345852000.0,2021-02-03 15:20:52,+0530,,जींद किसान महापंचायत तीनों कृषि कानून वापस हो एमएसपी को कानून बनाया जाए गिरफ्तार किसानों को रिहा किया जाए स्वामीनाथन कमेटी की रिपोर्ट को लागू किया जाए किसानों पर दर्ज मुकदमे वापस हो। #जींद #किसान_आंदोलन_जारी_रहेगा #रिट्वीट  @AHindinews @PTI_News @ndtvindia @ANI @BBCIndia,hi,"['जींद', 'किसान_आंदोलन_जारी_रहेगा', 'रिट्वीट']",[],831948775165923330,831948775165923330,RakeshTikaitBKU,Rakesh Tikait,3,15,https://twitter.com/RakeshTikaitBKU/status/1356902969472675840,[],[],0,,False,5586,199,1824,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
8,1356822018222563329,1356822018222563329,1612326552000.0,2021-02-03 09:59:12,+0530,,ਕਿਰਸਾਨ ਚੋਂ ਕਿਰਸਾਨੀ ਦੱਸ ਖਾਂ ਕਿਵੇਂ ਕੱਢੇਗਾ ਕਿਰਸਾਨ ਨੂੰ ਖੇਤ ਚੋਂ ਕਿਵੇਂ ਵੱਢੇਗਾ ~ @AmberKaurFarmer #किसान_आंदोलन_जारी_रहेगा #FarmersProtest  https://t.co/GNK6LvUajG,pa,"['किसान_आंदोलन_जारी_रहेगा', 'farmersprotest']",[],192441920,192441920,harpfarmer,Harp Farmer,3,09,https://twitter.com/harpfarmer/status/1356822018222563329,[],['https://pbs.twimg.com/media/EtRmYhcUYAEJj3O.jpg'],1,https://pbs.twimg.com/media/EtRmYhcUYAEJj3O.jpg,False,222,1,78,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
9,1356818960780390401,1356818960780390401,1612325823000.0,2021-02-03 09:47:03,+0530,,किसान आंदोलन: पश्चिमी यूपी में बीजेपी को नुकसान होगा ?   #किसान_आंदोलन #किसान_आंदोलन_जारी_रहेगा #किसान_महापंचायत_राजस्थान #किसान_विरोधी_कानून_वापस_लो #किसान_एकता_जिंदाबाद #Farmer #FarmersProtest #farmerbill2020    https://t.co/457vyGyDnJ via,hi,"['किसान_आंदोलन', 'किसान_आंदोलन_जारी_रहेगा', 'किसान_महापंचायत_राजस्थान', 'किसान_विरोधी_कानून_वापस_लो', 'किसान_एकता_जिंदाबाद', 'farmer', 'farmersprotest', 'farmerbill2020']",[],78259714,78259714,ashutosh83B,ashutosh,3,09,https://twitter.com/ashutosh83B/status/1356818960780390401,['https://www.satyahindi.com/opinion/kisan-andolan-in-western-up-116463.html'],[],0,,False,837,208,177,,#किसान_आंदोलन_जारी_रहेगा -filter:replies,,,,,,,[],,,,
