,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1357033447030669314,1357033447030669314,1612376960000.0,2021-02-03 23:59:20,+0530,,#किसान_के_लिए_बोले_भारत #किसान_एकता_जिंदाबाद #KisanTractorRally #FarmersProtest #FarmerProtest,und,"['किसान_के_लिए_बोले_भारत', 'किसान_एकता_जिंदाबाद', 'kisantractorrally', 'farmersprotest', 'farmerprotest']",[],3328731710,3328731710,Rajendra1857,Rajendra Jadhav,3,23,https://twitter.com/Rajendra1857/status/1357033447030669314,[],[],0,,False,1,0,1,https://twitter.com/free_thinker/status/1357022364211453952,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
1,1357032252127862787,1357032252127862787,1612376676000.0,2021-02-03 23:54:36,+0530,,देश को ख़तरा “किसानों” से नहीं “शैतानों” से है.#किसान_एकता_जिंदाबाद  #FarmersProtest,hi,"['किसान_एकता_जिंदाबाद', 'farmersprotest']",[],4527223634,4527223634,IYCGujarat,Gujarat Youth Congress,3,23,https://twitter.com/IYCGujarat/status/1357032252127862787,[],[],0,,False,102,0,57,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
2,1357014627129806848,1357014627129806848,1612372473000.0,2021-02-03 22:44:33,+0530,,देश को ख़तरा “किसानों” से नहीं “शैतानों” से है.#किसान_एकता_जिंदाबाद,hi,['किसान_एकता_जिंदाबाद'],[],2583217418,2583217418,AcharyaPramodk,Acharya Pramod,3,22,https://twitter.com/AcharyaPramodk/status/1357014627129806848,[],[],0,,False,6572,340,1042,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
3,1357010702112759809,1357010702112759809,1612371538000.0,2021-02-03 22:28:58,+0530,,The country is proud of you. Wish you'll succeed in educating the government and the cronies who run the governments. They need it badly. #किसान_एकता_जिंदाबाद #StandWithFarmers  https://t.co/S8Mn2FBbbu,en,"['किसान_एकता_जिंदाबाद', 'standwithfarmers']",[],4192728313,4192728313,mishra_surjya,Surjya Kanta Mishra,3,22,https://twitter.com/mishra_surjya/status/1357010702112759809,[],['https://pbs.twimg.com/media/EtUSCMWXYBES774.jpg'],1,https://pbs.twimg.com/media/EtUSCMWXYBES774.jpg,False,170,9,34,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
4,1356970120560566276,1356970120560566276,1612361862000.0,2021-02-03 19:47:42,+0530,,श्रवण गर्ग जी का यह लेख नही पढ़ा है तो ज़रूर पढे !   #KisanTractorRally #KisanAndolan #किसान_एकता_जिंदाबाद #किसान_के_लिए_बोले_भारत #किसान_आंदोलन_जारी_रहेगा #किसान_आंदोलन #farmersrprotest #FarmLaws   -  https://t.co/w12U1n9AVD via,hi,"['kisantractorrally', 'kisanandolan', 'किसान_एकता_जिंदाबाद', 'किसान_के_लिए_बोले_भारत', 'किसान_आंदोलन_जारी_रहेगा', 'किसान_आंदोलन', 'farmersrprotest', 'farmlaws']",[],78259714,78259714,ashutosh83B,ashutosh,3,19,https://twitter.com/ashutosh83B/status/1356970120560566276,['https://www.satyahindi.com/opinion/government-puts-spikes-and-concrete-on-roads-to-block-farmers-protest-116472.html'],[],0,,False,284,36,71,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
5,1356969085532205060,1356969085532205060,1612361615000.0,2021-02-03 19:43:35,+0530,,"ये कृषि मंत्री हैं देश के, किसानों की समस्या व मांगों पर कुछ बोलते नहीं है लेकिन श्री राहुल गांधी जी के बोलते ही बोलने तो लग जाते हैं। #किसान_के_लिए_बोले_भारत #किसान_एकता_जिंदाबाद #किसान_आंदोलन_जारी_रहेगा  #FarmBills2020",hi,"['किसान_के_लिए_बोले_भारत', 'किसान_एकता_जिंदाबाद', 'किसान_आंदोलन_जारी_रहेगा', 'farmbills2020']",[],2225467292,2225467292,Aftabnuh,Ch Aftab Ahmed MLA,3,19,https://twitter.com/Aftabnuh/status/1356969085532205060,[],[],0,,False,44,0,11,https://twitter.com/aajtak/status/1356947523701665793,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
6,1356967095854985222,1356967095854985222,1612361141000.0,2021-02-03 19:35:41,+0530,,किसान आंदोलन: जाट हमेशा से ही सत्ता विरोधी रहे हैं ! इनसे टकराना बीजेपी को भारी पड़ेगा ।   @DeependerSHooda @RakeshTikaitBKU @Dchautala #RakeshTiket #राकेश_टिकैत_किसानों_की_आवाज_है #ghazipurborder #किसान_एकता_जिंदाबाद #किसान_आंदोलन_जारी_रहेगा #किसान    https://t.co/4x9mmiyPVa via,hi,"['rakeshtiket', 'राकेश_टिकैत_किसानों_की_आवाज_है', 'ghazipurborder', 'किसान_एकता_जिंदाबाद', 'किसान_आंदोलन_जारी_रहेगा', 'किसान']",[],78259714,78259714,ashutosh83B,ashutosh,3,19,https://twitter.com/ashutosh83B/status/1356967095854985222,['https://www.satyahindi.com/politics/jat-politics-in-kisan-andolan-116473.html'],[],0,,False,504,51,103,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
7,1356965184779083783,1356965184779083783,1612360685000.0,2021-02-03 19:28:05,+0530,,जींद: टिकैत का बढ़ता क़द मोदी सरकार के लिये बडी मुसीबत !   #किसान_आंदोलन #किसान_एकता_जिंदाबाद #किसानआंदोलन #किसान_विरोधी_कानून_वापस_लो #FarmersProtest #farmersrprotest #FarmerLivesMatter #Farmer #FarmersStandingFirm    https://t.co/1VVkH4dLjQ via,hi,"['किसान_आंदोलन', 'किसान_एकता_जिंदाबाद', 'किसानआंदोलन', 'किसान_विरोधी_कानून_वापस_लो', 'farmersprotest', 'farmersrprotest', 'farmerlivesmatter', 'farmer', 'farmersstandingfirm']",[],78259714,78259714,ashutosh83B,ashutosh,3,19,https://twitter.com/ashutosh83B/status/1356965184779083783,['https://www.satyahindi.com/india/kisan-mahapanchayat-in-jind-2-116477.html'],[],0,,False,1180,179,315,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
8,1356961025002668032,1356961025002668032,1612359694000.0,2021-02-03 19:11:34,+0530,,किसान आंदोलन:  हरियाणा की राजनीति में आयेगा बदलाव ?   #किसान_एकता_जिंदाबाद #किसान_के_लिए_बोले_भारत #किसान_आंदोलन_जारी_रहेगा #FarmersProtest #farmersrprotest #Farmer #FarmersStandingFirm    https://t.co/qG4Cp4ODoY via,hi,"['किसान_एकता_जिंदाबाद', 'किसान_के_लिए_बोले_भारत', 'किसान_आंदोलन_जारी_रहेगा', 'farmersprotest', 'farmersrprotest', 'farmer', 'farmersstandingfirm']",[],78259714,78259714,ashutosh83B,ashutosh,3,19,https://twitter.com/ashutosh83B/status/1356961025002668032,['https://www.satyahindi.com/haryana/inderjit-singh-goraya-quits-jjp-over-farm-laws-116482.html'],[],0,,False,436,27,81,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
9,1356927935933018113,1356927935933018113,1612351805000.0,2021-02-03 17:00:05,+0530,,मोदी जी व सरकार की देश के ही अन्नदाताओं के विरुद्ध  युद्ध की तैयारियां! #किसान_के_लिए_बोले_भारत  #किसान_एकता_जिंदाबाद  #मोदी_कायर_है  https://t.co/lp3EYuSkVI,hi,"['किसान_के_लिए_बोले_भारत', 'किसान_एकता_जिंदाबाद', 'मोदी_कायर_है']",[],923802156582428672,923802156582428672,rawat_ramniwas,Ramniwas Rawat,3,17,https://twitter.com/rawat_ramniwas/status/1356927935933018113,[],['https://pbs.twimg.com/media/EtTGwt8WYAEppzI.jpg'],1,https://pbs.twimg.com/media/EtTGwt8WYAEppzI.jpg,False,27,0,7,,#किसान_एकता_जिंदाबाद -filter:replies,,,,,,,[],,,,
