,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1357446335532736512,1357446335532736512,1612475401000.0,2021-02-05 03:20:01,+0530,,Has Bollywood actor @BeingSalmanKhan finally come out and shown his support towards to #FarmersProtest ?   Will others in the industry follow his lead and also show their support?   #IndianFarmersHumanRights #IStandWithFarmers #FarmersProtest #farmers #protest  https://t.co/5kJhG7Dx8c,en,"['farmersprotest', 'indianfarmershumanrights', 'istandwithfarmers', 'farmersprotest', 'farmers', 'protest']",[],102409502,102409502,BritAsiaTV,BritAsia TV,5,03,https://twitter.com/BritAsiaTV/status/1357446335532736512,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1357446254763118595/pu/img/LkuVFnB6YRdcuInt.jpg,False,2369,164,524,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
1,1357434339798241283,1357434339798241283,1612472541000.0,2021-02-05 02:32:21,+0530,,"“Different yet we’re all equal, Muslim, Hindu or Sikh we are all God’s people”. 🙏🇮🇳   #istandwithfarmers #supportfarmers #farmersprotest  https://t.co/Y9FWOaXkrE",en,"['istandwithfarmers', 'supportfarmers', 'farmersprotest']",[],368574724,368574724,TazzzArtist,TaZzZ,5,02,https://twitter.com/TazzzArtist/status/1357434339798241283,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1357434265802338309/pu/img/_qPhGUhjbGWqE9oa.jpg,False,46,2,14,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
2,1357389254712840196,1357389254712840196,1612461792000.0,2021-02-04 23:33:12,+0530,,Peaceful protest is a fundamental part of democracy. #IStandWithFarmers across India and support their right to protest their government.,en,['istandwithfarmers'],[],405706603,405706603,ChrisGloverMPP,Chris Glover,4,23,https://twitter.com/ChrisGloverMPP/status/1357389254712840196,[],[],0,,False,11,0,3,https://twitter.com/AndreaHorwath/status/1357095924816883713,#istandwithfarmers -filter:replies,,,,,,,[],,,,
3,1357378357021732866,1357378357021732866,1612459193000.0,2021-02-04 22:49:53,+0530,,#IStandWithFarmers,und,['istandwithfarmers'],[],190844922,190844922,1MichaelColeman,Michael Coleman,4,22,https://twitter.com/1MichaelColeman/status/1357378357021732866,[],[],0,,False,2,0,1,https://twitter.com/GretaThunberg/status/1357282507616645122,#istandwithfarmers -filter:replies,,,,,,,[],,,,
4,1357375267845586947,1357375267845586947,1612458457000.0,2021-02-04 22:37:37,+0530,,ਬਾਹਰਲਾ ਬਰਾਂਡ ਤਾ ਬਾਹਰਲਾ ਹੀ ਹੁੰਦਾ ਰਿਹਾਨਾ ਜੀ ਨੇ ਇਕ ਸਪ੍ਰੈ ਮਾਰਿਆ ਸਾਰੇ ਕੀੜੇ ਮਕੋੜੇ ਬਾਹਰ ਆ ਗਏ #kisanprotest #IStandWithFarmers #FarmersProstest #KisanEktaJindabaad ✊💪,pa,"['kisanprotest', 'istandwithfarmers', 'farmersprostest', 'kisanektajindabaad']",[],149373397,149373397,SukshnderShinda,Sukshinder Shinda,4,22,https://twitter.com/SukshnderShinda/status/1357375267845586947,[],[],0,,False,12353,342,2989,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
5,1357367244045512704,1357367244045512704,1612456544000.0,2021-02-04 22:05:44,+0530,,You can be #IndiaAgainstPropaganda and also be #IStandWithFarmers. Why are you choosing between the two?,en,"['indiaagainstpropaganda', 'istandwithfarmers']",[],19861550,19861550,PratimDGupta,Pratim Dasgupta,4,22,https://twitter.com/PratimDGupta/status/1357367244045512704,[],[],0,,False,172,4,13,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
6,1357345331076210693,1357345331076210693,1612451319000.0,2021-02-04 20:38:39,+0530,,"कटीले तारों और कीलों में फंसाकर किसानों को मारना चाहती है केन्द्र सरकार, किसान आंदोलन को कुचलने के लिये केन्द्र सरकार कर रही है गैर कानूनी कृत्य। #FarmersProtest #gazipurborder #IStandWithFarmers #IndiaWithFarmers  https://t.co/mmjwU2ADa8",hi,"['farmersprotest', 'gazipurborder', 'istandwithfarmers', 'indiawithfarmers']",[],2776406372,2776406372,PSKhachariyawas,Pratap Khachariyawas,4,20,https://twitter.com/PSKhachariyawas/status/1357345331076210693,[],['https://pbs.twimg.com/media/EtZCYkOU0AEqgIr.jpg'],1,https://pbs.twimg.com/media/EtZCYkOU0AEqgIr.jpg,False,197,22,21,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
7,1357341876429332482,1357341876429332482,1612450496000.0,2021-02-04 20:24:56,+0530,,"केजरीवाल सरकार का कड़ा निर्देश, सारी DTC बसें तुरंत लौटाओ!  दिल्ली पुलिस के ड्यूटी में तैनात जवानों की सुविधाएं के लिए दी गई बसें, किसान आंदोलन को कुचलने के लिए हुआ इस्तेमाल तो AAP सरकार ने जारी किए DTC बसों को वापस लौटाने के आदेश #IStandWithFarmers  https://t.co/Gpc9baIacr",hi,['istandwithfarmers'],[],1293819751353872384,1293819751353872384,aap_minority,AAP MINORITY WING UTTAR PRADESH,4,20,https://twitter.com/aap_minority/status/1357341876429332482,[],['https://pbs.twimg.com/media/EtY_PGQVgAACre2.jpg'],1,https://pbs.twimg.com/media/EtY_PGQVgAACre2.jpg,False,20,0,11,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
8,1357341121618223118,1357341121618223118,1612450316000.0,2021-02-04 20:21:56,+0530,,"राष्ट्र को समृद्ध #किसान करता है, सरकार नहीं। कील ठोकना ही था तो जाकर सीमाओं पर ठोकते!  किसी भी लोकतांत्रिक मुल्क में तानाशाही इसी रास्ते से आता है, अन्नदाताओं के साथ निर्मम व्यवहार मुल्क के लिए भारी ख़तरा साबित होगा!  #IStandWithFarmers",hi,"['किसान', 'istandwithfarmers']",[],1013432712,1013432712,JPNYadav,Jai Prakash Narayan Yadav,4,20,https://twitter.com/JPNYadav/status/1357341121618223118,[],[],0,,False,178,3,25,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
9,1357341042647863297,1357341042647863297,1612450297000.0,2021-02-04 20:21:37,+0530,,.@anutheraag brings you what’s happening on Twitter. 🐣  @taapsee @diljitdosanjh   #FarmersProtest #Rihaana #GretaThunberg #IStandWithFarmers #StandWithFarmers #KanganaRanaut #Taapsee #IndianFarmers #DiljitDosanjh #DiljitVsKangana  https://t.co/sEfMwQiz6y,en,"['farmersprotest', 'rihaana', 'gretathunberg', 'istandwithfarmers', 'standwithfarmers', 'kanganaranaut', 'taapsee', 'indianfarmers', 'diljitdosanjh', 'diljitvskangana']",[],1022353908172304384,1022353908172304384,TheZoomStudios,thezoomstudios,4,20,https://twitter.com/TheZoomStudios/status/1357341042647863297,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1357340599687417861/pu/img/qi9TWa8L0SmDDlpd.jpg,False,15,1,4,,#istandwithfarmers -filter:replies,,,,,,,[],,,,
