,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1356901503303184389,1356901503303184389,1612345503000.0,2021-02-03 15:15:03,+0530,,BJP के आदिवासी सांसद @TapirGao जी को सुनिए  मोदी जी किसानों को रोकने में लगे हैं दूसरी ओर चाइना धीरे धीरे गाँवो को बसा रहा है।  #FarmersProtest #bhakts #अब_किसान_कमल_काटेगा #Farmers #FarmersProstest #कबीलाई_किसान  https://t.co/mVSw5f5FoZ,hi,"['farmersprotest', 'bhakts', 'अब_किसान_कमल_काटेगा', 'farmers', 'farmersprostest', 'कबीलाई_किसान']",[],933622354277646336,933622354277646336,Chhotu_Vasava,Chhotubhai Vasava,3,15,https://twitter.com/Chhotu_Vasava/status/1356901503303184389,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1356899967617486848/pu/img/UABwg-I03F9_jqsL.jpg,False,634,16,273,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
1,1356886918365999104,1356886918365999104,1612342025000.0,2021-02-03 14:17:05,+0530,,वाह रे सत्ता  #अब_किसान_कमल_काटेगा  https://t.co/jX1JNXLMe0,hi,['अब_किसान_कमल_काटेगा'],[],927769840693194752,927769840693194752,AnumaVidisha,Wg Cdr Anuma Acharya (Retd),3,14,https://twitter.com/AnumaVidisha/status/1356886918365999104,[],['https://pbs.twimg.com/media/EtShdHvXUAEjSiP.jpg'],1,https://pbs.twimg.com/media/EtShdHvXUAEjSiP.jpg,False,193,3,53,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
2,1356874409022083075,1356874409022083075,1612339043000.0,2021-02-03 13:27:23,+0530,,"इतिहास के सबसे बड़े किसान आंदोलन पर हर कोई सवाल पूछ रहा है, लेकिन सरकार किसानों की मांगें मानने के बजाए उनकी आवाज को दबाने और आंदोलन खत्म करने में लगी हुई है।  जागो जागो मोदी सरकार बंद करो किसानों पर अत्याचार  #FarmersProtest #अब_किसान_कमल_काटेगा",hi,"['farmersprotest', 'अब_किसान_कमल_काटेगा']",[],804364597373190144,804364597373190144,officekiran,Kiran Choudhry,3,13,https://twitter.com/officekiran/status/1356874409022083075,[],[],0,,False,70,1,33,https://twitter.com/rihanna/status/1356625889602199552,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
3,1356872224360132608,1356872224360132608,1612338522000.0,2021-02-03 13:18:42,+0530,,"हर समस्या के साथ समाधान का भी जन्म होता है,   चक्रव्यूह को तोड़ने एक योद्धा भी जन्म लेता है.  #FarmersProtest #अब_किसान_कमल_काटेगा  @INCIndia @LambaAlka @INCChhattisgarh @HansrajMeena  https://t.co/dXv44G9ibQ",hi,"['farmersprotest', 'अब_किसान_कमल_काटेगा']",[],1249458391610576896,1249458391610576896,AijazDhebar,Aijaz Dhebar,3,13,https://twitter.com/AijazDhebar/status/1356872224360132608,[],['https://pbs.twimg.com/media/EtST9DSVkAA-__W.jpg'],1,https://pbs.twimg.com/media/EtST9DSVkAA-__W.jpg,False,192,0,40,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
4,1356856779842326530,1356856779842326530,1612334840000.0,2021-02-03 12:17:20,+0530,,क़बीले वालों के दिल जोड़िए मेरे सरदार  सरों को काट के सरदारियाँ नहीं चलतीं ~ कैफ़ भोपाली  #FarmersProtest #अब_किसान_कमल_काटेगा   @HansrajMeena  https://t.co/gutpkarQyu,hi,"['farmersprotest', 'अब_किसान_कमल_काटेगा']",[],1249458391610576896,1249458391610576896,AijazDhebar,Aijaz Dhebar,3,12,https://twitter.com/AijazDhebar/status/1356856779842326530,[],['https://pbs.twimg.com/media/EtSF09bUcAIZFY1.png'],1,https://pbs.twimg.com/media/EtSF09bUcAIZFY1.png,False,137,2,32,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
5,1356851970422632454,1356851970422632454,1612333693000.0,2021-02-03 11:58:13,+0530,,ना बिछा हमारी इस जमीन पर काँटे ज़ालिम माँ कहता है और ये हाल माँ का कर रहा है  #FarmersProtest #अब_किसान_कमल_काटेगा  https://t.co/NA6dwOeb5F,hi,"['farmersprotest', 'अब_किसान_कमल_काटेगा']",[],804364597373190144,804364597373190144,officekiran,Kiran Choudhry,3,11,https://twitter.com/officekiran/status/1356851970422632454,[],['https://pbs.twimg.com/media/EtSBexxU0AEhvAE.jpg'],1,https://pbs.twimg.com/media/EtSBexxU0AEhvAE.jpg,False,205,5,75,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
6,1356846787328237569,1356846787328237569,1612332457000.0,2021-02-03 11:37:37,+0530,,@RLPINDIAorg संयोजक @hanumanbeniwal जी के निर्देशानुसार 5 फरवरी क़ो सभी जिला मुख्यालयों पर किसान विरोधी काले कानूनों के विरोध मे़ ट्रेक्टर परेड का आयोजन किया गया @NarayanBeniwal7 @ErPukhrajgarg @Indira_Bawari    #Spurdhachoudhary   #अब_किसान_कमल_काटेगा  #FarmerProtest  https://t.co/mqusFUerKA,hi,"['spurdhachoudhary', 'अब_किसान_कमल_काटेगा', 'farmerprotest']",[],751456498350428160,751456498350428160,SpurdhaOfficial,Dr.Spurdha Choudhary,3,11,https://twitter.com/SpurdhaOfficial/status/1356846787328237569,[],['https://pbs.twimg.com/media/EtR89GvU0AIkSzU.jpg'],1,https://pbs.twimg.com/media/EtR89GvU0AIkSzU.jpg,False,31,0,7,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
7,1356846320888160256,1356846320888160256,1612332346000.0,2021-02-03 11:35:46,+0530,,@RLPINDIAorg संयोजक @hanumanbeniwal जी के निर्देशानुसार 5 फरवरी क़ो सभी जिला मुख्यालयों पर किसान विरोधी काले कानूनों के विरोध मे़ ट्रेक्टर परेड का आयोजन किया गया  सभी जिलाध्यक्ष पदाधिकारी ट्रैक्टर परेड की तैयार में जुट जाएं #Spurdhachoudhary  #अब_किसान_कमल_काटेगा  #FarmerProtest  https://t.co/kiBYW66iMw,hi,"['spurdhachoudhary', 'अब_किसान_कमल_काटेगा', 'farmerprotest']",[],751456498350428160,751456498350428160,SpurdhaOfficial,Dr.Spurdha Choudhary,3,11,https://twitter.com/SpurdhaOfficial/status/1356846320888160256,[],['https://pbs.twimg.com/media/EtR8h8hVEAEKDCr.jpg'],1,https://pbs.twimg.com/media/EtR8h8hVEAEKDCr.jpg,False,85,1,16,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
8,1356838142335062016,1356838142335062016,1612330396000.0,2021-02-03 11:03:16,+0530,,"मेरा देश महान है.. 300 किलो RDX कहां से आया.?  इसकी जांच के बजाय किसान आंदोलन में आटा ,पानी कहां से आ रहा है उसकी जांच हो रही है...?  #FarmersProtest #Spurdhachoudhary   #अब_किसान_कमल_काटेगा",hi,"['farmersprotest', 'spurdhachoudhary', 'अब_किसान_कमल_काटेगा']",[],751456498350428160,751456498350428160,SpurdhaOfficial,Dr.Spurdha Choudhary,3,11,https://twitter.com/SpurdhaOfficial/status/1356838142335062016,[],[],0,,False,264,0,53,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
9,1356834742872596480,1356834742872596480,1612329586000.0,2021-02-03 10:49:46,+0530,,"कर्मचारी, किसान, मज़दूर, नौजवान, महिला सब अब भाजपा के ख़िलाफ़ हड़ताल कर रहे हैं, लेकिन सरकार इतनी निष्ठुर हो गई है कि इसे आमजन का दर्द महसूस ही नहीं होता।  आखिर यह हठधर्मी और असंवेदनशीलता कब ख़त्म होगी? #अब_किसान_कमल_काटेगा #FarmersProtest #किसान_के_लिए_बोले_भारत  https://t.co/Vq6bdpVj5j",hi,"['अब_किसान_कमल_काटेगा', 'farmersprotest', 'किसान_के_लिए_बोले_भारत']",[],804364597373190144,804364597373190144,officekiran,Kiran Choudhry,3,10,https://twitter.com/officekiran/status/1356834742872596480,[],['https://pbs.twimg.com/media/EtRx4pxU4AUtcFB.jpg'],1,https://pbs.twimg.com/media/EtRx4pxU4AUtcFB.jpg,False,90,1,38,,#अब_किसान_कमल_काटेगा,,,,,,,[],,,,
