,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1357740864374767619,1357740864374767619,1612545622000.0,2021-02-05 22:50:22,+0530,,Sending lots of love and duas to all my pehn praas involved in the #indianfarmersprotest! #IStandWithFarmers #IStandWithTheFarmers #IndianFarmersHumanRights #RihannaSupportsIndianFarmers #FarmersAreIndia  https://t.co/wyWCFQiAM0,en,"['indianfarmersprotest', 'istandwithfarmers', 'istandwiththefarmers', 'indianfarmershumanrights', 'rihannasupportsindianfarmers', 'farmersareindia']",[],3290558421,3290558421,aak1880,Aisha Ali-Khan,5,22,https://twitter.com/aak1880/status/1357740864374767619,[],['https://pbs.twimg.com/media/EteqHYOXcAY1Elz.jpg'],1,https://pbs.twimg.com/media/EteqHYOXcAY1Elz.jpg,False,3,0,1,,#rihannasupportsindianfarmers,,,,,,,[],,,,
1,1357723873895088129,1357723873895088129,1612541571000.0,2021-02-05 21:42:51,+0530,,Had to share this!  #FarmersProstest #FarmersStandingFirm #RihannaSupportsIndianFarmers #RIHANA  https://t.co/KlaXpQVV2a,en,"['farmersprostest', 'farmersstandingfirm', 'rihannasupportsindianfarmers', 'rihana']",[],628633414,628633414,itweet_faru,farah khatoon,5,21,https://twitter.com/itweet_faru/status/1357723873895088129,[],['https://pbs.twimg.com/media/EteaqMSVkAMNno_.jpg'],1,https://pbs.twimg.com/media/EteaqMSVkAMNno_.jpg,False,4,0,0,,#rihannasupportsindianfarmers,,,,,,,[],,,,
2,1357709449603948546,1357709449603948546,1612538132000.0,2021-02-05 20:45:32,+0530,,From social media... #FarmersProtest  #RihannaSupportsIndianFarmers   Just for fun...  https://t.co/5Ht9nPxKPX,en,"['farmersprotest', 'rihannasupportsindianfarmers']",[],58409919,58409919,dineshakula,dinesh akula,5,20,https://twitter.com/dineshakula/status/1357709449603948546,[],['https://pbs.twimg.com/media/EteNjFeVcAE5c26.jpg'],1,https://pbs.twimg.com/media/EteNjFeVcAE5c26.jpg,False,4,0,0,,#rihannasupportsindianfarmers,,,,,,,[],,,,
3,1357705843219648512,1357705843219648512,1612537272000.0,2021-02-05 20:31:12,+0530,,Pop-star Rihanna received Rs 18 Cr for tweet on farmers' protests: Report  https://t.co/9zS7asAlHf   #news #RIHANA #IndiaglitzTelugu #RihannaSupportsIndianFarmers,en,"['news', 'rihana', 'indiaglitztelugu', 'rihannasupportsindianfarmers']",[],52877595,52877595,igtelugu,IndiaGlitz Telugu™,5,20,https://twitter.com/igtelugu/status/1357705843219648512,['https://www.indiaglitz.com/pop-star-rihanna-received-rs-18-cr-for-tweet-on-farmers-protests-report-telugu-news-279849'],[],0,,False,1,0,2,,#rihannasupportsindianfarmers,,,,,,,[],,,,
4,1357683119772499968,1357683119772499968,1612531854000.0,2021-02-05 19:00:54,+0530,,"ग्रेटा आणि रिहाना, बंद करा तुमचा टीका करण्याचा बहाणा; रामदास आठवलेंचा काव्यमय टोला #RihannaSupportsIndianFarmers #Rihanna #RihannaWithFarmers #GretaThunberg    https://t.co/d0B83lmKSg",mr,"['rihannasupportsindianfarmers', 'rihanna', 'rihannawithfarmers', 'gretathunberg']",[],3360174258,3360174258,TV9Marathi,TV9 Marathi,5,19,https://twitter.com/TV9Marathi/status/1357683119772499968,['https://www.tv9marathi.com/maharashtra/ramdas-athawale-slams-greta-thunberg-and-rihanna-over-farmers-protest-390402.html'],[],0,,False,37,4,1,,#rihannasupportsindianfarmers,,,,,,,[],,,,
5,1357679021593485315,1357679021593485315,1612530877000.0,2021-02-05 18:44:37,+0530,,ವೆಸ್ಟ್  ಇಂಡೀಸ್ ಧ್ವಜದ ಬದಲು ರಿಹಾನ್ನಾ ಕೈಯಲ್ಲಿ  ಪಾಕ್   ಧ್ವಜವಿರುವಂತೆ ಫೋಟೊಶಾಪ್ !  https://t.co/xCpUrneGcS #FactCheck  #RihannaSupportsIndianFarmers  #Rihanna  #FarmersProstest  #Pakistan,kn,"['factcheck', 'rihannasupportsindianfarmers', 'rihanna', 'farmersprostest', 'pakistan']",[],145540592,145540592,tv9kannada,TV9 Kannada,5,18,https://twitter.com/tv9kannada/status/1357679021593485315,['https://tv9kannada.com/national/factcheck-photo-of-rihanna-with-pakistan-flag-viral-in-social-media-183684.html'],[],0,,False,2,1,1,,#rihannasupportsindianfarmers,,,,,,,[],,,,
6,1357674818502467589,1357674818502467589,1612529875000.0,2021-02-05 18:27:55,+0530,,"কৃষকদের জন্য টুইট করতে ১০০ কোটি নিয়েছেন Rihanna, Kangana-র দাবিতে তোলপাড় #zee24ghanta #RihannaSupportsIndianFarmers #Kangana @KanganaTeam @rihanna   https://t.co/JWujdblB0T",bn,"['zee24ghanta', 'rihannasupportsindianfarmers', 'kangana']",[],468250625,468250625,Zee24Ghanta,zee24ghanta,5,18,https://twitter.com/Zee24Ghanta/status/1357674818502467589,['https://zeenews.india.com/bengali/entertainment/farmers-protest-kangana-ranaut-attacks-rihanna-again_367032.html'],[],0,,False,10,6,2,,#rihannasupportsindianfarmers,,,,,,,[],,,,
7,1357670222535086085,1357670222535086085,1612528780000.0,2021-02-05 18:09:40,+0530,,এক নজরে রিহানাকে জেনে নিন  @rihanna #RihannaSupportsIndianFarmers    https://t.co/K8BjnTczZc,bn,['rihannasupportsindianfarmers'],[],1114051056084893697,1114051056084893697,AsianetNewsBN,Asianetnews Bangla,5,18,https://twitter.com/AsianetNewsBN/status/1357670222535086085,['https://bit.ly/3aALDfN'],[],0,,False,0,0,0,,#rihannasupportsindianfarmers,,,,,,,[],,,,
8,1357668852096786437,1357668852096786437,1612528453000.0,2021-02-05 18:04:13,+0530,,#FarmersProtest पर Rihanna की तारीफवाले ट्वीट को Twitter CEO जैक डॉर्सी ने क्यों किया LIKE #RIRI #RihannaSupportsIndianFarmers #Rihanna #twitterCEO #JackDorsey   https://t.co/vsGYo9k6jP,hi,"['farmersprotest', 'riri', 'rihannasupportsindianfarmers', 'rihanna', 'twitterceo', 'jackdorsey']",[],2354323903,2354323903,prabhatkhabar,Prabhat Khabar,5,18,https://twitter.com/prabhatkhabar/status/1357668852096786437,['https://www.prabhatkhabar.com/tech-and-auto/why-twitter-ceo-jack-dorsey-liked-tweets-praising-rihanna-on-farmers-protest-all-you-want-to-know-latest-news-in-hindi-rjv'],[],0,,False,10,1,2,,#rihannasupportsindianfarmers,,,,,,,[],,,,
9,1357639321025536001,1357639321025536001,1612521412000.0,2021-02-05 16:06:52,+0530,,ತನ್ನನ್ನು ತಾನು ಬ್ಯಾಡ್ ಗರ್ಲ್ ಅನ್ನೋ ರಿಹಾನಾ ಸೆಕ್ಸ್ ಬಗ್ಗೆ ಸಿಕ್ಕಾಪಟ್ಟೆ ಬೋಲ್ಡ್ #Rihanna #RihannaSupportsIndianFarmers #RihannaSoldOut #RihannaWithFarmers #rihannagang #singer #PHOTOS @rihanna    https://t.co/BAIpjtf5Xy,kn,"['rihanna', 'rihannasupportsindianfarmers', 'rihannasoldout', 'rihannawithfarmers', 'rihannagang', 'singer', 'photos']",[],291585081,291585081,AsianetNewsSN,Asianet Suvarna News,5,16,https://twitter.com/AsianetNewsSN/status/1357639321025536001,['https://kannada.asianetnews.com/gallery/cine-world/rihanna-shares-bold-and-hot-photos-with-her-fans-claim-herself-bad-girl-dpl-qo1wrq'],[],0,,False,3,5,0,,#rihannasupportsindianfarmers,,,,,,,[],,,,
10,1357638880053383168,1357638880053383168,1612521307000.0,2021-02-05 16:05:07,+0530,,"Ever since @Rihanna tweeted about the ongoing farmers’ protest in India, many Twitter users in India indulged in trolling her online with some even going to the extent of linking her to #Pakistan   #farmersprotest  #RihannaSupportsIndianFarmers  Read here:  https://t.co/LMd3tqlOLl",en,"['pakistan', 'farmersprotest', 'rihannasupportsindianfarmers']",[],22763833,22763833,Outlookindia,Outlook Magazine,5,16,https://twitter.com/Outlookindia/status/1357638880053383168,['https://www.outlookindia.com/website/story/india-news-fake-photo-of-rihanna-holding-pakistani-flag-goes-viral-after-her-tweets-on-farmers-protest/373308'],[],0,,False,6,1,1,,#rihannasupportsindianfarmers,,,,,,,[],,,,
11,1357637912838496256,1357637912838496256,1612521076000.0,2021-02-05 16:01:16,+0530,,पत्राद्वारे रिहानाच्या देशाच्या पंतप्रधानांनी PM मोदींचे आभार मानले आहेत  https://t.co/qq3V2nT37Z #RihannaSupportsIndianFarmers #Rihanna,mr,"['rihannasupportsindianfarmers', 'rihanna']",[],190284083,190284083,News18lokmat,News18Lokmat,5,16,https://twitter.com/News18lokmat/status/1357637912838496256,['https://lokmat.news18.com/videsh/india-ignores-rihanna-barb-and-donates-corona-vaccine-to-barbados-gh-519016.html'],[],0,,False,8,2,1,,#rihannasupportsindianfarmers,,,,,,,[],,,,
12,1357634532724203523,1357634532724203523,1612520270000.0,2021-02-05 15:47:50,+0530,,मोदी सरकार को बदनाम करने के लिए रिहाना को दिए 18 करोड़!  @narendramodi @JustinTrudeau @AmitShahOffice @rihanna @GretaThunberg  #FarmersProtest #KisanAndolan #RihannaSupportsIndianFarmers #IndiaAgainstPropaganda #NarendraModi    https://t.co/3G3w9isEB7,hi,"['farmersprotest', 'kisanandolan', 'rihannasupportsindianfarmers', 'indiaagainstpropaganda', 'narendramodi']",[],1039015705,1039015705,NewsNationTV,News Nation,5,15,https://twitter.com/NewsNationTV/status/1357634532724203523,['https://www.newsnationtv.com/india/news/rihanna-paid-18-crores-for-tweeting-in-favour-of-farmers-protest-176470.html'],[],0,,False,111,21,40,,#rihannasupportsindianfarmers,,,,,,,[],,,,
