,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1357821175657869317,1357821175657869317,1612564770000.0,2021-02-06 04:09:30,+0530,,I stand in solidarity with the #FarmersProtest and support their demands for fair and just rights.    https://t.co/cXkniMleWE  #ਕਿਸਾਨ_ਮਜਦੂਰ_ਏਕਤਾ_ਜਿੰਦਾਬਾਦ #ਮੋਦੀ_ਰਾਜ_ਮੁਰਦਾਬਾਦ #किसान_एकता_जिंदाबाद  #मोदी_राज_मुर्दाबाद,en,"['farmersprotest', 'ਕਿਸਾਨ_ਮਜਦੂਰ_ਏਕਤਾ_ਜਿੰਦਾਬਾਦ', 'ਮੋਦੀ_ਰਾਜ_ਮੁਰਦਾਬਾਦ', 'किसान_एकता_जिंदाबाद', 'मोदी_राज_मुर्दाबाद']",[],3311036150,3311036150,HMAesq,Hassan Ahmad,6,04,https://twitter.com/HMAesq/status/1357821175657869317,['http://standwithfarmers.co/hmaesq'],[],0,,False,4,1,2,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
1,1357774280877092869,1357774280877092869,1612553589000.0,2021-02-06 01:03:09,+0530,,"कह दो तानाशाहों से,  हट जाएं अब राहों से ""इंकलाब इंक़लाब""  गाता आ रहा है,  अन्नदाता आ रहा है अन्नदाता आ रहा है #किसान_एकता_जिंदाबाद @RakeshTikaitBKU @nstomar  https://t.co/sKZmPvr1FK",hi,['किसान_एकता_जिंदाबाद'],[],443006491,443006491,DhillonVijay,Vijay Dhillon,6,01,https://twitter.com/DhillonVijay/status/1357774280877092869,[],['https://pbs.twimg.com/media/EtfIgw2WYAwVesq.jpg'],1,https://pbs.twimg.com/media/EtfIgw2WYAwVesq.jpg,False,15,0,3,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
2,1357753388075675649,1357753388075675649,1612548608000.0,2021-02-05 23:40:08,+0530,,यह तस्वीर बयां करती है कि ये देश की नेता और अभिनेता की ताकत से नही बल्कि इस देश के करोड़ों किसान और मज़दूरों की ताकत और एकता से चलेगा ।।  #किसान_एकता_जिंदाबाद  #FarmersStandingFirm   @RahulGandhi @priyankagandhi @srinivasiyc @Allavaru  https://t.co/k05vdBVGCw,hi,"['किसान_एकता_जिंदाबाद', 'farmersstandingfirm']",[],833922960,833922960,sheshnojha,Shesh Narayan Ojha,5,23,https://twitter.com/sheshnojha/status/1357753388075675649,[],['https://pbs.twimg.com/media/Ete1gDTUUAIvENM.jpg'],1,https://pbs.twimg.com/media/Ete1gDTUUAIvENM.jpg,False,40,0,24,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
3,1357727572092592129,1357727572092592129,1612542453000.0,2021-02-05 21:57:33,+0530,,लगता है अभी भी #NamasteTrump की यादों में है साल जो होने आया है  #Stop_Lateral_Entry  #FarmersProtest #किसान_एकता_जिंदाबाद #Kashmir #KisanAndolan   #काकरी_डूंगरी_मुकदमे_वापस_लो  https://t.co/QiVkyuRk7W,hi,"['namastetrump', 'stop_lateral_entry', 'farmersprotest', 'किसान_एकता_जिंदाबाद', 'kashmir', 'kisanandolan', 'काकरी_डूंगरी_मुकदमे_वापस_लो']",[],933622354277646336,933622354277646336,Chhotu_Vasava,Chhotubhai Vasava,5,21,https://twitter.com/Chhotu_Vasava/status/1357727572092592129,[],['https://pbs.twimg.com/media/EteeAbjUUAAdIsX.jpg'],1,https://pbs.twimg.com/media/EteeAbjUUAAdIsX.jpg,False,42,2,11,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
4,1357702342053945345,1357690987544342529,1612536437000.0,2021-02-05 20:17:17,+0530,,@narendramodi @nstomar झूठ 100 बार कहोगे तो भी झूठ को झूठ कहा जाएगा। #किसान_एकता_जिंदाबाद,hi,['किसान_एकता_जिंदाबाद'],[],443006491,443006491,DhillonVijay,Vijay Dhillon,5,20,https://twitter.com/DhillonVijay/status/1357702342053945345,[],[],0,,False,47,1,2,,#किसान_एकता_जिंदाबाद,,,,,,,"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}, {'screen_name': 'nstomar', 'name': 'Narendra Singh Tomar', 'id': '2591161099'}]",,,,
5,1357697317764177924,1357697317764177924,1612535240000.0,2021-02-05 19:57:20,+0530,,कृषि क़ानूनों के ख़िलाफ़ किसानों का चक्का जाम कल -   #किसान_एकता_जिंदाबाद #किसान_आंदोलन_जारी_रहेगा #किसान_विरोधी_मीडिया #FarmersProstest #FarmersStandingFirm #ChakkaJaam #ChakkaJaamAndolan #ChakkaJam    https://t.co/LNekARu18W via,hi,"['किसान_एकता_जिंदाबाद', 'किसान_आंदोलन_जारी_रहेगा', 'किसान_विरोधी_मीडिया', 'farmersprostest', 'farmersstandingfirm', 'chakkajaam', 'chakkajaamandolan', 'chakkajam']",[],78259714,78259714,ashutosh83B,ashutosh,5,19,https://twitter.com/ashutosh83B/status/1357697317764177924,['https://www.satyahindi.com/india/chakka-jam-by-farmers-against-farm-laws-2020-116532.html'],[],0,,False,244,43,39,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
6,1357696771405737987,1357696771405737987,1612535109000.0,2021-02-05 19:55:09,+0530,,शामली की ये महापंचायत बीजेपी को बहुत तकलीफ देगी !   #ChakkaJaam #किसान_एकता_जिंदाबाद #किसान_आंदोलन_जारी_रहेगा #किसान_नहीं_राजनीतिक_आंदोलन #FarmersProstest #FarmersStandingFirm #FarmerProtests   -  https://t.co/UdlFAP4fBj via,hi,"['chakkajaam', 'किसान_एकता_जिंदाबाद', 'किसान_आंदोलन_जारी_रहेगा', 'किसान_नहीं_राजनीतिक_आंदोलन', 'farmersprostest', 'farmersstandingfirm', 'farmerprotests']",[],78259714,78259714,ashutosh83B,ashutosh,5,19,https://twitter.com/ashutosh83B/status/1357696771405737987,['https://www.satyahindi.com/uttar-pradesh/kisan-mahapanchayat-in-western-up-shamli-2-116525.html'],[],0,,False,1040,95,205,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
7,1357684131916783616,1357684131916783616,1612532096000.0,2021-02-05 19:04:56,+0530,,कृषि बिलो के विरोध को लेकर पूरा किसान वर्ग आज किसान आन्दोलन के साथ है इसलिए सरकार को अब समझ जाना चाहिए कि किसान अपने हक के लिए लड़ेगा भी ओर जीतेगा भी। किसान महापंचायत से एक दृश्य || #FarmersProstest #किसान_एकता_जिंदाबाद  https://t.co/MG5RZeTqmb,hi,"['farmersprostest', 'किसान_एकता_जिंदाबाद']",[],779282123437903872,779282123437903872,AbhaySChautala,Abhay Singh Chautala,5,19,https://twitter.com/AbhaySChautala/status/1357684131916783616,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1357683804329099264/pu/img/kGe2r2voPqNr8Km8.jpg,False,1126,35,195,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
8,1357682613964599297,1357682613964599297,1612531734000.0,2021-02-05 18:58:54,+0530,,किसान आन्दोलन के समर्थन में ट्रेक्टर परेड @ जिला हनुमानगढ़ #किसान_एकता_जिंदाबाद  https://t.co/DColmyaWWE,hi,['किसान_एकता_जिंदाबाद'],[],1056936156619833345,1056936156619833345,RLPINDIAorg,Rashtriya Loktantrik Party,5,18,https://twitter.com/RLPINDIAorg/status/1357682613964599297,[],"['https://pbs.twimg.com/media/Etd1HL1VIAAL3rg.jpg', 'https://pbs.twimg.com/media/Etd1H1_VEAE_b6h.jpg', 'https://pbs.twimg.com/media/Etd1IflVkAEQnA4.jpg']",1,https://pbs.twimg.com/media/Etd1HL1VIAAL3rg.jpg,False,640,14,71,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
9,1357682340202381312,1357682340202381312,1612531669000.0,2021-02-05 18:57:49,+0530,,किसान आन्दोलन के समर्थन में ट्रेक्टर परेड @ जिला जैसलेमर #किसान_एकता_जिंदाबाद  https://t.co/GcSskuTBAN,hi,['किसान_एकता_जिंदाबाद'],[],1056936156619833345,1056936156619833345,RLPINDIAorg,Rashtriya Loktantrik Party,5,18,https://twitter.com/RLPINDIAorg/status/1357682340202381312,[],"['https://pbs.twimg.com/media/Etd03J_U0AALLLJ.jpg', 'https://pbs.twimg.com/media/Etd03zAVoAQxGqf.jpg', 'https://pbs.twimg.com/media/Etd04VyUcAQA7YV.jpg', 'https://pbs.twimg.com/media/Etd040QVgAEYdfB.jpg']",1,https://pbs.twimg.com/media/Etd03J_U0AALLLJ.jpg,False,645,5,63,,#किसान_एकता_जिंदाबाद,,,,,,,[],,,,
