,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1366032122016911361,1366032122016911361,1614522412000.0,2021-02-28 19:56:52,+0530,,"Farmers announce series of Mahapanchayats in March, BKU leader Rakesh Tikait to attend all  https://t.co/m0Mp37U4Ws #FarmersProtests #RakeshTiket #Mahapanchayat",en,"['farmersprotests', 'rakeshtiket', 'mahapanchayat']",[],17710740,17710740,dna,DNA,7,19,https://twitter.com/dna/status/1366032122016911361,['https://www.dnaindia.com/india/report-farmers-announce-series-of-mahapanchayats-in-march-bku-leader-rakesh-tikait-to-attend-all-2878246'],[],0,,False,14,1,4,,#mahapanchayat,,,,,,,[],,,,
1,1366017035826724864,1366017035826724864,1614518815000.0,2021-02-28 18:56:55,+0530,,"Delhi CM अरविंद केजरीवाल के भाषण के वो पांच बिंदु, जिससे यूपी विधानसभा चुनाव 2022 की तैयार कर गए पृ‍ष्‍ठभूमि #ArvindKejriwal #Meerut #Mahapanchayat   https://t.co/QrCDn8s3PC",hi,"['arvindkejriwal', 'meerut', 'mahapanchayat']",[],64639742,64639742,JagranNews,Dainik Jagran,7,18,https://twitter.com/JagranNews/status/1366017035826724864,['https://www.jagran.com/uttar-pradesh/meerut-city-know-five-points-of-delhi-cm-arvind-kejriwal-speech-in-meerut-which-was-related-from-up-assembly-election-2022-21414623.html?itm_source=website&itm_medium=homepage&itm_campaign=p1_component'],[],0,,False,28,0,3,,#mahapanchayat,,,,,,,[],,,,
2,1365993362780606469,1365993362780606469,1614513171000.0,2021-02-28 17:22:51,+0530,,Top Headlines At This Hour: Delhi CM Kejriwal accuses BJP behind violence on Republic Day #Mahapanchayat @ArvindKejriwal @PMOIndia @BJP4India @DelhiPolice @CPDelhi  https://t.co/f9Sc92ruuy,en,['mahapanchayat'],[],979273137136300032,979273137136300032,IndiaAheadNews,India Ahead News,7,17,https://twitter.com/IndiaAheadNews/status/1365993362780606469,[],[],1,https://pbs.twimg.com/media/EvT7tPUU4AUHqPk.jpg,False,3,1,2,,#mahapanchayat,,,,,,,[],,,,
3,1365989877112840193,1365989877112840193,1614512340000.0,2021-02-28 17:09:00,+0530,,"केजरीवाल की महापंचायत:दिल्ली के CM ने UP में PM पर तंज कसा; बोले- लाल किले वाला कांड इन्होंने खुद कराया, इतने जुल्म अंग्रेजों ने भी नहीं किए  https://t.co/CbpVtnBWRc #ArvindKejriwal @ArvindKejriwal @narendramodi @myogiadityanath @AamAadmiParty #RedFort #UttarPradesh #mahapanchayat",hi,"['arvindkejriwal', 'redfort', 'uttarpradesh', 'mahapanchayat']",[],67378160,67378160,DainikBhaskar,Dainik Bhaskar,7,17,https://twitter.com/DainikBhaskar/status/1365989877112840193,['https://www.bhaskar.com/local/uttar-pradesh/news/delhi-cm-arvind-kejriwal-aam-aadmi-party-mahapanchayat-in-uttar-pradesh-meerut-today-news-and-updates-128275468.html'],[],0,,False,76,10,13,,#mahapanchayat,,,,,,,[],,,,
4,1365963393589370883,1365963393589370883,1614506026000.0,2021-02-28 15:23:46,+0530,,"किसान आंदोलन में खुलकर सामने आई @AamAadmiParty, दिल्ली के सीएम @ArvindKejriwal पंचायत में शामिल हुए  #KisanAndolan  #Mahapanchayat  @RakeshTikaitBKU  ZEE Hindustan Live :  https://t.co/YP8BL1HDfk  https://t.co/7UmisZ0cD3",hi,"['kisanandolan', 'mahapanchayat']",[],3989159413,3989159413,Zee_Hindustan,ZEE HINDUSTAN,7,15,https://twitter.com/Zee_Hindustan/status/1365963393589370883,['http://bit.ly/3bPdSbe'],[],1,https://pbs.twimg.com/amplify_video_thumb/1365960528418410500/img/iq9f-EqpnlRqS1DG.jpg,False,2,2,0,,#mahapanchayat,,,,,,,[],,,,
5,1365957796437499907,1365957796437499907,1614504691000.0,2021-02-28 15:01:31,+0530,,.@ArvindKejriwal - 70 साल से किसान फसलों का सही दाम मांग रहे हैं   #KisanAndolan  #Mahapanchayat  @RakeshTikaitBKU   ZEE Hindustan Live :  https://t.co/YP8BL1HDfk  https://t.co/8xS7VJiffV,hi,"['kisanandolan', 'mahapanchayat']",[],3989159413,3989159413,Zee_Hindustan,ZEE HINDUSTAN,7,15,https://twitter.com/Zee_Hindustan/status/1365957796437499907,['http://bit.ly/3bPdSbe'],['https://pbs.twimg.com/media/EvTauVwUUAM9KNW.jpg'],1,https://pbs.twimg.com/media/EvTauVwUUAM9KNW.jpg,False,0,2,0,,#mahapanchayat,,,,,,,[],,,,
6,1365947750479634432,1365947750479634432,1614502296000.0,2021-02-28 14:21:36,+0530,,"उत्तर प्रदेश में आगे भी किसानों की महापंचायतें की जाएंगी: अथर जैदी, प्रवक्ता आप  #FarmersProtest #Mahapanchayat  https://t.co/ly6TUJe2UZ",hi,"['farmersprotest', 'mahapanchayat']",[],249643872,249643872,ndtvvideos,NDTV Videos,7,14,https://twitter.com/ndtvvideos/status/1365947750479634432,[],[],1,https://pbs.twimg.com/media/EvTSCAQVcAEdqrr.jpg,False,234,8,24,,#mahapanchayat,,,,,,,[],,,,
7,1365942594866319360,1365942594866319360,1614501067000.0,2021-02-28 14:01:07,+0530,,अगर BJP किसानों की सुनती तो वो 100 दिनों से धरने पर नहीं बैठते: संजय सिंह  #FarmersProtest #Mahapanchayat  https://t.co/Wzk4D5Z48O,hi,"['farmersprotest', 'mahapanchayat']",[],249643872,249643872,ndtvvideos,NDTV Videos,7,14,https://twitter.com/ndtvvideos/status/1365942594866319360,[],[],1,https://pbs.twimg.com/media/EvTNbBrUcAErH0W.jpg,False,737,10,91,,#mahapanchayat,,,,,,,[],,,,
8,1365941355579469825,1365941355579469825,1614500771000.0,2021-02-28 13:56:11,+0530,,"आम आदमी पार्टी के प्रदेश अध्यक्ष का दावा, पूरे देश में सुनाई देगी मेरठ महापंचायत की गूंज  https://t.co/HMy4uJhs0x  #Lucknow #SabhajeetSingh #AamAadmiParty #Meerut #ArvindKejriwal #Mahapanchayat #KisanAndolan  https://t.co/6iUyKu7qYo",hi,"['lucknow', 'sabhajeetsingh', 'aamaadmiparty', 'meerut', 'arvindkejriwal', 'mahapanchayat', 'kisanandolan']",[],80304808,80304808,punjabkesari,Punjab Kesari,7,13,https://twitter.com/punjabkesari/status/1365941355579469825,['https://m.up.punjabkesari.in/uttar-pradesh/news/meerut-mahapanchayat-will-be-heard-all-over-the-country-sabhajeet-1339632?utm_source=twitterbot&utm_medium=social'],['https://pbs.twimg.com/media/EvTMbMFU4AMhMOM.jpg'],1,https://pbs.twimg.com/media/EvTMbMFU4AMhMOM.jpg,False,8,0,2,,#mahapanchayat,,,,,,,[],,,,
9,1365928943900008448,1365928943900008448,1614497812000.0,2021-02-28 13:06:52,+0530,,"किसान आंदोलन का आज 95वां दिन, मेरठ में दिल्ली के सीएम केजरीवाल की महापंचायत  #MahaPanchayat #ArvindKejriwal #FarmersProtest #ABPGanga   https://t.co/txBzrgTlfN  https://t.co/uKk8cBBF7F",hi,"['mahapanchayat', 'arvindkejriwal', 'farmersprotest', 'abpganga']",[],1090885330163494914,1090885330163494914,AbpGanga,ABP Ganga,7,13,https://twitter.com/AbpGanga/status/1365928943900008448,['https://www.abplive.com/abp-ganga-live-tv'],[],1,https://pbs.twimg.com/media/EvS_zt3VcAAXiAK.jpg,False,2,0,1,,#mahapanchayat,,,,,,,[],,,,
