,id,date,tweet,hashtags,user_id,username,name,link,urls,nlikes,nretweets,nreplies
0,1390319431625084933,2021-05-06 20:25:58,WATCH LIVE: Agriculture commissioner Nikki Fried responds to the controversial elections bill signed by Gov. DeSantis in West Palm Beach.  https://t.co/SOpd0ZmxUc  https://t.co/bo5EX2igFT,[],15606755,CBS12,WPEC CBS12 News,https://twitter.com/CBS12/status/1390319431625084933,"['https://bit.ly/3xKVGKd', 'https://twitter.com/i/broadcasts/1vOxwEqPyjgGB']",11,5,6
1,1390271485026111490,2021-05-06 17:15:26,"Speaking at the ongoing public hearing on the Public Health Emergency Bill, representatives of the Minister of Agriculture said, over 60% of infectious diseases are transmitted from animals to humans. Thus there is a need for a multi-sectoral approach in designing the Bill.  https://t.co/xTl07zS9yd",[],470914193,YIAGA,#NotTooYoungToRun,https://twitter.com/YIAGA/status/1390271485026111490,[],0,1,0
2,1390154735873925123,2021-05-06 09:31:31,@stateinnovation Love this!! I passed an urban agriculture bill and it’s sitting on the governors desk. My reason for filing is reflected in your piece.,[],720845823001505793,micheleforfl,Michele Rayner-Goolsby (She/They),https://twitter.com/micheleforfl/status/1390154735873925123,[],6,0,1
0,1390387150621974536,2021-05-07 00:55:03,#AGRI is meeting today at 3:30 p.m. ET. To watch the proceedings regarding Bill #C205:  https://t.co/RDFwIugoIo #cdnpoli,"['agri', 'c205', 'cdnpoli']",843862732390785025,HoCCommittees,In Committee,https://twitter.com/HoCCommittees/status/1390387150621974536,['http://ow.ly/jwlJ50EGm5n'],0,0,0
1,1390366145115561985,2021-05-06 23:31:35,"#AGRI 3:30 pm ET: Bill #C205, An Act to amend the Health of Animals Act  https://t.co/ed7dCJ2Ao2 #cdnpoli  https://t.co/7tDBgKCX49","['agri', 'c205', 'cdnpoli']",843862732390785025,HoCCommittees,In Committee,https://twitter.com/HoCCommittees/status/1390366145115561985,['http://ow.ly/ABDo50EG7Uy'],0,0,0
0,1390447545898344450,2021-05-07 04:55:02,"After harvest, farmers head back to protest sites: SKM  https://t.co/aXgH8giXJk",[],1017101762,TOIChandigarh,TOIChandigarh,https://twitter.com/TOIChandigarh/status/1390447545898344450,['http://toi.in/7vJOwb'],0,0,0
1,1390355597371998208,2021-05-06 22:49:40,"Farmers intensifying their protest. Is it correct at this time when second wave of #COVID19 is wreaking havoc? Savit Malik, Kisan Union’s National President, and Dr Ravi Malik, CMD, Radix Hospital, respond. Watch #IndiaFirst with @GauravCSawant  https://t.co/V9mC2OBNTW","['covid19', 'indiafirst']",19897138,IndiaToday,IndiaToday,https://twitter.com/IndiaToday/status/1390355597371998208,[],48,12,10
2,1390343446020325378,2021-05-06 22:01:23,"जो जो इस ट्वीट को RT करे उसे सब फ़ॉलो करो    Follow :@gschahal    अबसे कुछ दिन किसान भाइयों का ट्विटर स्ट्रोंग करूँगा, फ़ॉलो करो भाई को सब लोग #FollowBack मिलेगा। #FarmersProtest","['followback', 'farmersprotest']",2937934140,_garrywalia,Gurpreet Garry Walia,https://twitter.com/_garrywalia/status/1390343446020325378,[],1059,889,238
3,1390343099302416389,2021-05-06 22:00:00,32 farmer unions to protest against COVID curbs and take to streets of Punjab to defy lockdown  https://t.co/rKYBaT7J5m,[],74980737,OpIndia_com,OpIndia.com,https://twitter.com/OpIndia_com/status/1390343099302416389,['https://www.opindia.com/2021/05/punjab-farmer-defy-lockdown-street-protest/'],497,167,43
4,1390290257820610566,2021-05-06 18:30:02,"Another group of #farmers headed to Delhi to protest on the outskirts against the farm laws. Big group of farmer union leaders &amp; members in a long convoy of trucks, tractors, jeeps &amp; cars. Punjab, Haryana &amp; Delhi health infrastructure is already overburdened by #COVID19 cases","['farmers', 'covid19']",177886974,gauravcsawant,GAURAV C SAWANT,https://twitter.com/gauravcsawant/status/1390290257820610566,[],456,171,67
5,1390284681363410945,2021-05-06 18:07:52,"Farmers intensify protest amid #Covid19 surge.  #6PMPrime #Coronavirus #FarmLaws   @gauravcsawant, @manjeet_sehgal  https://t.co/XYS3VDEyvF","['covid19', '6pmprime', 'coronavirus', 'farmlaws']",19897138,IndiaToday,IndiaToday,https://twitter.com/IndiaToday/status/1390284681363410945,[],67,24,23
6,1390274326805417984,2021-05-06 17:26:44,"Every time @ArvindKejriwal comes out of his ""coffin"" hes out, just for propaganda politics . Remember  #FarmersProtest or #Shaheenbagh and now in name of #OxygenSupply . Is he a selfish lot unaware of centres limitations, to fulfill demands of all states in equal proportions.","['farmersprotest', 'shaheenbagh', 'oxygensupply']",4198536613,shekharvermabjp,Shekhar Verma,https://twitter.com/shekharvermabjp/status/1390274326805417984,[],10,8,1
